Delta_A,Free_Energy_kcal_mol
-0.98,0.06849403544190902
-0.94,0.029677147821510208
-0.9,0.001658254670315773
-0.86,0.0
-0.8200000000000001,0.021599914617130955
-0.78,0.0746427923467321
-0.74,0.16594131359646236
-0.7,0.30217888654385505
-0.6599999999999999,0.4637504067564726
-0.62,0.68521765303601
-0.5800000000000001,0.9343453044640904
-0.54,1.244440811454141
-0.5,1.5351686278609287
-0.45999999999999996,1.9723681764069951
-0.42,2.3037816462884213
-0.38,2.7363756909181203
-0.33999999999999997,3.1185555970998147
-0.3,3.3885202744345047
-0.26,3.605570590634889
-0.21999999999999997,3.908763827130953
-0.18,4.133971187092785
-0.14,4.3855478936469074
-0.09999999999999998,4.577263582554593
-0.06,4.6423639667675705
-0.020000000000000018,4.3708271153531175
0.020000000000000018,4.3855478936469074
0.06000000000000005,5.155182611090538
0.10000000000000009,6.171487330599551
0.14,14.383349737154257
0.17999999999999994,14.383349737154257
0.21999999999999997,14.383349737154257
0.26,14.383349737154257
0.30000000000000004,14.383349737154257
0.3400000000000001,14.383349737154257
0.3800000000000001,14.383349737154257
0.42000000000000004,14.383349737154257
0.45999999999999996,14.383349737154257
0.5,14.383349737154257
0.54,14.383349737154257
0.5800000000000001,14.383349737154257
0.6200000000000001,14.383349737154257
0.66,14.383349737154257
0.7,14.383349737154257
0.74,14.383349737154257
0.78,14.383349737154257
0.8200000000000001,14.383349737154257
0.8600000000000001,14.383349737154257
0.9,14.383349737154257
0.94,14.383349737154257
0.98,14.383349737154257
