Frame,Time_fs,LBHB_Fraction,Avg_Wire_Length,Hodge_Gradient_Pct,Hodge_Curl_Pct,Hodge_Harmonic_Pct
0.0,0.0,0.0,0.0,99.99999871956244,0.0,0.0031740644189888374
0.5,0.25,0.0,0.0,99.99999871823016,0.0,0.0031749950747003244
1.0,0.5,0.0,0.0,99.99999871683414,0.0,0.0031758945884676265
1.5,0.75,0.0,0.0,99.9999986001647,0.0,0.0034410209833616824
2.0,1.0,0.0,0.0,99.99999793429429,0.0,0.00433955508635448
2.5,1.25,0.0,0.0,99.9999982142137,0.0,0.0042036978734132395
3.0,1.5,0.0,0.0,99.99999821341812,0.0,0.0042042744078351225
3.5,1.75,0.0,0.0,99.99999821255398,0.0,0.004204983948644463
4.0,2.0,0.0,0.0,99.99999821162614,0.0,0.004205852372047301
4.5,2.25,0.0,0.0,99.99999821065832,0.0,0.004206872743434501
5.0,2.5,0.0,0.0,99.9999982096859,0.0,0.004208010602570687
5.5,2.75,0.0,0.0,99.99999820874996,0.0,0.004209211110563051
6.0,3.0,0.0,0.0,99.99999820788,0.0,0.004210423769448956
6.5,3.25,0.0,0.0,99.99999789327781,0.0,0.004374319646028156
7.0,3.5,0.0,0.0,99.99999788926888,0.0,0.004377998477536956
7.5,3.75,0.0,0.0,99.99999788573236,0.0,0.004381152793962775
8.0,4.0,0.0,0.0,99.99999788516192,0.0,0.004413519342468628
8.5,4.25,0.0,0.0,99.99999788171966,0.0,0.0044162358914373
9.0,4.5,0.0,0.0,99.99999874163476,0.0,0.0036429514139919997
9.5,4.75,0.0,0.0,99.99999773049039,0.0,0.004680929833525922
10.0,5.0,0.0,0.0,99.99999772944952,0.0,0.004681109343582623
10.5,5.25,0.0,0.0,99.9999979562484,0.0,0.004402440299158875
11.0,5.5,0.0,0.0,99.99999796168659,0.0,0.004399576183202753
11.5,5.75,0.0,0.0,99.99999796571923,0.0,0.004397634548467871
12.0,6.0,0.0,0.0,99.99999769665044,0.0,0.004753057977800373
12.5,6.25,0.0,0.0,99.99999832841718,0.0,0.0038427461009502358
13.0,6.5,0.0,0.0,99.99999844735406,0.0,0.0037908409616731384
13.5,6.75,0.0,0.0,99.99999845204974,0.0,0.0037850201391211925
14.0,7.0,0.0,0.0,99.99999845596584,0.0,0.003780307471258974
14.5,7.25,0.0,0.0,99.99999832647819,0.0,0.003818464882872947
15.0,7.5,0.0,0.0,99.99999832702561,0.0,0.003817673925001246
15.5,7.75,0.0,0.0,99.99999842011819,0.0,0.003666429763246392
16.0,8.0,0.0,0.0,99.9999976420672,0.0,0.0048160900142437115
16.5,8.25,0.0,0.0,99.99999764232169,0.0,0.004815619434283092
17.0,8.5,0.0,0.0,99.99999764290776,0.0,0.004814809052787379
17.5,8.75,0.0,0.0,99.99999764383459,0.0,0.004813626514087274
18.0,9.0,0.0,0.0,99.99999879857552,0.0,0.003393602173467468
18.5,9.25,0.0,0.0,99.99999869913435,0.0,0.0035151846267443853
19.0,9.5,0.0,0.0,99.99999870048096,0.0,0.0035136919605391007
19.5,9.75,0.0,0.0,99.99999906717579,0.0,0.003081266269987249
20.0,10.0,0.0,0.0,99.99999906696947,0.0,0.003081839331072748
20.5,10.25,0.0,0.0,99.99999906674053,0.0,0.003082464753721984
21.0,10.5,0.0,0.0,99.999999066548,0.0,0.0030830470799480987
21.5,10.75,0.0,0.0,99.99999906641757,0.0,0.003083547630224958
22.0,11.0,0.0,0.0,99.99999906633944,0.0,0.003083989116569331
22.5,11.25,0.0,0.0,99.99999904302632,0.0,0.003077456690110532
23.0,11.5,0.0,0.0,99.99999885650209,0.0,0.0033291970909953973
23.5,11.75,0.0,0.0,99.99999856020509,0.0,0.004055857739747084
24.0,12.0,0.0,0.0,99.99999807560827,0.0,0.004914247182449365
24.5,12.25,0.0,0.0,99.9999981966102,0.0,0.0050935479915797475
25.0,12.5,0.0,0.0,99.99999840361666,0.0,0.0038940927719063535
25.5,12.75,0.0,0.0,99.9999987396065,0.0,0.0033296993161597297
26.0,13.0,0.0,0.0,99.99999873830217,0.0,0.0033318163581940977
26.5,13.25,0.0,0.0,99.99999722745602,0.0,0.005273583974999501
27.0,13.5,0.0,0.0,99.99999722558289,0.0,0.0052754412321841205
27.5,13.75,0.0,0.0,99.99999722353512,0.0,0.00527744827477444
28.0,14.0,0.0,0.0,99.99999722130379,0.0,0.005279625178298359
28.5,14.25,0.0,0.0,99.99999871678523,0.0,0.0033286143436738196
29.0,14.5,0.0,0.0,99.99999808240638,0.0,0.0038991318093211554
29.5,14.75,0.0,0.0,99.99999808315081,0.0,0.0038984924252732974
30.0,15.0,0.0,0.0,99.99999801932476,0.0,0.005075304109517892
30.5,15.25,0.0,0.0,99.99999802126212,0.0,0.005073331903694551
31.0,15.5,0.0,0.0,99.99999802383752,0.0,0.005070391170991597
31.5,15.75,0.0,0.0,99.99999802703674,0.0,0.005066666581499491
32.0,16.0,0.0,0.0,99.99999803075464,0.0,0.005062439800712932
32.5,16.25,0.0,0.0,99.99999803477826,0.0,0.005057960650577707
33.0,16.5,0.0,0.0,99.99999878795714,0.0,0.003878482263056308
33.5,16.75,0.0,0.0,99.99999878593225,0.0,0.003881615404884466
34.0,17.0,0.0,0.0,99.99999878414837,0.0,0.003884298580199552
34.5,17.25,0.0,0.0,99.99999789336572,0.0,0.0052968808756906575
35.0,17.5,0.0,0.0,99.99999789361192,0.0,0.005296209033873917
35.5,17.75,0.0,0.0,99.99999765128872,0.0,0.005643425862282555
36.0,18.0,0.0,0.0,99.99999764912671,0.0,0.005645447464894906
36.5,18.25,0.0,0.0,99.9999976463491,0.0,0.005648127865860993
37.0,18.5,0.0,0.0,99.99999764306398,0.0,0.005651339849714827
37.5,18.75,0.0,0.0,99.99999763945465,0.0,0.005654877287349388
38.0,19.0,0.0,0.0,99.99999785155222,0.0,0.00525916684930177
38.5,19.25,0.0,0.0,99.99999784987068,0.0,0.005260587669866844
39.0,19.5,0.0,0.0,99.99999784868153,0.0,0.005261390200010556
39.5,19.75,0.0,0.0,99.99999784815272,0.0,0.005261374234766591
40.0,20.0,0.0,0.0,99.9999979995688,0.0,0.004656402692968069
40.5,20.25,0.0,0.0,99.99999800041795,0.0,0.004654445524310899
41.0,20.5,0.0,0.0,99.9999991905599,0.0,0.0028505364164875336
41.5,20.75,0.0,0.0,99.99999866072285,0.0,0.0038101401326918285
42.0,21.0,0.0,0.0,99.99999865931017,0.0,0.0038120057034352482
42.5,21.25,0.0,0.0,99.99999865781919,0.0,0.0038142240023920256
43.0,21.5,0.0,0.0,99.99999890838622,0.0,0.00343206086787975
43.5,21.75,0.0,0.0,99.99999890560949,0.0,0.0034366933917655113
44.0,22.0,0.0,0.0,99.99999871627384,0.0,0.003948553396693946
44.5,22.25,0.0,0.0,99.99999871756503,0.0,0.0039473563470917745
45.0,22.5,0.0,0.0,99.99999879253679,0.0,0.0038760178734749693
45.5,22.75,0.0,0.0,99.99999798132086,0.0,0.006369802414498275
46.0,23.0,0.0,0.0,99.99999865091438,0.0,0.003263575989117867
46.5,23.25,0.0,0.0,99.9999985905187,0.0,0.0038490451350356152
47.0,23.5,0.0,0.0,99.99999782182664,0.0,0.005004375821761277
47.5,23.75,0.0,0.0,99.999997662155,0.0,0.005355736700047063
48.0,24.0,0.0,0.0,99.99999766529443,0.0,0.0053521299717243075
48.5,24.25,0.0,0.0,99.99999766942653,0.0,0.005347284830516457
49.0,24.5,0.0,0.0,99.99999791137977,0.0,0.004804374503943928
49.5,24.75,0.0,0.0,99.99999804466866,0.0,0.003919769752515732
50.0,25.0,0.0,0.0,99.99999860313426,0.0,0.0041664412003722786
50.5,25.25,0.0,0.0,99.99999741819366,0.0,0.006436933289736431
51.0,25.5,0.0,0.0,99.99999871511375,0.0,0.004057396717042801
51.5,25.75,0.0,0.0,99.9999992167782,0.0,0.0021720208579331267
52.0,26.0,0.0,0.0,99.99999841776777,0.0,0.004137187755834491
52.5,26.25,0.0,0.0,99.999998957792,0.0,0.00276926564427991
53.0,26.5,0.0,0.0,99.99999896288415,0.0,0.002728986386170167
53.5,26.75,0.0,0.0,99.99999896191397,0.0,0.0027304307591658854
54.0,27.0,0.0,0.0,99.99999829052312,0.0,0.004043104020159688
54.5,27.25,0.0,0.0,99.99999850691998,0.0,0.0038845285804038976
55.0,27.5,0.0,0.0,99.99999913661541,0.0,0.002580336095874132
55.5,27.75,0.0,0.0,99.99999913731452,0.0,0.002579946706013373
56.0,28.0,0.0,0.0,99.99999913780215,0.0,0.0025798796686056554
56.5,28.25,0.0,0.0,99.99999874303548,0.0,0.003506089662039624
57.0,28.5,0.0,0.0,99.99999822057624,0.0,0.004818226372290488
57.5,28.75,0.0,0.0,99.9999982198195,0.0,0.004817967421624126
58.0,29.0,0.0,0.0,99.99999821897725,0.0,0.004817699472584997
58.5,29.25,0.0,0.0,99.9999990485464,0.0,0.00312318580792447
59.0,29.5,0.0,0.0,99.99999889674359,0.0,0.003120039014720635
59.5,29.75,0.0,0.0,99.99999890514542,0.0,0.0031077860178420685
60.0,30.0,0.0,0.0,99.99999879879589,0.0,0.0036198154888364546
60.5,30.25,0.0,0.0,99.99999882324471,0.0,0.003755079535130896
61.0,30.5,0.0,0.0,99.99999882868642,0.0,0.0037470135333017096
61.5,30.75,0.0,0.0,99.99999861585023,0.0,0.003509479026971775
62.0,31.0,0.0,0.0,99.99999874293844,0.0,0.003715304995363534
62.5,31.25,0.0,0.0,99.99999874261225,0.0,0.003715575259801311
63.0,31.5,0.0,0.0,99.99999881777238,0.0,0.003583425421103789
63.5,31.75,0.0,0.0,99.9999990197207,0.0,0.00304310689268874
64.0,32.0,0.0,0.0,99.9999990217073,0.0,0.0030400323600130756
64.5,32.25,0.0,0.0,99.99999888088654,0.0,0.0034618479618414785
65.0,32.5,0.0,0.0,99.99999888223536,0.0,0.003459442902613669
65.5,32.75,0.0,0.0,99.99999881634703,0.0,0.00318626968228504
66.0,33.0,0.0,0.0,99.99999835398327,0.0,0.0041430748680077985
66.5,33.25,0.0,0.0,99.99999815672953,0.0,0.004402272020585754
67.0,33.5,0.0,0.0,99.99999797569896,0.0,0.004703052302406184
67.5,33.75,0.0,0.0,99.99999783042787,0.0,0.004339123262547837
68.0,34.0,0.0,0.0,99.99999770754654,0.0,0.004066383662164034
68.5,34.25,0.0,0.0,99.9999986309927,0.0,0.003301887451248121
69.0,34.5,0.0,0.0,99.9999973185902,0.0,0.0045108524657488745
69.5,34.75,0.0,0.0,99.99999849859218,0.0,0.003640334877643434
70.0,35.0,0.0,0.0,99.99999849856619,0.0,0.0036410529445608337
70.5,35.25,0.0,0.0,99.99999852580284,0.0,0.0038299649004751185
71.0,35.5,0.0,0.0,99.99999852615314,0.0,0.003829122511855033
71.5,35.75,0.0,0.0,99.99999844737226,0.0,0.0030941635530586376
72.0,36.0,0.0,0.0,99.99999876523624,0.0,0.002586467470376917
72.5,36.25,0.0,0.0,99.99999847640882,0.0,0.003686913733529053
73.0,36.5,0.0,0.0,99.99999885071502,0.0,0.0026583849554219306
73.5,36.75,0.0,0.0,99.99999873652318,0.0,0.004270145695501112
74.0,37.0,0.0,0.0,99.99999818782813,0.0,0.004508462237754363
74.5,37.25,0.0,0.0,99.99999781313348,0.0,0.005071951218741982
75.0,37.5,0.0,0.0,99.99999781280233,0.0,0.005072393848045934
75.5,37.75,0.0,0.0,99.99999845602943,0.0,0.003108927568931054
76.0,38.0,4.8868689830425645e-05,0.0,99.99999836319182,0.0,0.0036641712274430947
