coordination_state,count,percentage
0D1A,8920,1.5830675661046067
0D2A,7131,1.2655666831717434
0D3A,1458,0.25875700800230006
0D4A,39,0.006921483753147944
1D0A,14113,2.5046897489276136
1D1A,77462,13.747486525290924
1D2A,91915,16.312517414630598
1D3A,12570,2.230847455822299
1D4A,433,0.07684621705418102
1D5A,10,0.0017747394238840882
2D0A,12901,2.289591330752862
2D1A,108683,19.288400480599435
2D2A,174385,30.94879344340267
2D3A,29967,5.318361631553447
2D4A,785,0.13931704477490092
2D5A,1,0.00017747394238840883
3D0A,878,0.15582212141702295
3D1A,7731,1.3720510486047885
3D2A,9680,1.7179477623197974
3D3A,1596,0.2832484120519005
3D4A,39,0.006921483753147944
4D0A,65,0.011535806255246573
4D1A,229,0.04064153280694562
4D2A,165,0.029283200494087457
4D3A,34,0.0060341140412059
free H2O,2273,0.40339827104885323
