r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.01199272791755298
0.55,0.01382632681403835
0.6500000000000001,0.2008604518972409
0.75,1.4866185526598679
0.8500000000000001,0.20765263148593463
0.95,0.07878325278802464
1.05,0.025453953131132863
1.1500000000000001,0.015608682743355817
1.25,0.02987628378820799
1.35,0.10090177871373279
1.4500000000000002,1.0156885120756582
1.55,3.288915155553939
1.6500000000000001,1.5040962191142582
1.75,8.773713314788212
1.85,2.687444179295126
1.9500000000000002,0.6660576581902501
2.05,0.8780517480385683
2.1500000000000004,1.2784903052334122
2.25,1.731430105216849
2.3500000000000005,2.0031167330792288
2.45,2.1370007207105677
2.55,2.1367389384177184
2.6500000000000004,2.0589024777700855
2.75,1.9238040331161446
2.8500000000000005,1.9074084933911963
2.95,1.8864516226760444
3.05,1.9855345339651018
3.1500000000000004,1.977753122212963
3.25,1.9581499062541836
3.3500000000000005,1.9597250167701936
3.45,2.013996155719495
3.55,2.109380715390221
3.6500000000000004,2.1741753495049525
3.75,2.2169756828388443
3.8500000000000005,2.2536002481285804
3.95,2.307985210984642
4.050000000000001,2.351134003457937
4.15,2.439761119845626
4.25,2.4421368671378376
4.35,2.2990530000614084
4.45,2.1363846420754173
4.550000000000001,2.0013119961576713
4.65,1.9593197231711639
4.75,1.9719792008670676
4.8500000000000005,1.9885011003573951
4.95,1.8999388349383937
5.050000000000001,1.884373686083533
5.15,1.8869317862183121
5.25,1.8756234863773926
5.3500000000000005,1.9230667604319407
5.45,1.9728330151510087
5.550000000000001,2.0239852711871382
5.65,2.049649149427067
5.75,2.0581180591745047
5.8500000000000005,2.071986204288155
5.95,2.070916553562413
6.050000000000001,2.0522382609928003
6.15,2.0347542795416125
6.25,1.9966026873679978
6.3500000000000005,1.9693923322021294
6.45,1.9318442633680513
6.550000000000001,1.9069213097084083
6.65,1.917642889020086
6.75,1.9104652466052865
6.8500000000000005,1.9196668013989644
6.95,1.9322692407261708
7.050000000000001,1.927243320217409
7.15,1.9203155445046025
7.25,1.9172153808278978
7.3500000000000005,1.9143335745895373
7.45,1.9227309567828745
7.550000000000001,1.9290537702672035
7.65,1.9259255937493605
7.75,1.9209677030975087
7.8500000000000005,1.9000141749419324
7.95,1.8883572626064797
