coordination_state,count,percentage
0D1A,5923,2.13405297120848
0D2A,3679,1.325541259678541
0D3A,543,0.19564253982208418
0D4A,39,0.014051674130867924
1D0A,9149,3.29637863136694
1D1A,40832,14.711742515682028
1D2A,44477,16.025033597913147
1D3A,4200,1.5132572140934688
1D4A,79,0.02846364759842477
2D0A,7417,2.6723401802217284
2D1A,47443,17.093681430532488
2D2A,90308,32.53791249770309
2D3A,13672,4.92601253121093
2D4A,154,0.055486097850093855
3D0A,235,0.08467034412189647
3D1A,2982,1.0744126220063628
3D2A,3923,1.4134542978306377
3D3A,412,0.14844332671583552
4D1A,13,0.004683891376955975
4D2A,51,0.01837526617113498
4D3A,1,0.00036029933668892117
free H2O,2015,0.7260031634281762
