coordination_state,count,percentage
0D1A,8625,1.1723895133326174
0D2A,12965,1.7623223235196968
0D3A,1075,0.1461239103573987
0D4A,122,0.01658336471032804
1D0A,1915,0.2603044542645753
1D1A,69837,9.492888862911304
1D2A,118119,16.055823411633096
1D3A,9238,1.255714124541069
1D4A,403,0.05477947523165737
1D5A,1,0.00013592921893711507
2D0A,10072,1.3690790931346228
2D1A,166542,22.63792398022502
2D2A,273160,37.130425444862354
2D3A,40406,5.492356020373071
2D4A,750,0.1019469142028363
2D5A,2,0.00027185843787423013
3D0A,568,0.07720779635628136
3D1A,7213,0.980457456193411
3D2A,12641,1.7182812565840715
3D3A,1455,0.1977770135535024
3D4A,31,0.004213805787050567
4D1A,124,0.01685522314820227
4D2A,128,0.01739894002395073
4D3A,4,0.0005437168757484603
5D1A,3,0.00040778765681134517
5D2A,1,0.00013592921893711507
free H2O,277,0.03765239364558087
