Delta_A,Free_Energy_kcal_mol
-0.98,0.06125465294936561
-0.94,0.026787638703229755
-0.9,0.004616690496398124
-0.86,0.0
-0.8200000000000001,0.02152767806988576
-0.78,0.0640523397397127
-0.74,0.13782855183027737
-0.7,0.2408014302253546
-0.6599999999999999,0.3802397424877376
-0.62,0.5634222413154504
-0.5800000000000001,0.786777165506156
-0.54,1.0507827887194332
-0.5,1.3182727539950512
-0.45999999999999996,1.6030093044729365
-0.42,1.9174888774063188
-0.38,2.245197009210827
-0.33999999999999997,2.5551675996962295
-0.3,2.83769608033459
-0.26,3.227042076105282
-0.21999999999999997,3.6924261800985367
-0.18,4.2828634896821995
-0.14,4.743809324475037
-0.09999999999999998,5.290066334226733
-0.06,4.956445097763731
-0.020000000000000018,4.705333960331282
0.020000000000000018,4.705333960331282
0.06000000000000005,5.461571232388536
0.10000000000000009,6.358243863265877
0.14,14.34941643775646
0.17999999999999994,14.34941643775646
0.21999999999999997,14.34941643775646
0.26,14.34941643775646
0.30000000000000004,14.34941643775646
0.3400000000000001,14.34941643775646
0.3800000000000001,14.34941643775646
0.42000000000000004,14.34941643775646
0.45999999999999996,14.34941643775646
0.5,14.34941643775646
0.54,14.34941643775646
0.5800000000000001,14.34941643775646
0.6200000000000001,14.34941643775646
0.66,14.34941643775646
0.7,14.34941643775646
0.74,14.34941643775646
0.78,14.34941643775646
0.8200000000000001,14.34941643775646
0.8600000000000001,14.34941643775646
0.9,14.34941643775646
0.94,14.34941643775646
0.98,14.34941643775646
