lag_time_fs,property_acf
0.0,1.0
0.5,0.9971427275613407
1.0,0.9943191593857434
1.5,0.9915582409417102
2.0,0.9888748605641889
2.5,0.9862964185741578
3.0,0.9838315805287285
3.5,0.98150150873942
4.0,0.9793046882398381
4.5,0.9772364545476604
5.0,0.9753039159736623
5.5,0.9734868087791672
6.0,0.9717412684442468
6.5,0.9700767854276059
7.0,0.9684510294280051
7.5,0.9668349762183773
8.0,0.9652138148230842
8.5,0.9635554476041981
9.0,0.9618739396693924
9.5,0.9601614451693803
10.0,0.9584493049540882
10.5,0.9567531973770338
11.0,0.955086456630563
11.5,0.9534609648579435
12.0,0.9519213350889011
12.5,0.950449560165142
13.0,0.9490426075149682
13.5,0.947713802693151
14.0,0.9464521509759046
14.5,0.9452631694584226
15.0,0.944130404244683
15.5,0.9430443678934963
16.0,0.9419588505276147
16.5,0.9408856282653666
17.0,0.9398018887775709
17.5,0.9387107666454647
18.0,0.9376051883632514
18.5,0.9364585902412434
19.0,0.9352928561497003
19.5,0.9341079272398158
20.0,0.9329392047182287
20.5,0.9317725494941939
21.0,0.9306253074979998
21.5,0.9295107957890567
22.0,0.9284343043658729
22.5,0.9273938213161683
23.0,0.9263861039686097
23.5,0.925421388188312
24.0,0.9244894652559517
24.5,0.923575341474389
25.0,0.9226743010531897
25.5,0.92176601247432
26.0,0.9208614297934089
26.5,0.9199622544393926
27.0,0.9190667910315595
27.5,0.9181815319215934
28.0,0.9173086537363845
28.5,0.9164465204029326
29.0,0.9155858167288008
29.5,0.9147351417169222
30.0,0.9139110406735123
30.5,0.9131087281229714
31.0,0.9123408164599897
31.5,0.9116081046260479
32.0,0.9109075218989751
32.5,0.9102509030634403
33.0,0.9096359709281243
33.5,0.9090453263619471
34.0,0.9084693723073429
34.5,0.9078868925577082
35.0,0.9072939398695368
35.5,0.9067048540641419
36.0,0.9061235823872063
36.5,0.9055304047603644
37.0,0.9049504184858128
37.5,0.904366265318862
38.0,0.9037985393693858
38.5,0.903235482638527
39.0,0.9026809687455839
39.5,0.9021451880720942
40.0,0.9016282241309466
40.5,0.9011411408565388
41.0,0.9006760508645536
41.5,0.9002267215432864
42.0,0.8997922114860434
42.5,0.8993805860056213
43.0,0.8989768396063516
43.5,0.8985721218367512
44.0,0.8981624790328471
44.5,0.89773525926289
45.0,0.897297652029805
45.5,0.8968607241392672
46.0,0.8964221032401952
46.5,0.8959802067439762
47.0,0.8955374892513225
47.5,0.8951081095835354
48.0,0.8946905735921316
48.5,0.894292092719959
49.0,0.8939101336313472
49.5,0.8935423277889433
