coordination_state,count,percentage
0D1A,9279,1.225600912959749
0D2A,9800,1.2944163107021813
0D3A,3116,0.4115715534844895
0D4A,32,0.004226665504333653
1D0A,10473,1.3833083695901984
1D1A,83609,11.043352379744762
1D2A,106754,14.100420289051087
1D3A,14525,1.9185098890764472
1D4A,669,0.08836372569997543
2D0A,14032,1.8533928236503068
2D1A,154939,20.464853955498494
2D2A,271824,35.903410126562214
2D3A,48875,6.455571141384603
2D4A,1357,0.17923703404314897
2D5A,1,0.00013208329701042666
3D0A,969,0.12798871480310342
3D1A,7976,1.053496376955163
3D2A,14527,1.918774055670468
3D3A,2920,0.38568322727044585
3D4A,44,0.005811665068458773
4D1A,68,0.008981664196709012
4D2A,311,0.04107790537024269
4D3A,53,0.007000414741552613
5D2A,8,0.0010566663760834133
5D3A,15,0.0019812494551564
5D4A,7,0.0009245830790729866
free H2O,915,0.12085621676454039
