r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.0
1.25,0.0
1.35,0.0
1.4500000000000002,0.0
1.55,0.0
1.6500000000000001,0.0
1.75,0.0
1.85,0.0
1.9500000000000002,0.0
2.05,0.0
2.1500000000000004,0.0009711047625798437
2.25,0.013469434290822622
2.3500000000000005,0.3309823925735116
2.45,0.9033951806998077
2.55,4.565542998641642
2.6500000000000004,11.052410686391912
2.75,10.618286317394288
2.8500000000000005,8.051220745438208
2.95,6.0860730664650315
3.05,4.701702339644298
3.1500000000000004,3.841882322184174
3.25,3.468445414088007
3.3500000000000005,3.2065226871323076
3.45,3.069899353076683
3.55,2.991399940960928
3.6500000000000004,2.9986059376888488
3.75,2.900535847980828
3.8500000000000005,2.8885575937572647
3.95,2.7900214011860522
4.050000000000001,2.7926700075941016
4.15,2.8426270787625567
4.25,2.8027857390357784
4.35,2.998845566651477
4.45,2.925759865635604
4.550000000000001,2.8899777860736835
4.65,2.859507045754976
4.75,2.8931529385070567
4.8500000000000005,3.007460920945199
4.95,3.1148786523640024
5.050000000000001,3.156620857227449
5.15,3.1419721671501986
5.25,3.004401653696529
5.3500000000000005,2.932106323496956
5.45,2.829228313659941
5.550000000000001,2.825854380164525
5.65,2.8655344659840294
5.75,2.927205370978591
5.8500000000000005,2.9148691789223533
5.95,2.9393060456090403
6.050000000000001,2.9412466833501822
6.15,2.92070987699965
6.25,2.8954235769756607
6.3500000000000005,2.847054832316168
6.45,2.841914966147947
6.550000000000001,2.8278771654170733
6.65,2.7473684962242353
6.75,2.6930236133336254
6.8500000000000005,2.6491632127556426
6.95,2.6014852105179456
7.050000000000001,2.586994747603513
7.15,2.580465972437625
7.25,2.523570126877094
7.3500000000000005,2.5171587756566667
7.45,2.4832437653337847
7.550000000000001,2.462624210680537
7.65,2.4418508934458036
7.75,2.433312868501147
7.8500000000000005,2.427925078929958
7.95,2.4002185847377535
