Angle_deg,Phi_probability_density,Theta_probability_density
1.0,0.00022281838519059885,0.00014928831807770122
3.0,0.0004456367703811977,0.000583784169199369
5.0,0.0005303077567536253,0.0007419852226846942
7.0,0.0010427900426920025,0.0013034875533650032
9.0,0.0012968030018092854,0.0018538489647857825
11.0,0.001519621386999884,0.0022504656904250484
13.0,0.001978627260492518,0.0026225723936933484
15.0,0.002348505779908912,0.003128370128076008
17.0,0.002584693268210947,0.003863670799204984
19.0,0.002517847752653767,0.004166703803064198
21.0,0.003667590620237257,0.004160019251508481
23.0,0.003983992727207907,0.004962165438194636
25.0,0.004839615326339807,0.004991131828269414
27.0,0.0048797226356741144,0.005218406581163825
29.0,0.004741575236855943,0.005454594069465859
31.0,0.005739801602509826,0.005864579898216562
33.0,0.0052362320519790725,0.005759855257176981
35.0,0.006368149448747315,0.006058431893332382
37.0,0.0068940008377971285,0.006000499113182827
39.0,0.007932334512785319,0.0062589684400039215
41.0,0.00849829321116944,0.0061965792921505536
43.0,0.00881469531814009,0.006285706646226794
45.0,0.00924250661770604,0.006238914785336768
47.0,0.010000089127354075,0.006263424807707733
49.0,0.008957299084662074,0.006573142363122666
51.0,0.009322721236374655,0.0073284966889187965
53.0,0.009313808500967032,0.00731512758580736
55.0,0.00951434504763857,0.008094991933974456
57.0,0.009844116257720657,0.008567366910578526
59.0,0.009857485360832093,0.008355689444647457
61.0,0.011533079617465396,0.00855399780746709
63.0,0.011207764775087121,0.008297756664497901
65.0,0.011715790693321687,0.008353461260795551
67.0,0.011604381500726388,0.00847601137265038
69.0,0.010993859125304147,0.008355689444647457
71.0,0.012201534773037193,0.008061569176195866
73.0,0.011550905088280643,0.008774588008805782
75.0,0.011582099662207327,0.00893724542999492
77.0,0.00933163397178228,0.009246962985409852
79.0,0.009835203522313034,0.0087812725603615
81.0,0.008221998413533098,0.008689917022433356
83.0,0.008752306170286722,0.008975124555477321
85.0,0.008899366304512518,0.009369513097264682
87.0,0.00822645478123691,0.009267016640077006
89.0,0.007575825096480361,0.009010775497107817
91.0,0.007771905275448088,0.009327177604078469
93.0,0.007531261419442241,0.00977058619060776
95.0,0.006577598730826478,0.009766129822903948
97.0,0.006158700166668152,0.009213540227631262
99.0,0.005521439585023039,0.008730024331767663
101.0,0.005926969046069929,0.008458185901835133
103.0,0.005922512678366117,0.008480467740354191
105.0,0.006368149448747315,0.008540628704355653
107.0,0.006230002049929143,0.009021916416367346
109.0,0.007014322765800052,0.008077166463159207
111.0,0.006840524425351385,0.007988039109082969
113.0,0.006974215456465744,0.008112817404789705
115.0,0.007107906487580103,0.007905596306562446
117.0,0.006773678909794205,0.007090081016764855
119.0,0.0065374914214921705,0.0074064831237355055
121.0,0.005851210795105126,0.007985810925231063
123.0,0.006082941915703349,0.007912280858118166
125.0,0.005632848777618339,0.007317355769659266
127.0,0.005869036265920374,0.006951933617946684
129.0,0.00541003039242774,0.006270109359263452
131.0,0.005245144787386697,0.005472419540281107
133.0,0.005035695505307534,0.005008957299084662
135.0,0.004870809900266491,0.004866353532562679
137.0,0.0038993217408354796,0.004251374789436626
139.0,0.003961710888688848,0.003665362436385351
141.0,0.003939429050169788,0.0035628659791976758
143.0,0.003484879544380966,0.003045927325555486
145.0,0.003262061159190367,0.00268273335769481
147.0,0.0030570682448150164,0.002504478649542331
149.0,0.0027941425502901094,0.002098949188495441
151.0,0.002348505779908912,0.0018315671262667224
153.0,0.002156881968644997,0.0021123182916068773
155.0,0.0018404798616743466,0.0020454727760496976
157.0,0.0014438631360350804,0.0023730158022798775
159.0,0.0015686414317418159,0.002132371946274031
161.0,0.0015909232702608757,0.0020053654667153897
163.0,0.0011943065446216098,0.0020298754890863556
165.0,0.0009982263656538829,0.0015686414317418159
167.0,0.0006907369940908565,0.0012076756477330457
169.0,0.0007976898189823438,0.0011809374415101739
171.0,0.0008422534960204637,0.0008400253121685576
173.0,0.0005926969046069929,0.0006082941915703349
175.0,0.00045454950578882163,0.00047460316045597553
177.0,0.00037433488712020605,0.00026738206222871863
179.0,8.467098637242756e-05,7.353006711289762e-05
