Delta_Z_A,Density_Substrate_atoms_per_A3,Density_O_atoms_per_A3,Density_H_atoms_per_A3
-14.8875,0.07928881843745669,0.0,0.0
-14.662500000000001,0.08197664584442024,0.0,0.0
-14.4375,0.08035475310118252,0.0,0.0
-14.212499999999999,0.07788429276290032,0.0,0.0
-13.9875,0.08817996757371094,0.0,0.0
-13.7625,0.07891260620320052,0.0,0.0
-13.537500000000001,0.08219819304903778,0.0,0.0
-13.3125,0.07895022742662614,0.0,0.0
-13.087499999999999,0.0826663682738899,0.0,0.0
-12.8625,0.08428826101712762,0.0,0.0
-12.6375,0.0886815838860525,0.0,0.0
-12.412500000000001,0.09075075117446145,0.0,0.0
-12.1875,0.08857708048764801,0.0,0.0
-11.962499999999999,0.07880392266885985,0.0,0.0
-11.7375,0.08405417340470156,0.0,0.0
-11.5125,0.07729489359589897,0.0,0.0
-11.287500000000001,0.0828126730316562,0.0,0.0
-11.0625,0.08399565150159505,0.0,0.0
-10.837499999999999,0.081575352794547,0.0,0.0
-10.6125,0.09118966544776032,0.0,0.0
-10.3875,0.0814499487164616,0.0,0.0
-10.1625,0.08442202536708537,0.0,0.0
-9.9375,0.0746739483639143,0.0005099765842139244,2.9260951553257953e-05
-9.712499999999999,0.06783106583638812,0.0012833017324071702,0.0007900456919379648
-9.4875,0.06756353713647262,0.002035726200919518,0.002533162377324903
-9.2625,0.07146360396492829,0.002349236396132996,0.003047319097475007
-9.0375,0.06374707302674054,0.002746349310070068,0.0027797903975595056
-8.8125,0.06463744198114682,0.004355701645499256,0.00471937347194689
-8.587499999999999,0.060127075306008915,0.00328558684583725,0.0065251921963765235
-8.3625,0.06282326298484482,0.005392375357671823,0.009651933876638945
-8.1375,0.052025971861692645,0.004665031704776554,0.011654218990069026
-7.9125,0.05901097901104894,0.006780180488483486,0.014388027892330554
-7.6875,0.050032047020134925,0.009743896867234899,0.020562088670067983
-7.4625,0.04532521395599657,0.011106621182429484,0.021084605662090444
-7.2375,0.04779985443021496,0.013414056219200683,0.025135157384248583
-7.0125,0.047804034566151135,0.01517807358426852,0.033127577294224185
-6.7875,0.04672137935868059,0.02401488095335242,0.03627939979010368
-6.562499999999999,0.043678240397141764,0.021268531643282355,0.03976563316087756
-6.3374999999999995,0.04114089788388069,0.02120164946830348,0.041107456796391245
-6.1125,0.041642514196222245,0.020691672884089553,0.04709759159293677
-5.8875,0.04166759501183933,0.02143573708072954,0.043256046667587617
-5.6625,0.038244063680108145,0.020206777115492708,0.0434650534643966
-5.437499999999999,0.038996488148620494,0.020223497659237425,0.03929327780008925
-5.2124999999999995,0.03596588959489021,0.019826384745300355,0.04076886578556069
-4.9875,0.03315265810984126,0.015968119276206484,0.04306794055045953
-4.7625,0.034017946248630464,0.01789098180684915,0.04231969621788336
-4.5375,0.03507970077642011,0.019241165714235196,0.03712796738514816
-4.312499999999999,0.04123286087447664,0.019792943657810917,0.039230575761046556
-4.0874999999999995,0.03566909994342145,0.02103026389492011,0.04038429327943216
-3.8625,0.03329060259573519,0.023947998778373544,0.04304703987077863
-3.6375,0.03649676685878503,0.02160712265411291,0.042608125597479764
-3.4124999999999996,0.03780514940680928,0.02445797536258747,0.042984337831735935
-3.187499999999999,0.03240859391320127,0.019236985578299014,0.04345251305658806
-2.9624999999999995,0.02973330691404626,0.020361442145131355,0.04306794055045953
