Species,Average_Count,Percentage
H2O,90.57942057942059,73.0926738036889
H*,15.838161838161838,12.780536566490392
*OH,7.672327672327673,6.1911518122017295
H2,7.327672327672327,5.913033664387979
O*,1.03996003996004,0.8391912807945311
O2,1.0,0.806945698439314
H3O+,0.46653346653346656,0.3764671739971624
