Time_ps,Z_GDS_A
2.0,24.0735272075
2.0005,24.0735272075
2.001,24.0735272075
2.0015,24.0735272075
2.002,24.0735272075
2.0025,23.754672542499996
2.003,23.754672542499996
2.0035,31.088329837499998
2.004,24.0735272075
2.0045,24.0735272075
2.005,24.0735272075
2.0055,24.0735272075
2.006,24.0735272075
2.0065,24.0735272075
2.007,31.088329837499998
2.0075,31.088329837499998
2.008,31.088329837499998
2.0085,23.754672542499996
2.009,23.754672542499996
2.0095,23.754672542499996
2.01,23.754672542499996
2.0105,23.754672542499996
2.011,23.754672542499996
2.0115,23.754672542499996
2.012,23.754672542499996
2.0125,23.754672542499996
2.013,23.754672542499996
2.0135,23.754672542499996
2.014,23.754672542499996
2.0145,23.754672542499996
2.015,23.754672542499996
2.0155,23.754672542499996
2.016,23.754672542499996
2.0165,23.754672542499996
2.017,23.754672542499996
2.0175,23.754672542499996
2.018,23.754672542499996
2.0185,23.754672542499996
2.019,23.754672542499996
2.0195,23.754672542499996
2.02,23.754672542499996
2.0205,23.754672542499996
2.021,31.088329837499998
2.0215,31.088329837499998
2.022,31.088329837499998
2.0225,31.088329837499998
2.023,31.088329837499998
2.0235,31.088329837499998
2.024,31.088329837499998
2.0245,31.088329837499998
2.025,31.088329837499998
2.0255,31.088329837499998
2.026,31.088329837499998
2.0265,31.088329837499998
2.027,31.088329837499998
2.0275,31.088329837499998
2.028,31.088329837499998
2.0285,31.088329837499998
2.029,31.088329837499998
2.0295,31.088329837499998
2.03,31.088329837499998
2.0305,31.088329837499998
2.031,31.088329837499998
2.0315,31.088329837499998
2.032,31.088329837499998
2.0325,24.0735272075
2.033,24.0735272075
2.0335,24.0735272075
2.034,24.0735272075
2.0345,24.0735272075
2.035,24.0735272075
2.0355,24.0735272075
2.036,24.0735272075
2.0365,24.0735272075
2.037,24.0735272075
2.0375,24.0735272075
2.038,24.0735272075
2.0385,24.0735272075
2.039,24.0735272075
2.0395,24.0735272075
2.04,24.0735272075
2.0405,24.0735272075
2.041,24.0735272075
2.0415,24.0735272075
2.042,24.0735272075
2.0425,24.0735272075
2.043,24.0735272075
2.0435,24.0735272075
2.044,24.0735272075
2.0445,24.0735272075
2.045,24.0735272075
2.0455,24.0735272075
2.046,24.0735272075
2.0465,24.0735272075
2.047,24.0735272075
2.0475,24.0735272075
2.048,24.0735272075
2.0485,24.0735272075
2.049,24.0735272075
2.0495,24.0735272075
2.05,24.0735272075
2.0505,24.0735272075
2.051,24.0735272075
2.0515,24.0735272075
2.052,24.0735272075
2.0525,24.0735272075
2.053,24.0735272075
2.0535,24.0735272075
2.054,24.0735272075
2.0545,24.0735272075
2.055,24.0735272075
2.0555,31.088329837499998
2.056,31.088329837499998
2.0565,31.088329837499998
2.057,31.088329837499998
2.0575,31.088329837499998
2.058,31.088329837499998
2.0585,31.088329837499998
2.059,31.088329837499998
2.0595,31.088329837499998
2.06,31.088329837499998
2.0605,31.088329837499998
2.061,31.088329837499998
2.0615,31.088329837499998
2.062,31.088329837499998
2.0625,31.088329837499998
2.063,31.088329837499998
2.0635,31.088329837499998
2.064,31.088329837499998
2.0645,23.754672542499996
2.065,23.754672542499996
2.0655,23.754672542499996
2.066,23.754672542499996
2.0665,23.754672542499996
2.067,23.754672542499996
2.0675,23.754672542499996
2.068,31.088329837499998
2.0685,31.088329837499998
2.069,31.088329837499998
2.0695,23.754672542499996
2.07,23.754672542499996
2.0705,31.088329837499998
2.071,31.088329837499998
2.0715,31.088329837499998
2.072,31.088329837499998
2.0725,31.088329837499998
2.073,31.088329837499998
