Delta_A,Free_Energy_kcal_mol
-0.98,0.061546816237180946
-0.94,0.02576619199268737
-0.9,0.0037646752167863617
-0.86,0.0
-0.8200000000000001,0.009486903220701337
-0.78,0.0682774189386165
-0.74,0.1317947679063035
-0.7,0.2482511578178671
-0.6599999999999999,0.4158542668971129
-0.62,0.6220968289968638
-0.5800000000000001,0.8694267788445443
-0.54,1.169058937860914
-0.5,1.523097790187634
-0.45999999999999996,1.846584295032205
-0.42,2.312164388152869
-0.38,2.529896176186363
-0.33999999999999997,2.967114441458366
-0.3,3.272609649398138
-0.26,3.7053851462374254
-0.21999999999999997,4.181424476579078
-0.18,4.277014548069355
-0.14,4.617151272663585
-0.09999999999999998,4.836374529884573
-0.06,4.664869631722769
-0.020000000000000018,14.3641610686013
0.020000000000000018,14.3641610686013
0.06000000000000005,14.3641610686013
0.10000000000000009,14.3641610686013
0.14,14.3641610686013
0.17999999999999994,14.3641610686013
0.21999999999999997,14.3641610686013
0.26,14.3641610686013
0.30000000000000004,14.3641610686013
0.3400000000000001,14.3641610686013
0.3800000000000001,14.3641610686013
0.42000000000000004,14.3641610686013
0.45999999999999996,14.3641610686013
0.5,14.3641610686013
0.54,14.3641610686013
0.5800000000000001,14.3641610686013
0.6200000000000001,14.3641610686013
0.66,14.3641610686013
0.7,14.3641610686013
0.74,14.3641610686013
0.78,14.3641610686013
0.8200000000000001,14.3641610686013
0.8600000000000001,14.3641610686013
0.9,14.3641610686013
0.94,14.3641610686013
0.98,14.3641610686013
