Angle_deg,Phi_probability_density,Theta_probability_density
1.0,0.0,0.0
3.0,0.00047299621603027174,0.00010749914000687995
5.0,0.0003439972480220158,0.0004944960440316478
7.0,0.00030099759201926386,0.0009244926040591676
9.0,0.0007309941520467836,0.001999484004127967
11.0,0.0014619883040935672,0.0021284829721362228
13.0,0.001805985552115583,0.0029669762641898866
15.0,0.0017199862401100791,0.0016984864121087032
17.0,0.0024939800481596146,0.0023649810801513586
19.0,0.002407980736154111,0.0027734778121775027
21.0,0.003998968008255934,0.003611971104231166
23.0,0.00369797041623667,0.003848469212246302
25.0,0.006707946336429308,0.004471964224286206
27.0,0.0071379428964568285,0.005589955280357757
29.0,0.006148950808393533,0.00509545923632611
31.0,0.005976952184382525,0.006492948056415549
33.0,0.005288957688338493,0.007352941176470588
35.0,0.007739938080495356,0.004966460268317854
37.0,0.009029927760577915,0.004751461988304093
39.0,0.0068799449604403165,0.0063424492604059165
41.0,0.007223942208462332,0.006320949432404541
43.0,0.01040591675266598,0.0054394564843481255
45.0,0.008169934640522876,0.006471448228414172
47.0,0.010061919504643963,0.006836945304437564
49.0,0.01238390092879257,0.006449948400412796
51.0,0.011007911936704506,0.006062951496388029
53.0,0.01023391812865497,0.005353457172342621
55.0,0.011480908152734778,0.007288441692466461
57.0,0.007911936704506364,0.008922428620571035
59.0,0.007696938424492604,0.008621431028551771
61.0,0.011136910904712763,0.009631922944616443
63.0,0.007696938424492604,0.00890092879256966
65.0,0.006019951840385277,0.007954936360509117
67.0,0.006320949432404541,0.01195390436876505
69.0,0.007782937736498108,0.011330409356725146
71.0,0.00847093223254214,0.010427416580667355
73.0,0.008341933264533884,0.009868421052631578
75.0,0.01023391812865497,0.010792913656690746
77.0,0.010362917096663227,0.01173890608875129
79.0,0.00980392156862745,0.010362917096663227
81.0,0.010835913312693499,0.010749914000687994
83.0,0.007180942552459581,0.011394908840729275
85.0,0.007739938080495356,0.009997420020639835
87.0,0.008126934984520124,0.010169418644650843
89.0,0.009717922256621946,0.010147918816649467
91.0,0.007051943584451325,0.010362917096663227
93.0,0.008083935328517372,0.009244926040591675
95.0,0.007524939800481596,0.009545923632610939
97.0,0.007911936704506364,0.008083935328517372
99.0,0.009760921912624699,0.005503955968352253
101.0,0.007868937048503612,0.007030443756449949
103.0,0.006793945648434813,0.0075464396284829725
105.0,0.007481940144478844,0.006191950464396285
107.0,0.010749914000687994,0.007309941520467836
109.0,0.0071379428964568285,0.0066219470244238045
111.0,0.00847093223254214,0.008621431028551771
113.0,0.006191950464396285,0.005654454764361885
115.0,0.005245958032335741,0.006664946680426557
117.0,0.005503955968352253,0.006019951840385277
119.0,0.006406948744410045,0.005288957688338493
121.0,0.007481940144478844,0.004364465084279325
123.0,0.006320949432404541,0.005353457172342621
125.0,0.00369797041623667,0.005718954248366013
127.0,0.00391296869625043,0.005417956656346749
129.0,0.003998968008255934,0.006664946680426557
131.0,0.005116959064327485,0.0062134502923976605
133.0,0.0035689714482284142,0.0059554523563811485
135.0,0.006277949776401789,0.0050524595803233575
137.0,0.006406948744410045,0.004600963192294462
139.0,0.004041967664258686,0.004794461644306846
141.0,0.0042569659442724455,0.003740970072239422
143.0,0.00391296869625043,0.00369797041623667
145.0,0.0041279669762641896,0.00445046439628483
147.0,0.003783969728242174,0.004192466460268318
149.0,0.003998968008255934,0.0051814585483316135
151.0,0.001805985552115583,0.0033969728242174064
153.0,0.002149982800137599,0.0031389748882008944
155.0,0.0025799793601651187,0.0030529755761953903
157.0,0.0023219814241486067,0.002601479188166495
159.0,0.0012469900240798073,0.001676986584107327
161.0,0.0008599931200550396,0.002536979704162367
163.0,0.0010749914000687995,0.001676986584107327
165.0,0.002020983832129343,0.0013759889920880633
167.0,0.0009029927760577915,0.0010104919160646715
169.0,0.0004299965600275198,0.0012254901960784314
171.0,0.0005589955280357758,0.0008814929480564156
173.0,8.599931200550395e-05,0.00047299621603027174
175.0,4.299965600275198e-05,0.00032249742002063984
177.0,8.599931200550395e-05,0.0003439972480220158
179.0,4.299965600275198e-05,2.149982800137599e-05
