lag_time_fs,property_acf
0.0,1.0
5.0,0.9839249832551908
10.0,0.9698009608785175
15.0,0.9570724841660803
20.0,0.9444444444444444
25.0,0.9326424870466321
30.0,0.9209726443768997
35.0,0.912568306010929
40.0,0.9052969502407705
45.0,0.8978583196046128
50.0,0.8918005071851226
55.0,0.8888888888888888
60.0,0.8869100623330365
65.0,0.8849315068493151
70.0,0.8811973807296539
75.0,0.87823585810163
80.0,0.8731563421828908
85.0,0.8666666666666667
90.0,0.8607068607068608
95.0,0.8582169709989259
100.0,0.8533333333333334
105.0,0.8500576701268743
110.0,0.8467065868263473
115.0,0.8420398009950248
120.0,0.8382923673997412
