lag_time_fs,property_acf
0.0,1.0
0.5,0.9975091619618754
1.0,0.9950512604313598
1.5,0.992636445317162
2.0,0.9902850083726629
2.5,0.9880104971504516
3.0,0.9858343537480103
3.5,0.9837577543878625
4.0,0.981780749211472
4.5,0.9798819515746741
5.0,0.978076073735815
5.5,0.9763270846698228
6.0,0.9746767356815924
6.5,0.9731183098877476
7.0,0.9715977092270502
7.5,0.9701025763681738
8.0,0.968639664189841
8.5,0.9671965745215367
9.0,0.9657361451780581
9.5,0.9642752310978446
10.0,0.9628205649350062
10.5,0.9613710591817283
11.0,0.9599345778452482
11.5,0.9584908346117956
12.0,0.9570793240439851
12.5,0.9557238398965733
13.0,0.9544593982098433
13.5,0.953244266179503
14.0,0.9520626937697444
14.5,0.9509316095879567
15.0,0.9498215750035346
15.5,0.9487427783427774
16.0,0.9476839175397705
16.5,0.9466507783466188
17.0,0.9456388501862443
17.5,0.9446435565779077
18.0,0.9436660382805998
18.5,0.9426745966317277
19.0,0.9416646279583922
19.5,0.9406497802347183
20.0,0.9396470460272284
20.5,0.9386428331837509
21.0,0.9376325366682421
21.5,0.9366094920257416
22.0,0.9356031015908182
22.5,0.9346065700739471
23.0,0.9336391083527845
23.5,0.9326837889559306
24.0,0.9317473482136678
24.5,0.9308481061783817
25.0,0.9299894107352219
25.5,0.9291451741799557
26.0,0.9283086732608518
26.5,0.927482103599266
27.0,0.9266597915663417
27.5,0.9258655943293348
28.0,0.92510747948119
28.5,0.9243628248090662
29.0,0.9236405584947691
29.5,0.922927136463824
30.0,0.9222383919232343
30.5,0.9215846587530006
31.0,0.9209636805746689
31.5,0.9203709243875278
32.0,0.9198040382412136
32.5,0.9192437809586558
33.0,0.9186868341983064
33.5,0.9181490448919563
34.0,0.9176179931347379
34.5,0.9170981446919377
35.0,0.9165815329982654
35.5,0.9160658815167011
36.0,0.9155489121332715
36.5,0.9150375580006745
37.0,0.9145190922518646
37.5,0.9140152655048833
38.0,0.9135076466336343
38.5,0.9130158136479947
39.0,0.9125353126272366
39.5,0.9120740357129006
40.0,0.9116229666425558
40.5,0.9111717411000577
41.0,0.9107397609227096
41.5,0.9103133382797786
42.0,0.9099059705718487
42.5,0.9095098784801916
43.0,0.9091204995957003
43.5,0.9087252722649566
44.0,0.9083161959601499
44.5,0.9079001195256454
45.0,0.9074770392652565
45.5,0.9070468452259158
46.0,0.9066245018075554
46.5,0.9061928606632079
47.0,0.9057850842681209
47.5,0.9053783071779016
48.0,0.9049669181035715
48.5,0.9045622498967261
49.0,0.9041986414645172
49.5,0.903844062542569
