frame_idx,time_fs,time_ps,total_persistence_H0,total_persistence_H1,n_features_H0,n_features_H1,mean_lifetime_H0,mean_lifetime_H1
0,0.0,0.0,424.5040058300665,48.2428434367312,146,65,2.907561683767579,0.7421975913343262
1,0.5,0.0005,424.52115603519394,48.22750697964226,146,65,2.9076791509259854,0.7419616458406502
2,1.0,0.001,424.5323241882698,48.19767384539751,146,65,2.9077556451251354,0.7415026745445772
3,1.5,0.0015,424.5435849148209,48.16935319456471,146,65,2.9078327733891847,0.7410669722240724
4,2.0,0.002,424.5529907639785,48.139559993908044,146,65,2.9078971970135514,0.7406086152908928
5,2.5,0.0025,424.562927493343,48.11025818981054,146,64,2.9079652568037195,0.7517227842157896
6,3.0,0.003,424.5728108568416,48.08286713573689,146,64,2.908032951074257,0.7512947989958889
7,3.5,0.0035,424.5792503395169,48.04987171631354,146,64,2.9080770571199785,0.750779245567399
8,4.0,0.004,424.58041946166117,48.0092639564759,146,65,2.9080850648058987,0.7386040608688601
9,4.5,0.0045,424.5749901880408,47.96252574239475,146,64,2.90804787800028,0.7494144647249179
10,5.0,0.005,424.56844356167704,47.915551517313475,146,64,2.9080030380936788,0.748680492458023
11,5.5,0.0055,424.55556033046093,47.861222796968995,146,64,2.907914796783979,0.7478316062026406
12,6.0,0.006,424.54216048178483,47.805585165932655,146,64,2.9078230169985266,0.7469622682176977
13,6.5,0.0065,424.52894984881186,47.74956605639779,146,64,2.90773253321104,0.7460869696312155
14,7.0,0.007,424.5161552967682,47.693391704540886,146,64,2.907644899292933,0.7452092453834513
15,7.5,0.0075,424.5040728888613,47.637571668007176,146,64,2.9075621430743923,0.744337057312612
16,8.0,0.008,424.49281622852726,47.58243575554792,146,64,2.907485042661145,0.7434755586804364
17,8.5,0.0085,424.4822702827798,47.52920651972312,146,64,2.9074128101560257,0.7426438518706737
18,9.0,0.009,424.47211750982865,47.47790489112104,146,64,2.907343270615265,0.7418422639237663
19,9.5,0.0095,424.45578796946484,47.422484440577996,146,64,2.9072314244483892,0.7409763193840311
20,10.0,0.01,424.4306773190554,47.36299009906253,146,64,2.9070594336921602,0.740046720297852
21,10.5,0.0105,424.4047392710853,47.304376297408766,146,64,2.9068817758293513,0.739130879647012
22,11.0,0.011,424.38087386059357,47.24787822891633,146,64,2.9067183141136548,0.7382480973268176
23,11.5,0.0115,424.359061391557,47.192014455945355,146,64,2.9065689136408017,0.7373752258741462
24,12.0,0.012,424.3404204223289,47.14190572985954,146,64,2.906441235769376,0.7365922770290554
25,12.5,0.0125,424.32763804486456,47.094671266609986,146,64,2.9063536852387983,0.735854238540781
26,13.0,0.013,424.32233419863576,47.054707325494576,146,65,2.906317357524903,0.7239185742383781
27,13.5,0.0135,424.32515865899467,47.02168339853415,146,65,2.9063367031437997,0.7234105138236023
28,14.0,0.014,424.33632079682656,46.994478083432654,146,66,2.906413156142648,0.7120375467186766
29,14.5,0.0145,424.35077412089765,46.968362879022536,146,66,2.9065121515129975,0.7116418618033717
30,15.0,0.015,424.3663441476668,46.94307387284936,146,67,2.9066187955319642,0.7006428936246173
31,15.5,0.0155,424.3856747672696,46.92062448726875,146,67,2.906751197036093,0.7003078281681904
32,16.0,0.016,424.40402993695204,46.89396199777235,146,67,2.9068769173763838,0.6999098805637665
33,16.5,0.0165,424.4193024553547,46.86368050937561,146,67,2.9069815236668126,0.6994579180503822
34,17.0,0.017,424.43752670145415,46.83321250034159,146,67,2.9071063472702336,0.6990031716468894
35,17.5,0.0175,424.4589680287676,46.8062160418476,146,67,2.9072532056764904,0.6986002394305612
36,18.0,0.018,424.4837614434288,46.77632377866554,146,67,2.907423023585129,0.6981540862487395
37,18.5,0.0185,424.51176117760133,46.75115176007066,146,67,2.90761480258631,0.6977783844786666
38,19.0,0.019,424.54276800096716,46.72991736319202,146,67,2.9078271780888163,0.6974614531819705
39,19.5,0.0195,424.5762451927281,46.711761300381276,146,66,2.908056473922795,0.7077539590966861
40,20.0,0.02,424.6118962659523,46.69964822500624,146,66,2.9083006593558376,0.7075704276516097
41,20.5,0.0205,424.6489677327648,46.691002197800735,146,66,2.9085545735120872,0.707439427239405
42,21.0,0.021,424.68672455088546,46.68550522884972,146,66,2.9088131818553804,0.7073561398310564
43,21.5,0.0215,424.7230945431543,46.680855759693216,146,66,2.9090622913914674,0.7072856933286851
44,22.0,0.022,424.7558567235367,46.67377341312781,146,66,2.9092866898872374,0.7071783850473911
45,22.5,0.0225,424.7864425062543,46.66503940611652,146,66,2.909496181549687,0.7070460516078261
46,23.0,0.023,424.8163454554494,46.65570677339117,146,66,2.909700996270201,0.7069046480816843
47,23.5,0.0235,424.84506220872703,46.64486270929943,146,66,2.9098976863611434,0.7067403440802943
48,24.0,0.024,424.8721022939953,46.632217788063805,146,67,2.910082892424625,0.6960032505681164
49,24.5,0.0245,424.8973191198929,46.622055572200416,146,67,2.9102556104102257,0.6958515757044839
50,25.0,0.025,424.9190408702334,46.60794888389448,146,67,2.9104043895221468,0.695641028117828
51,25.5,0.0255,424.93950673344693,46.59271731626716,146,67,2.9105445666674448,0.6954136912875697
52,26.0,0.026,424.95958702196646,46.57393067212771,146,66,2.9106821028901813,0.7056656162443592
53,26.5,0.0265,424.9802232341864,46.555054738804515,146,66,2.9108234468094953,0.7053796172546137
54,27.0,0.027,425.00284245732473,46.533788434319625,146,66,2.910978372995375,0.7050574005199944
55,27.5,0.0275,425.0272349344809,46.50858489071781,146,66,2.911145444756719,0.7046755286472396
56,28.0,0.028,425.050109364266,46.4804151068337,146,66,2.911302118933329,0.7042487137399046
57,28.5,0.0285,425.07562929614807,46.455508098319484,146,66,2.9114769129873155,0.7038713348230223
58,29.0,0.029,425.1057443276938,46.43338655060961,146,66,2.91168318032667,0.7035361598577213
59,29.5,0.0295,425.1407461345169,46.414402874947115,146,66,2.911922918729568,0.7032485284082897
60,30.0,0.03,425.1806886498662,46.40281994446934,146,66,2.912196497601824,0.7030730294616566
61,30.5,0.0305,425.2208744685668,46.394431719412644,146,66,2.9124717429353897,0.7029459351426158
62,31.0,0.031,425.258692069186,46.38856810750382,146,66,2.9127307675971643,0.7028570925379367
63,31.5,0.0315,425.29630200289176,46.391218401398056,146,66,2.9129883698828203,0.7028972485060312
64,32.0,0.032,425.331862811317,46.40096411195047,146,66,2.913231937063815,0.7030449107871284
65,32.5,0.0325,425.36505544794505,46.41289427070545,146,66,2.913459283890035,0.7032256707682644
66,33.0,0.033,425.3964011565654,46.42730357484254,146,66,2.9136739805244205,0.7034439935582202
67,33.5,0.0335,425.426804044976,46.439679823671426,146,66,2.9138822194861365,0.7036315124798701
68,34.0,0.034,425.4570287707882,46.44656831677795,146,66,2.9140892381560835,0.7037358835875447
69,34.5,0.0345,425.4880159358685,46.449809759799535,146,66,2.914301479012798,0.7037849963605989
70,35.0,0.035,425.5206899480068,46.44851589940149,146,66,2.914525273616485,0.703765392415174
71,35.5,0.0355,425.5556543029931,46.44505178873578,146,66,2.914764755499953,0.7037129058899358
72,36.0,0.036,425.5934768033892,46.439729747547396,146,66,2.915023813721844,0.7036322689022333
73,36.5,0.0365,425.6346131966861,46.42890104003029,146,67,2.915305569840316,0.6929686722392581
74,37.0,0.037,425.67925958672316,46.417720427194524,146,67,2.915611367032351,0.6928017974208138
75,37.5,0.0375,425.7221011805102,46.400253466197526,146,67,2.915904802606234,0.6925410965104107
76,38.0,0.038,425.7646714883807,46.38022651388795,146,67,2.9161963800574022,0.6922421867744468
