coordination_state,count,percentage
0D1A,1782,1.9512301947945296
0D2A,1189,1.3019150963022983
0D3A,73,0.07993255006734043
1D0A,2940,3.2192013314791903
1D1A,16454,18.01657779189068
1D2A,13887,15.205798942262419
1D3A,1563,1.7114325445925083
1D4A,10,0.01094966439278636
2D0A,2911,3.1874473047401097
2D1A,14998,16.422306656300986
2D2A,26821,29.3680948678923
2D3A,5262,5.761713403484183
2D4A,77,0.08431241582445498
3D0A,53,0.058033221281767716
3D1A,749,0.8201298630196985
3D2A,1415,1.54937751157927
3D3A,279,0.30549563655873946
3D4A,7,0.0076647650749504526
4D3A,13,0.01423456371062227
free H2O,844,0.9241516747511689
