coordination_state,count,percentage
0D1A,3940,1.4222337733594679
0D2A,2427,0.8760815654678752
0D3A,245,0.08843839453631208
1D0A,4747,1.713539015770912
1D1A,29615,10.69021654772605
1D2A,42560,15.363012536593642
1D3A,3912,1.4121265282696036
1D4A,22,0.007941406856321902
2D0A,5277,1.9048547264004851
2D1A,54943,19.832941677586103
2D2A,102601,37.03619476661288
2D3A,19033,6.8703998498352155
2D4A,108,0.038985088203762064
3D0A,208,0.07508239209613433
3D1A,2422,0.8742767002732565
3D2A,3298,1.1904890823704377
3D3A,505,0.18229138465648
4D2A,109,0.03934606124268578
free H2O,1057,0.381548502142375
