lag_time_fs,property_acf
0.0,1.0
0.5,0.996516451847864
1.0,0.9933963834695544
1.5,0.9904665894044992
2.0,0.9876324386192206
2.5,0.9850454049838039
3.0,0.9827782692200413
3.5,0.9807525036906994
4.0,0.9789371069684936
4.5,0.9773249161886016
5.0,0.9758927069229352
5.5,0.9745294976494938
6.0,0.9733314054831272
6.5,0.9723397410118234
7.0,0.9716273788143579
7.5,0.9710668494476252
8.0,0.9706984255147356
8.5,0.9703768383096041
9.0,0.9700301156050646
9.5,0.9696416990920882
10.0,0.9691467255430372
10.5,0.9681546264386501
11.0,0.9668101799477492
11.5,0.9653477853388207
12.0,0.9638733158697905
12.5,0.9624524015754465
13.0,0.9611255666290278
13.5,0.959950839819746
14.0,0.9588792714443943
14.5,0.9579773250082155
15.0,0.9570811566780469
15.5,0.9561743141939204
16.0,0.9552155083522376
16.5,0.9542631048553634
17.0,0.9534983746763828
17.5,0.95307944606414
18.0,0.9528497495272534
18.5,0.9526858680486346
19.0,0.9525128281895827
19.5,0.9522734843437708
20.0,0.951908403312291
20.5,0.9512838712371091
21.0,0.9502479242096109
21.5,0.9491501297831366
22.0,0.9480833081798974
22.5,0.947030821026472
23.0,0.9459670774973518
23.5,0.945068359375
24.0,0.9442177673618721
24.5,0.9434070572345096
25.0,0.9426532992950007
25.5,0.9419238517665781
26.0,0.9410996872324736
26.5,0.9403396793332032
27.0,0.9397390676129361
27.5,0.9393846546661561
28.0,0.9391571142455363
28.5,0.9390142948581182
29.0,0.9388806754574122
29.5,0.938729055777097
30.0,0.9384656252410046
30.5,0.9381237182402458
31.0,0.9374543517301231
31.5,0.9367320598864223
32.0,0.9360266749379652
32.5,0.9353021361769679
33.0,0.9346355539045019
33.5,0.9339585099572643
34.0,0.9333656744862955
34.5,0.9327972379812279
35.0,0.9322880472550382
35.5,0.9318215425832659
36.0,0.9313450516523527
36.5,0.9308678587003925
37.0,0.930389365381592
37.5,0.9302400839637907
38.0,0.9301604540358744
38.5,0.9300724447017138
39.0,0.9300795728012086
39.5,0.9300691305036148
40.0,0.9300398111612176
40.5,0.9298528789161727
41.0,0.9294357687959299
41.5,0.9288487904117465
42.0,0.9282512799617341
42.5,0.9277236681036777
43.0,0.9272212056069785
43.5,0.9266906257227747
44.0,0.9261948242839962
44.5,0.9256791114679513
45.0,0.9251887255996784
45.5,0.9247333953621529
46.0,0.924366359963088
46.5,0.9240879972725152
47.0,0.9238364779874214
47.5,0.9237192060607151
48.0,0.9237457651553377
48.5,0.9237994694385794
49.0,0.9239061681094465
49.5,0.9240493728847302
