frame_idx,time_fs,time_ps,total_persistence_H0,total_persistence_H1,n_features_H0,n_features_H1,mean_lifetime_H0,mean_lifetime_H1
0,0.0,0.0,420.51414190876164,47.26540765319736,146,71,2.8802338486901484,0.6657099669464417
1,0.5,0.0005,420.52906541628494,47.283906852946075,146,71,2.8803360644951024,0.6659705190555786
2,1.0,0.001,420.54419272638984,47.30577235617619,146,71,2.8804396762081494,0.6662784838898054
3,1.5,0.0015,420.55529187560273,47.33068281450503,146,72,2.880515697778101,0.6573705946459033
4,2.0,0.002,420.5599683178806,47.34939183514345,146,72,2.8805477282046614,0.6576304421547702
5,2.5,0.0025,420.5652108961944,47.36433705789874,146,72,2.8805836362753046,0.657838014693038
6,3.0,0.003,420.5720488676024,47.382858317608886,146,71,2.8806304716959072,0.6673642016564633
7,3.5,0.0035,420.57690711364455,47.408622022564714,146,70,2.8806637473537298,0.6772660288937816
8,4.0,0.004,420.5706167247426,47.43015572763383,146,70,2.880620662498237,0.6775736532519119
9,4.5,0.0045,420.5641054073625,47.455752520432995,146,70,2.8805760644339897,0.6779393217204713
10,5.0,0.005,420.55992097355585,47.48277102610474,146,70,2.8805474039284653,0.6783253003729249
11,5.5,0.0055,420.5576262718634,47.51393780729101,146,70,2.880531686793585,0.6787705401041572
12,6.0,0.006,420.5543782359926,47.544992574655396,146,70,2.880509439972552,0.6792141796379342
13,6.5,0.0065,420.5500436833463,47.57478425779059,146,69,2.8804797512557965,0.6894896269245013
14,7.0,0.007,420.54656372148264,47.60471442999946,146,69,2.8804559159005656,0.6899233975362242
15,7.5,0.0075,420.5436677267519,47.635786201531765,146,69,2.880436080320219,0.6903737130656779
16,8.0,0.008,420.54111075743145,47.65592235567443,146,69,2.880418566831722,0.690665541386586
17,8.5,0.0085,420.5387540679863,47.6694172324192,146,69,2.8804024251231937,0.690861119310423
18,9.0,0.009,420.53653093000696,47.68230252336198,146,69,2.8803871981507325,0.6910478626574201
19,9.5,0.0095,420.53447140688723,47.695541649047925,146,69,2.880373091827994,0.6912397340441729
20,10.0,0.01,420.53270099913414,47.70995178296845,146,69,2.880360965747494,0.6914485765647602
21,10.5,0.0105,420.52947695343545,47.721471662062505,146,69,2.880338883242709,0.6916155313342394
22,11.0,0.011,420.5267744338698,47.72764410560318,146,70,2.8803203728347246,0.6818234872229026
23,11.5,0.0115,420.5254256931991,47.73754505098721,146,71,2.880311134884925,0.672359789450524
24,12.0,0.012,420.5229188170142,47.75225652359511,146,71,2.8802939645000976,0.672566993290072
25,12.5,0.0125,420.5169667680257,47.75264157031964,146,71,2.880253197041272,0.6725724164833752
26,13.0,0.013,420.5135054860362,47.75556569705012,146,71,2.8802294896303855,0.6726136013669032
27,13.5,0.0135,420.5129004919216,47.76344268057563,146,71,2.880225345835079,0.6727245447968399
28,14.0,0.014,420.5154883966611,47.77595811046075,146,70,2.8802430712100078,0.6825136872922964
29,14.5,0.0145,420.52159452433756,47.79583997134619,146,70,2.8802848940023122,0.6827977138763741
30,15.0,0.015,420.52865355728005,47.82823011527129,146,71,2.880333243543014,0.6736370438770605
31,15.5,0.0155,420.53914986372394,47.8696363733064,146,71,2.8804051360529037,0.6742202306099494
32,16.0,0.016,420.55368523975415,47.91178908735676,146,71,2.880504693422974,0.6748139308078416
33,16.5,0.0165,420.57202669125326,47.9557596526519,146,71,2.880630319803105,0.6754332345443929
34,17.0,0.017,420.586226946011,47.993058887519425,146,71,2.8807275818219935,0.6759585758805553
35,17.5,0.0175,420.60269660920574,48.02986887718536,146,71,2.880840387734286,0.6764770264392304
36,18.0,0.018,420.6154159042117,48.05457633520705,146,71,2.880927506193231,0.676825018805733
37,18.5,0.0185,420.6206246525062,48.0688520886546,146,71,2.880963182551412,0.6770260857556986
38,19.0,0.019,420.6241443813231,48.07906612013228,146,71,2.8809872902830347,0.6771699453539759
39,19.5,0.0195,420.6315099179654,48.0910313590499,146,71,2.881037739164147,0.6773384698457732
40,20.0,0.02,420.63719259886113,48.09862948887491,146,71,2.8810766616360346,0.6774454857588016
41,20.5,0.0205,420.6464839936321,48.1070943195412,146,71,2.8811403013262478,0.6775647087259323
42,21.0,0.021,420.65137508033564,48.10980414002119,146,71,2.881173801920107,0.6776028752115659
43,21.5,0.0215,420.66023329079167,48.11840406235214,146,71,2.8812344745944634,0.6777240008781993
44,22.0,0.022,420.66338079661983,48.12012401006642,146,71,2.88125603285356,0.6777482254938932
45,22.5,0.0225,420.65544779269766,48.11393386911679,146,71,2.8812016972102583,0.6776610404100957
46,23.0,0.023,420.6497677535393,48.10892153437336,146,71,2.8811627928324612,0.6775904441461036
47,23.5,0.0235,420.6461227554295,48.103548792754665,146,71,2.8811378270919827,0.6775147717289387
48,24.0,0.024,420.6448297596047,48.09797442967157,146,71,2.8811289709561967,0.6774362595728389
49,24.5,0.0245,420.647341388538,48.100700675432975,146,70,2.8811461738940958,0.6871528667918997
50,25.0,0.025,420.65144504928026,48.10719683289072,146,70,2.8811742811594536,0.6872456690412959
51,25.5,0.0255,420.6591805603321,48.11037826482927,146,69,2.8812272641118644,0.6972518589105693
52,26.0,0.026,420.67159311994027,48.11455796822001,146,69,2.8813122816434267,0.6973124343220292
53,26.5,0.0265,420.6879190529653,48.119798520053,146,69,2.8814241031025016,0.6973883843485943
54,27.0,0.027,420.70624969977274,48.125090408377964,146,69,2.881549655477895,0.6974650783822893
55,27.5,0.0275,420.7260614155657,48.13018869705912,146,69,2.881685352161409,0.6975389666240452
56,28.0,0.028,420.73885855873255,48.12930284484497,146,69,2.881773003826935,0.6975261281861591
57,28.5,0.0285,420.75155709450536,48.12035968971392,146,69,2.8818599800993523,0.6973965172422307
58,29.0,0.029,420.7640677861687,48.112622908786435,146,69,2.881945669768279,0.697284389982412
59,29.5,0.0295,420.7733806084244,48.10652578272869,146,69,2.882009456222085,0.6971960258366475
60,30.0,0.03,420.78021750249627,48.10932672772743,146,69,2.882056284263673,0.6972366192424265
61,30.5,0.0305,420.78032728210724,48.10665570846578,146,69,2.8820570361788165,0.6971979088183446
62,31.0,0.031,420.7787540928348,48.099198817703304,146,69,2.8820462609098274,0.6970898379377289
