r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0014023223989689357
0.75,0.02998393815608751
0.8500000000000001,0.1499038973558032
0.95,38.35063605292075
1.05,9.921189726614516
1.1500000000000001,0.1941038642447322
1.25,0.07591343293157629
1.35,0.09566390769723468
1.4500000000000002,0.21726659484334523
1.55,0.6976605008006734
1.6500000000000001,1.6670285007890753
1.75,2.360703105845017
1.85,2.329381654778531
1.9500000000000002,1.7364906328565703
2.05,1.168589597082681
2.1500000000000004,0.8191130215580461
2.25,0.6939998217657631
2.3500000000000005,0.6550605330523065
2.45,0.7557569610203361
2.55,0.94577101104238
2.6500000000000004,1.3232713203676065
2.75,1.936146344073934
2.8500000000000005,2.8298609630920737
2.95,3.8484919907077297
3.05,4.56600851280953
3.1500000000000004,4.721765273119199
3.25,4.361779850226582
3.3500000000000005,3.727397115509037
3.45,3.166005892257687
3.55,2.85091162650345
3.6500000000000004,2.876911180651305
3.75,3.4787266740698772
3.8500000000000005,2.9333745882865894
3.95,2.283426331135918
4.050000000000001,2.1719434775438082
4.15,2.1481424541207974
4.25,2.1295953396944074
4.35,2.13231449966642
4.45,2.1422333490071526
4.550000000000001,2.1651190067509427
4.65,2.1871300028556973
4.75,2.2463946548181877
4.8500000000000005,2.275606429246845
4.95,2.3170148290448096
5.050000000000001,2.349218697752212
5.15,2.3891496382105033
5.25,2.3964250207910953
5.3500000000000005,2.423072387324156
5.45,2.4362479090964544
5.550000000000001,2.404879691041423
5.65,2.3945985021645413
5.75,2.3678532980143854
5.8500000000000005,2.3158171389787663
5.95,2.2986580793166773
6.050000000000001,2.279513432387683
6.15,2.261777288629812
6.25,2.2575871298698984
6.3500000000000005,2.2358803724518115
6.45,2.209421464452426
6.550000000000001,2.1813491192777428
6.65,2.1671510701306604
6.75,2.1677952963174274
6.8500000000000005,2.159062277156119
6.95,2.161949770778969
7.050000000000001,2.149904850132953
7.15,2.1410187083510954
7.25,2.119956114409772
7.3500000000000005,2.120541508077713
7.45,2.117599716853619
7.550000000000001,2.105075193271949
7.65,2.0916879078925628
7.75,2.0864808552471583
7.8500000000000005,2.082277696848464
7.95,2.0670864364268033
