r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0011113629807504796
0.55,0.04545658287629915
0.6500000000000001,0.24486614522089128
0.75,1.6348905173666466
0.8500000000000001,0.21651619737540595
0.95,0.08027026931797764
1.05,0.018289859340350753
1.1500000000000001,0.006211237528523236
1.25,0.0069711798875746874
1.35,0.031118163461013423
1.4500000000000002,0.8933106566756803
1.55,3.3957362814876215
1.6500000000000001,1.7769481666221165
1.75,8.628650216110891
1.85,2.747338483883873
1.9500000000000002,0.8630535831229553
2.05,1.258770107166419
2.1500000000000004,1.7930418380434716
2.25,2.173688181338325
2.3500000000000005,2.3743339336104117
2.45,2.421620035226498
2.55,2.3038577664237323
2.6500000000000004,2.206865043238585
2.75,2.0964843851842714
2.8500000000000005,2.0556847190695664
2.95,2.058806147516254
3.05,2.186426445217113
3.1500000000000004,2.1687999079696865
3.25,2.1681770572629175
3.3500000000000005,2.223269289012109
3.45,2.295395444753241
3.55,2.3802422741445066
3.6500000000000004,2.4672380800064033
3.75,2.530875975717683
3.8500000000000005,2.548508082752452
3.95,2.5616624307962645
4.050000000000001,2.5802980822125177
4.15,2.5993929940786002
4.25,2.5799946729499155
4.35,2.4670264062389604
4.45,2.3506837295508016
4.550000000000001,2.2426211572217998
4.65,2.1834521747175226
4.75,2.1868045180228206
4.8500000000000005,2.1973196415240177
4.95,2.104141694491278
5.050000000000001,2.0813226878712108
5.15,2.086081311242668
5.25,2.0959868529642436
5.3500000000000005,2.132277371288715
5.45,2.1749401782728865
5.550000000000001,2.2098952799472262
5.65,2.2238275068182882
5.75,2.2365070137252796
5.8500000000000005,2.248842991548595
5.95,2.2458993590078573
6.050000000000001,2.2404627484031376
6.15,2.2259964495397315
6.25,2.219976268112144
6.3500000000000005,2.2088346477403253
6.45,2.180814954832131
6.550000000000001,2.1809722790347243
6.65,2.1765003296421277
6.75,2.166118564591658
6.8500000000000005,2.152582573264249
6.95,2.14159285158822
7.050000000000001,2.139863411819351
7.15,2.1340557989619584
7.25,2.13096422738295
7.3500000000000005,2.1178723126862296
7.45,2.116749394208578
7.550000000000001,2.111398293164299
7.65,2.103660530796121
7.75,2.0953066206524227
7.8500000000000005,2.094543819786595
7.95,2.0946851163737104
