lag_time_fs,property_acf
0.0,1.0
0.5,0.9976672778187675
1.0,0.9953749841645201
1.5,0.9931548143838647
2.0,0.9910162978107309
2.5,0.988989052424785
3.0,0.9870720754505706
3.5,0.9852675486697053
4.0,0.9835860814028072
4.5,0.9820002536515251
5.0,0.9806063027666171
5.5,0.979410663954548
6.0,0.9783457822968126
6.5,0.9773715124505857
7.0,0.9764666933213176
7.5,0.9756207737032304
8.0,0.9748412367556221
8.5,0.9740984841750585
9.0,0.973402031521715
9.5,0.9727211713943336
10.0,0.9720178211825591
10.5,0.9712559936293862
11.0,0.9704367185001134
11.5,0.9695069373677196
12.0,0.9685291643446365
12.5,0.9675521538117556
13.0,0.9665896517370752
13.5,0.9656353053538285
14.0,0.9646891562228657
14.5,0.9637405693138861
15.0,0.9628309048506375
15.5,0.9619357856651134
16.0,0.9610329400556551
16.5,0.9601658685551121
17.0,0.9593918110781058
17.5,0.9586642380858368
18.0,0.9579831308289675
18.5,0.9573782432713667
19.0,0.9567997468241511
19.5,0.9562369885711858
20.0,0.9556793059965729
20.5,0.9551118246506177
21.0,0.9545260844568709
21.5,0.9539242018576997
22.0,0.953266885089754
22.5,0.9525773985084879
23.0,0.9518834236177132
23.5,0.9511636861014974
24.0,0.950461787877563
24.5,0.9497724182397365
25.0,0.9490891987204727
25.5,0.9483940389245201
26.0,0.9477167389466916
26.5,0.947018979134238
27.0,0.9463230541348403
27.5,0.9456545239791718
28.0,0.9450698584083617
28.5,0.944522279624928
29.0,0.9440012105311951
29.5,0.9434917454464067
30.0,0.9430258104335424
30.5,0.9425831709220553
31.0,0.9421415074622409
31.5,0.9417380880263815
32.0,0.9413313933580737
32.5,0.940921360062306
33.0,0.9404962487368631
33.5,0.9400666601920402
34.0,0.9396646780475881
34.5,0.9392741726266163
35.0,0.938849427874615
35.5,0.9384095853353511
36.0,0.9379792049870431
36.5,0.9375518816270932
37.0,0.9371415077404409
37.5,0.936715029539256
38.0,0.9362766475975475
38.5,0.9359203663098431
39.0,0.9356227719193946
39.5,0.9353207972527996
40.0,0.9350346935872217
40.5,0.9347473511237397
41.0,0.9344395782886944
41.5,0.9341670144797252
42.0,0.9339254673277331
42.5,0.9337041771314418
43.0,0.9334528291381311
43.5,0.9331457052225299
44.0,0.93278706083976
44.5,0.9324175064841013
45.0,0.932042611188973
45.5,0.9316836617137223
46.0,0.9313361580618917
46.5,0.9309510102520725
47.0,0.9305399931161895
47.5,0.9301567146652024
48.0,0.9298279298161309
48.5,0.9295279945157805
49.0,0.929275165135134
49.5,0.9290683935054663
