coordination_state,count,percentage
0D1A,1455,1.5964625462206081
0D2A,706,0.7746409330802401
0D3A,53,0.05815293123690188
1D0A,3091,3.3915228387408245
1D1A,12357,13.558410779139557
1D2A,13121,14.396690769045085
1D3A,2571,2.8209657775485795
1D4A,27,0.029625078177289633
2D0A,2735,3.000910696847672
2D1A,14992,16.44959896421949
2D2A,32384,35.53253821086472
2D3A,4880,5.354458574265682
2D4A,73,0.08009743359044975
3D0A,89,0.09765303547328806
3D1A,571,0.6265155421937919
3D2A,1422,1.5602541173372542
3D3A,344,0.37744544048102346
4D1A,4,0.004388900470709576
free H2O,264,0.28966743106683196
