r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.04273842105413841
1.25,1.028825417472806
1.35,0.0
1.4500000000000002,0.0
1.55,0.0
1.6500000000000001,0.0
1.75,0.028769678537692172
1.85,0.014086067919725378
1.9500000000000002,0.03235174673367565
2.05,0.09216869447230185
2.1500000000000004,0.11544186906725717
2.25,0.05615213987126082
2.3500000000000005,0.1947618060508158
2.45,0.7970652178617448
2.55,3.888006479521647
2.6500000000000004,10.828259091042375
2.75,10.315555985057811
2.8500000000000005,8.098425508696307
2.95,5.498285193770128
3.05,3.5946415937968372
3.1500000000000004,3.10280949521348
3.25,2.55076909935899
3.3500000000000005,2.540592840507189
3.45,2.672408328267596
3.55,2.6068102854547206
3.6500000000000004,2.8057075448755304
3.75,2.701331680417223
3.8500000000000005,2.8479200339451785
3.95,2.853966757883843
4.050000000000001,2.947166405523775
4.15,2.764471119713385
4.25,3.083295490883988
4.35,3.1345081019881014
4.45,3.1547172037686284
4.550000000000001,3.027850476221833
4.65,3.2649829178936867
4.75,3.1900375318260643
4.8500000000000005,3.181685512896031
4.95,2.9793932993892844
5.050000000000001,2.9332923086232237
5.15,2.954240599710427
5.25,2.84862037177191
5.3500000000000005,2.6244673976656157
5.45,2.623011053125355
5.550000000000001,2.5725153772476235
5.65,2.3509228581076065
5.75,2.4317155969897604
5.8500000000000005,2.4346875345924284
5.95,2.542821101020282
6.050000000000001,2.5989331598250063
6.15,2.5885470158568165
6.25,2.7234615342780653
6.3500000000000005,2.687708044873822
6.45,2.7194571966913315
6.550000000000001,2.668324081806644
6.65,2.5637162318926308
6.75,2.5225774180761733
6.8500000000000005,2.48637973768937
6.95,2.659803788013305
7.050000000000001,2.7023158780816794
7.15,2.487493071616403
7.25,2.3968273303731564
7.3500000000000005,2.4775120745605337
7.45,2.3470816784761745
7.550000000000001,2.371030940070748
7.65,2.392053434113905
7.75,2.410710174479572
7.8500000000000005,2.4197416485900725
7.95,2.300674299900373
