r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.02184132033565599
1.25,1.0611517163242947
1.35,0.0
1.4500000000000002,0.0
1.55,0.0
1.6500000000000001,0.0
1.75,0.0
1.85,0.0
1.9500000000000002,0.0
2.05,0.0
2.1500000000000004,0.0
2.25,0.01012034317450688
2.3500000000000005,0.14675795670289887
2.45,1.0053956083712008
2.55,4.855313429568786
2.6500000000000004,11.07716415655375
2.75,10.162692489333535
2.8500000000000005,7.736398583487304
2.95,5.958699709710915
3.05,4.672578671757512
3.1500000000000004,3.724412930624931
3.25,3.335441544551088
3.3500000000000005,3.0536127166623035
3.45,3.003491540561356
3.55,2.9512648576652882
3.6500000000000004,2.9247044792092693
3.75,2.8455856179543475
3.8500000000000005,2.8886817505465463
3.95,2.943118279244413
4.050000000000001,2.8516456483915715
4.15,2.864994377631395
4.25,2.8804224253412243
4.35,2.9059049847714586
4.45,2.9748391655552444
4.550000000000001,2.993583497421533
4.65,3.009365775622097
4.75,3.0280197604352144
4.8500000000000005,3.09448127372483
4.95,3.141555461962972
5.050000000000001,3.182676461600203
5.15,3.1421174185091187
5.25,2.972971287787283
5.3500000000000005,2.849095970540547
5.45,2.7412847460655603
5.550000000000001,2.7114691863310845
5.65,2.786304286832038
5.75,2.753205243525678
5.8500000000000005,2.813338099487343
5.95,2.880711387426545
6.050000000000001,2.894642107419147
6.15,2.934023213543831
6.25,2.8760881823513005
6.3500000000000005,2.878615085738628
6.45,2.847062369478298
6.550000000000001,2.8233974508860427
6.65,2.812196533813063
6.75,2.7665325493855697
6.8500000000000005,2.726280114061343
6.95,2.713987669946592
7.050000000000001,2.6743621511658078
7.15,2.6994015583284194
7.25,2.6291793163310477
7.3500000000000005,2.6140082870636445
7.45,2.5991167967974254
7.550000000000001,2.503968611940539
7.65,2.5103752843113116
7.75,2.471294427866525
7.8500000000000005,2.4103748631665094
7.95,2.383837674231924
