lag_time_fs,property_acf
0.0,1.0
0.5,0.9970779228581247
1.0,0.994204784057308
1.5,0.9913893945415155
2.0,0.9886662216705624
2.5,0.9860705727726621
3.0,0.9835912890841034
3.5,0.9812652809285994
4.0,0.9791198826916463
4.5,0.977099022412665
5.0,0.9751906988978277
5.5,0.9734190331977364
6.0,0.9717640471879956
6.5,0.9701808403275054
7.0,0.9686638237099382
7.5,0.9671624688251287
8.0,0.9656727689466685
8.5,0.9641858994219338
9.0,0.9626922283436312
9.5,0.9611949333592387
10.0,0.959718130494725
10.5,0.9582618276491501
11.0,0.956845377931235
11.5,0.9554888133643606
12.0,0.9541753597259568
12.5,0.9529210331581515
13.0,0.9517242487675328
13.5,0.9505962795115965
14.0,0.9495058449825744
14.5,0.9484617214957057
15.0,0.9474439092707783
15.5,0.9464427287449002
16.0,0.9454404944661257
16.5,0.9444170546588416
17.0,0.9433926902367573
17.5,0.9423383084176883
18.0,0.9412845188183527
18.5,0.9401927004292067
19.0,0.9390821072149119
19.5,0.9379696343371515
20.0,0.9368544761552114
20.5,0.9357592248954438
21.0,0.9346854481262152
21.5,0.9336492585688345
22.0,0.932660279744609
22.5,0.9317064448367849
23.0,0.9307950700821653
23.5,0.9299388919995649
24.0,0.9291058666172477
24.5,0.9282992259868567
25.0,0.9275142027481078
25.5,0.9267483296752368
26.0,0.9259846848742375
26.5,0.9251958568723047
27.0,0.9244148964049138
27.5,0.9236280352577801
28.0,0.9228263973016178
28.5,0.9220213310015827
29.0,0.9212499455444026
29.5,0.9204976661812109
30.0,0.9197589144209136
30.5,0.9190321466387749
31.0,0.9183261819203239
31.5,0.9176604023378216
32.0,0.9170186088682168
32.5,0.916404913900162
33.0,0.9158152902916847
33.5,0.9152521017565992
34.0,0.9147033093613511
34.5,0.9141575390163628
35.0,0.9136229401569904
35.5,0.9130937902779405
36.0,0.9125755355680897
36.5,0.9120461116531183
37.0,0.9115003827775178
37.5,0.9109472361666846
38.0,0.9103996066923751
38.5,0.9098720533492488
39.0,0.9093686280250831
39.5,0.9088796330076339
40.0,0.9084130900853525
40.5,0.907962533821835
41.0,0.9075289283150728
41.5,0.9071178714856187
42.0,0.9067229720431987
42.5,0.9063279702990336
43.0,0.9059498690779427
43.5,0.9055918375609855
44.0,0.9052288534489181
44.5,0.9048569419830165
45.0,0.9044744030510902
45.5,0.9040742517143486
46.0,0.9036577934937268
46.5,0.903234746867038
47.0,0.9028188876821579
47.5,0.9024116025391092
48.0,0.9019928625977096
48.5,0.9015781485133102
49.0,0.9011820591686419
49.5,0.9008093882549492
