lag_time_fs,property_acf
0.0,1.0
0.5,0.9966650272524541
1.0,0.9934175473619608
1.5,0.9903658544818693
2.0,0.9874768527905059
2.5,0.9847982572456905
3.0,0.9823511086429452
3.5,0.9801429113786745
4.0,0.9782490668476417
4.5,0.9765481164441727
5.0,0.9751157840330248
5.5,0.9737893755063416
6.0,0.972569224373522
6.5,0.9714420210262042
7.0,0.9705583063001537
7.5,0.9698711988623934
8.0,0.9693742771302842
8.5,0.9689514609666701
9.0,0.9687058500788698
9.5,0.9684803130685524
10.0,0.9681512027491409
10.5,0.967580584127421
11.0,0.9666230456643019
11.5,0.9651739235356983
12.0,0.9637759187166957
12.5,0.9624646724296385
13.0,0.9611643769282917
13.5,0.9599304704326207
14.0,0.9589287076131644
14.5,0.9579871594655561
15.0,0.957231104903657
15.5,0.9565707368992216
16.0,0.9558670928831595
16.5,0.955126998403369
17.0,0.9546295326841866
17.5,0.954277688098782
18.0,0.9540226668532251
18.5,0.9538721222605882
19.0,0.9537562932110452
19.5,0.9536054249852582
20.0,0.9534110635546466
20.5,0.9530192369935689
21.0,0.9524574342934833
21.5,0.951718009478673
22.0,0.950765037739979
22.5,0.9496684622018634
23.0,0.9484706082180923
23.5,0.9473124831720209
24.0,0.9462864439242392
24.5,0.9453085051985682
25.0,0.9444211394484063
25.5,0.9436242757285423
26.0,0.9429748296798837
26.5,0.9423876827362818
27.0,0.9418491692738468
27.5,0.9414667286444739
28.0,0.9413411421043588
28.5,0.9412511020794357
29.0,0.941146498643664
29.5,0.9410987052923511
30.0,0.9410292192377966
30.5,0.9408303626084765
31.0,0.9404660619781677
31.5,0.9402813770004259
32.0,0.9399878588153673
32.5,0.9394847083848842
33.0,0.9389007200081128
33.5,0.9382433138017057
34.0,0.9375703322951379
34.5,0.9369680406451473
35.0,0.9364153016598386
35.5,0.9358612902050778
36.0,0.935356113927282
36.5,0.9348789660082515
37.0,0.9345103629783967
37.5,0.9342292096672669
38.0,0.9340138347451418
38.5,0.9338859951580956
39.0,0.9338166167224866
39.5,0.9337397238113446
40.0,0.9336773756588828
40.5,0.9335706599448694
41.0,0.933323494687131
41.5,0.9331575098069635
42.0,0.9329689510820526
42.5,0.9328910247391687
43.0,0.932672562697842
43.5,0.9322833944395791
44.0,0.9318413172540365
44.5,0.9314497831536819
45.0,0.9310126535141616
45.5,0.9306102362204725
46.0,0.9301775236275139
46.5,0.9297288409220007
47.0,0.9293095578386549
47.5,0.9290615963201031
48.0,0.9289330583161448
48.5,0.9288573166427622
49.0,0.9288571127851204
49.5,0.9288117477927728
