Delta_A,Free_Energy_kcal_mol
-0.98,0.1707365971205399
-0.94,0.09018075305130868
-0.9,0.03288993539585039
-0.86,0.0033804422566722225
-0.8200000000000001,0.0
-0.78,0.034374558596160565
-0.74,0.11442031156005328
-0.7,0.25515466378641694
-0.6599999999999999,0.4305571091171428
-0.62,0.6434965814597845
-0.5800000000000001,0.8799972064655363
-0.54,1.1809196664106159
-0.5,1.5031343720003716
-0.45999999999999996,1.856810682549104
-0.42,2.2358010869882525
-0.38,2.6073034233898396
-0.33999999999999997,3.0129039989813267
-0.3,3.3199699051559985
-0.26,3.892151052728379
-0.21999999999999997,3.8393589504486245
-0.18,4.283697548980915
-0.14,4.741105324546535
-0.09999999999999998,4.696925024714566
-0.06,4.514868324898703
-0.020000000000000018,4.375596207872072
0.020000000000000018,4.327877848812886
0.06000000000000005,4.547101106033875
0.10000000000000009,5.615278635073019
0.14,14.381421648325285
0.17999999999999994,14.381421648325285
0.21999999999999997,14.381421648325285
0.26,14.381421648325285
0.30000000000000004,14.381421648325285
0.3400000000000001,14.381421648325285
0.3800000000000001,14.381421648325285
0.42000000000000004,14.381421648325285
0.45999999999999996,14.381421648325285
0.5,14.381421648325285
0.54,14.381421648325285
0.5800000000000001,14.381421648325285
0.6200000000000001,14.381421648325285
0.66,14.381421648325285
0.7,14.381421648325285
0.74,14.381421648325285
0.78,14.381421648325285
0.8200000000000001,14.381421648325285
0.8600000000000001,14.381421648325285
0.9,14.381421648325285
0.94,14.381421648325285
0.98,14.381421648325285
