r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.027983031807623623
0.55,0.14807550007292686
0.6500000000000001,0.21459177054840362
0.75,1.3136834160887538
0.8500000000000001,0.15424556979081117
0.95,0.0783347712731023
1.05,0.049928908064914464
1.1500000000000001,0.036420259734496904
1.25,0.040497043631992906
1.35,0.10208624566855284
1.4500000000000002,1.0643296475415003
1.55,3.252525150759366
1.6500000000000001,1.6424586007085058
1.75,8.746355210163232
1.85,2.6910709063644225
1.9500000000000002,0.7476649783392793
2.05,0.9671731978577663
2.1500000000000004,1.3431693116119077
2.25,1.699049739839456
2.3500000000000005,2.0224413664076715
2.45,2.165748802980237
2.55,2.1307840717873763
2.6500000000000004,2.0035711307385844
2.75,1.8462695604273565
2.8500000000000005,1.8629756025609272
2.95,1.9022960799276463
3.05,1.9955128961346111
3.1500000000000004,1.9853403582424354
3.25,1.9386195004703437
3.3500000000000005,1.9740794224509715
3.45,2.031089760350563
3.55,2.0985037560490083
3.6500000000000004,2.1909964500528507
3.75,2.252819548038827
3.8500000000000005,2.308923759896668
3.95,2.3153094030144055
4.050000000000001,2.3721253900461368
4.15,2.423333572016625
4.25,2.40973409320309
4.35,2.3169636614935687
4.45,2.141514973920971
4.550000000000001,2.0107290609184356
4.65,1.9905120472397628
4.75,1.9932073259067251
4.8500000000000005,2.003781026202397
4.95,1.930570398485385
5.050000000000001,1.8869289447962867
5.15,1.9136687077666166
5.25,1.914161750416125
5.3500000000000005,1.94095529314327
5.45,1.9828533678180864
5.550000000000001,2.055614010519735
5.65,2.0703206150940248
5.75,2.0652429637679424
5.8500000000000005,2.089837312772928
5.95,2.103287010394037
6.050000000000001,2.0667612489019738
6.15,2.0391989371814905
6.25,2.0131434414791802
6.3500000000000005,1.9865438143072938
6.45,1.9576296013000316
6.550000000000001,1.9466365200060887
6.65,1.9523773247166225
6.75,1.9381343946698828
6.8500000000000005,1.9520546426630128
6.95,1.9328558111874352
7.050000000000001,1.9227806573164454
7.15,1.9270822369938552
7.25,1.9172641503040904
7.3500000000000005,1.9353720460550656
7.45,1.9252152843218513
7.550000000000001,1.9437095033795537
7.65,1.9346169786492402
7.75,1.933308856575372
7.8500000000000005,1.917308487497954
7.95,1.9148168322999772
