coordination_state,count,percentage
0D1A,7408,1.3146546369615293
0D2A,6395,1.1348834237809098
0D3A,1397,0.24791745786113073
0D4A,7,0.001242249251988486
1D0A,8693,1.5426961067908442
1D1A,66415,11.786283438687901
1D2A,78707,13.967673125179683
1D3A,11001,1.9522834315893336
1D4A,140,0.024844985039769722
2D0A,11471,2.035691595651418
2D1A,108334,19.225404352131523
2D2A,206847,36.7079330037232
2D3A,34737,6.164573180903434
2D4A,1254,0.22254008028479452
3D0A,478,0.08482787749292806
3D1A,5418,0.9615009210390882
3D2A,10087,1.7900811721154084
3D3A,1540,0.27329483543746697
3D4A,126,0.02236048653579275
4D0A,9,0.001597177609699482
4D1A,32,0.005678853723375937
4D2A,208,0.03691254920194359
4D3A,43,0.007630959690786415
free H2O,2747,0.48749409931605303
