Angle_deg,Phi_probability_density,Theta_probability_density
1.0,0.0,0.0003703302261724113
3.0,0.0,0.0005961413396921742
5.0,5.419466724474312e-05,0.0008851795649974709
7.0,0.0002348435580605535,0.0013458342365777875
9.0,0.00018064889081581038,0.001860683575402847
11.0,0.0007225955632632415,0.0022490786906568393
13.0,0.002221981357034468,0.0016890671291278272
15.0,0.002185851578871306,0.0017161644627501987
17.0,0.003233615145603006,0.0022039164679528867
19.0,0.003703302261724113,0.002890382253052966
21.0,0.0029084471421345474,0.0026103764722884603
23.0,0.004046535154274153,0.0027007009176963654
25.0,0.006557554736613918,0.0035587831490714646
27.0,0.007623383192427198,0.004525254714936051
29.0,0.0069549822964087,0.004272346267793916
31.0,0.007767902305079847,0.005663342727075656
33.0,0.009231158320687912,0.0058981862851362095
35.0,0.008779536093648385,0.007171760965387673
37.0,0.008201459643037791,0.007542091191560084
39.0,0.010026013440277476,0.009330515210636606
41.0,0.011886697015680323,0.007722740082375894
43.0,0.012735746802514632,0.00817436230941542
45.0,0.014740949490570128,0.006819495628296843
47.0,0.014578365488835898,0.007207890743550834
49.0,0.012844136137004119,0.0065304574029915454
51.0,0.011525399234048703,0.006629814292940241
53.0,0.010875063227111785,0.006918852518245538
55.0,0.011958956572006648,0.007686610304212732
57.0,0.01058602500180649,0.007677577859671942
59.0,0.009700845436809017,0.008490497868343088
61.0,0.009122768986198425,0.009077606763494473
63.0,0.00836404364477202,0.009095671652576054
65.0,0.007117566298142929,0.009610520991401113
67.0,0.005708504949779608,0.011678950791242142
69.0,0.006413035623961269,0.013602861478430522
71.0,0.006900787629163957,0.01180540501481321
73.0,0.006304646289471783,0.012392513909964592
75.0,0.007171760965387673,0.013521569477563408
77.0,0.007388539634366645,0.013675121034756847
79.0,0.008490497868343088,0.01235638413180143
81.0,0.007623383192427198,0.011028614784305224
83.0,0.008671146759158898,0.010820868559867042
85.0,0.008327913866608859,0.010531830334561745
87.0,0.00834597875569044,0.010866030782570995
89.0,0.008653081870077317,0.01147120456680396
91.0,0.010116337885685382,0.009845364549461666
93.0,0.010748609003540719,0.00972794277043139
95.0,0.009718910325890598,0.008653081870077317
97.0,0.009050509429872101,0.008625984536454946
99.0,0.009267288098851073,0.008047908085844354
101.0,0.007533058747019293,0.0071898258544692535
103.0,0.007442734301611388,0.006819495628296843
105.0,0.006900787629163957,0.005925283618758581
107.0,0.007876291639569334,0.005302044945444035
109.0,0.005871088951513837,0.005193655610954548
111.0,0.005401401835392731,0.006069802731411229
113.0,0.004877520052026881,0.004579449382180793
115.0,0.005527856058963798,0.004263313823253125
117.0,0.004931714719271623,0.0038478213743767613
119.0,0.005780764506105932,0.005365272057229568
121.0,0.005419466724474312,0.005085266276465062
123.0,0.005166558277332177,0.004949779608353205
125.0,0.004281378712334707,0.004678806272129489
127.0,0.005148493388250596,0.0048052604957005566
129.0,0.00417298937784522,0.004660741383047908
131.0,0.003197485367439844,0.00538333694631115
133.0,0.003920080930703085,0.004678806272129489
135.0,0.004841390273863718,0.004380735602283402
137.0,0.004263313823253125,0.004696871161211071
139.0,0.0025471493605029264,0.004841390273863718
141.0,0.0025110195823397643,0.004218151600549173
143.0,0.0033239395910109114,0.004841390273863718
145.0,0.003071031143868777,0.004552352048558422
147.0,0.002763928029481899,0.0041458920442228485
149.0,0.0021677866897897246,0.002854252474889804
151.0,0.0020774622443818194,0.0029626418093792904
153.0,0.0017342293518317797,0.0024387600260134404
155.0,0.0015535804610159693,0.002538116915962136
157.0,0.0013368017920369968,0.001978105354433124
159.0,0.0013368017920369968,0.0021406893561673533
161.0,0.0005600115615290122,0.0012645422357106728
163.0,0.0006142062287737553,0.0010296986776501193
165.0,0.0005058168942842691,0.0007858226750487752
167.0,0.00036129778163162076,0.000713563118722451
169.0,0.0004154924488763639,0.00048775200520268804
171.0,0.0004154924488763639,0.0005148493388250596
173.0,0.00016258400173422936,0.00011742177903027676
175.0,0.00021677866897897247,0.00013548666811185779
177.0,0.00014451911265264832,0.00016258400173422936
179.0,5.419466724474312e-05,2.709733362237156e-05
