Delta_Z_A,Density_Substrate_atoms_per_A3,Density_O_atoms_per_A3,Density_H_atoms_per_A3
-14.8875,0.07777602717249593,0.0,0.0
-14.662500000000001,0.08103289569732389,0.0,0.0
-14.4375,0.07271512941985891,0.0,0.0
-14.212499999999999,0.0823874854303717,0.0,0.0
-13.9875,0.07741647557668695,0.0,0.0
-13.7625,0.0742285907882642,0.0,0.0
-13.537500000000001,0.08276166993996362,0.0,0.0
-13.3125,0.08176663180272478,0.0,0.0
-13.087499999999999,0.08075905116795773,0.0,0.0
-12.8625,0.08321947109974367,0.0,0.0
-12.6375,0.08467858164552666,0.0,0.0
-12.412500000000001,0.08529316402440948,0.0,0.0
-12.1875,0.0870700178409074,0.0,0.0
-11.962499999999999,0.08297698281419807,0.0,0.0
-11.7375,0.08401801010904038,0.0,0.0
-11.5125,0.08272822327988837,0.0,0.0
-11.287500000000001,0.08872771793088723,0.0,0.0
-11.0625,0.08562763062516203,0.0,0.0
-10.837499999999999,0.09038123718835764,0.0,0.0
-10.6125,0.09228142556388305,0.0,0.0
-10.3875,0.08299370614423571,0.0,0.0
-10.1625,0.08180425929530945,0.0,6.271248764110299e-06
-9.9375,0.08083848698563646,0.0,0.00026757328060203944
-9.712499999999999,0.07747291681556394,8.15262339334339e-05,0.000328195351988439
-9.4875,0.07290953813154634,0.0002822061943849635,0.0004159928346859832
-9.2625,0.07067279273901367,0.00031774327071492183,0.0008278048368625595
-9.0375,0.06858864773307434,0.0008675227457019247,0.0009323256495977312
-8.8125,0.06869525896206422,0.0014256638857077415,0.0024541486830218307
-8.587499999999999,0.06661738520488901,0.0016326150949233812,0.0027907057000290834
-8.3625,0.07152359215467796,0.0021593999911086463,0.0035934255418352016
-8.1375,0.07008956660395141,0.0047766011419973445,0.005439263094738333
-7.9125,0.07235557782404993,0.0039759717164459295,0.009331618160996126
-7.6875,0.06928266592963589,0.007107415265991673,0.01131960401921909
-7.4625,0.06610732363874137,0.008386750013870174,0.01228119549638267
-7.2375,0.0674640037880439,0.008355393770049622,0.012837246220133783
-7.0125,0.0724621890530398,0.008551892897991745,0.01594569519087779
-6.7875,0.07286354897394287,0.007939400935363638,0.019275728284620357
-6.562499999999999,0.07144833716950864,0.008562344979265262,0.022388358087873768
-6.3374999999999995,0.06867435479951718,0.01044790044100776,0.021058853349882386
-6.1125,0.057191698312431226,0.011537007309708247,0.020931337958345477
-5.8875,0.05369234150205768,0.014001608074003595,0.023232886254773957
-5.6625,0.0578439081838987,0.012412891720428986,0.02412549399553232
-5.437499999999999,0.04906415991414428,0.014133304298049912,0.02403978692908948
-5.2124999999999995,0.04568604724654353,0.01312781407953756,0.029430970449969635
-4.9875,0.047872622648963324,0.015303937400683833,0.03247043568430843
-4.7625,0.05613185727129659,0.015040544952591202,0.02944560336375256
-4.5375,0.06546556584854742,0.014434324238727207,0.029086051767943568
-4.312499999999999,0.07228450367139001,0.013928443505088975,0.02682213096409975
-4.0874999999999995,0.06952306379892678,0.011273614861615615,0.02598596446221838
-3.8625,0.07074595730792829,0.010569144583780558,0.026117660686264695
-3.6375,0.06400645530276441,0.012989846606727133,0.023949899030137233
-3.4124999999999996,0.057986056489218535,0.011858931412932577,0.024449508515011355
-3.187499999999999,0.04684831868415864,0.013880363931230795,0.023523454114177732
-2.9624999999999995,0.04294551153662733,0.01200107971825241,0.02522087211299692
-2.7375,0.04417049546188354,0.012833065387624376,0.027141964651069377
-2.5125,0.045113273192754794,0.00982704681336084,0.029619107912892944
-2.2874999999999996,0.049841794760893954,0.01460782878786759,0.027804626603810365
-2.062499999999999,0.05441562552618507,0.019227648710762178,0.029054695524123018
-1.8374999999999995,0.05560716279136602,0.017728820256139817,0.03125381342407103
-1.6124999999999998,0.05586010315818514,0.017638932357187567,0.03445424071002198
-1.3875000000000002,0.0487735920547405,0.017342093249019683,0.0347050906605864
-1.1624999999999996,0.04210516420223655,0.016409767599421952,0.03559978881759947
-0.9374999999999991,0.038003767510508414,0.01597078018593423,0.03277354604124042
-0.7124999999999995,0.02866169726823877,0.016474570503317756,0.030599513136348854
-0.4874999999999998,0.02493448508610255,0.016119199740018172,0.030637140628933517
-0.2625000000000002,0.019359344934808495,0.015464899452295998,0.027994854482988378
-0.037499999999999645,0.0147959662507909,0.015387554050871971,0.02646885061705487
0.1875000000000009,0.011133556972550486,0.013602338569355239,0.02877667016224746
0.41250000000000053,0.008160985058362203,0.018142722674571097,0.035430465100968485
0.6375000000000002,0.0077094551473462615,0.023329045402490315,0.04044119286349262
0.8624999999999998,0.006129100458790466,0.024875953430970855,0.045458191874780854
1.0874999999999995,0.004483942866338864,0.02355899119050769,0.0533390611550128
1.3125,0.0036665901107498216,0.029780069964505107,0.058792957163534054
1.5375000000000014,0.0030331939855746813,0.02552398246992892,0.054187770154422395
1.762500000000001,0.0021008683359769503,0.02389763862376965,0.04637379419434096
1.9875000000000007,0.001563631358518168,0.028979440538953693,0.04691103117179974
2.2125000000000004,0.000999218969748241,0.02759349456208532,0.051581021084807215
2.4375,0.0009720435584370964,0.021102752091231157,0.04865443832822241
2.6625000000000014,0.0007358265216556084,0.019992741059983634,0.04955122690149018
2.887500000000001,0.0006981990290709466,0.01953912073271299,0.049586763977820136
3.1125000000000007,0.0006981990290709466,0.022616213459636443,0.047130524878543606
3.3375000000000004,0.001751768821441477,0.023086557116944715,0.04404716090285604
3.5625,0.00202143251829822,0.02175078113018922,0.043516195174161366
3.7875000000000014,0.0038045575835602484,0.025302398346930356,0.04590136012077799
4.012500000000001,0.0038693604874560548,0.02909859426547179,0.055327047013235764
4.237500000000001,0.00314189563081926,0.02604240570109537,0.05239210259163214
4.4625,0.0043898741348772094,0.024232105224522196,0.05208272098593603
4.6875,0.004617729506639884,0.023176445015896965,0.050730221669142914
4.912500000000001,0.005491523501105919,0.02126162372658862,0.047343747336523356
5.137500000000001,0.006505375384637084,0.0182075255784669,0.04383393844487629
5.362500000000001,0.008188160469673347,0.019999012308747746,0.04074012238791521
5.5875,0.008200702967201568,0.018452104280267206,0.03194783162063257
5.8125,0.006574359121042297,0.017526049879433583,0.03008527073769181
6.037500000000001,0.006628709943664587,0.014816870413337934,0.02974453288817515
6.262500000000001,0.006940181965615398,0.011656161036226343,0.027909147416545536
6.487500000000001,0.006474019140816532,0.011284066942889132,0.026694615572562842
6.7125,0.003929982558842454,0.010523155426177083,0.018928719186339586
6.9375,0.0036498667807121944,0.01116700363262574,0.015931062277094864
7.162500000000001,0.0040512267016152535,0.0052344023017773965,0.01284142705264319
7.387500000000001,0.003382293500110155,0.0032401451947903213,0.01116073238386163
7.612500000000001,0.0035286226379393952,0.0029328540053489166,0.0070279794483129425
7.8375,0.0026799136385298014,0.001829114222865504,0.003668680527004525
8.0625,0.002755168623699125,0.0010995589499740058,0.002286915382645556
8.287500000000001,0.0021593999911086463,0.0002090416254703433,0.0020297941833170336
8.512500000000001,0.002013070853279406,0.00011288247775398539,0.0008466185831548904
8.7375,0.0017726729839885112,0.0,0.0005351465612040789
8.9625,0.002061150427137585,0.0,0.00014005788906513002
9.1875,0.0012856059966426113,0.0,0.0
9.412500000000001,0.00118735643267155,0.0,0.0
9.637500000000001,0.0015176422009146925,0.0,0.0
9.8625,0.0015866259373199056,0.0,0.0
10.0875,0.0018165717253372834,0.0,0.0
10.3125,0.001578264272301092,0.0,0.0
10.537500000000001,0.0017684921514791044,0.0,0.0
10.762500000000001,0.0018709225479595726,0.0,0.0
10.9875,0.002220022062495046,0.0,0.0
11.2125,0.0021886658186744943,0.0,0.0
11.4375,0.0014737434595659203,0.0,0.0
11.662500000000001,0.0015260038659335063,0.0,0.0
11.887500000000001,0.001684875501290967,0.0,0.0
12.1125,0.0015364559472070233,0.0,0.0
12.3375,0.0014068501394154105,0.0,0.0
12.5625,0.001379674728104266,0.0,0.0
12.787500000000001,0.0016367959274327883,0.0,0.0
13.012500000000001,0.001530184698442913,0.0,0.0
13.2375,0.0016054396836122367,0.0,0.0
13.4625,0.0014841955408394375,0.0,0.0
13.6875,0.0014549297132735895,0.0,0.0
13.912500000000001,0.0012249839252562117,0.0,0.0
14.137500000000001,0.0016451575924516018,0.0,0.0
14.3625,0.0019336350356006756,0.0,0.0
14.5875,0.0022179316462403427,0.0,0.0
14.8125,0.0022910962151549627,0.0,0.0
15.037500000000001,0.0021552191585992395,0.0,0.0
15.262500000000001,0.0020569695946281784,0.0,0.0
15.4875,0.0017914867302808422,0.0,0.0
15.7125,0.0018249333903560972,0.0,0.0
15.9375,0.0014068501394154105,0.0,0.0
16.1625,0.0014068501394154105,0.0,0.0
16.387500000000003,0.001390126809377783,0.0,0.0
16.6125,0.0017768538164979182,0.0,0.0
16.8375,0.0019315446193459722,0.0,0.0
17.0625,0.0017287742426397392,0.0,0.0
17.2875,0.0020486079296093643,0.0,0.0
17.5125,0.0020841450059393227,0.0,0.0
17.7375,0.0023391757890131415,0.0,0.0
17.962500000000002,0.0021593999911086463,0.0,0.0
18.187500000000004,0.0015699026072822783,0.0,0.0
