coordination_state,count,percentage
0D1A,2708,3.0348537487392133
0D2A,2001,2.2425193320632073
0D3A,113,0.12663902275019612
1D0A,3880,4.348313347528858
1D1A,16280,18.24498487055923
1D2A,14640,16.407037991706826
1D3A,1384,1.5510478538608092
1D4A,64,0.07172475624789869
2D0A,2836,3.1783032612350106
2D1A,15833,17.744032276140313
2D2A,23744,26.609884567970415
2D3A,3194,3.579513616496694
2D4A,137,0.15353580634315814
3D0A,301,0.3373304942283985
3D1A,562,0.6298330158018604
3D2A,705,0.790093018043259
3D3A,13,0.014569091112854421
free H2O,835,0.9357839291718032
