r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,9.449474850895628e-05
0.75,0.02093793638628452
0.8500000000000001,0.24645145931190557
0.95,36.57828683381585
1.05,10.944688826671522
1.1500000000000001,0.45342831705135056
1.25,0.1805460510575427
1.35,0.21189857571095425
1.4500000000000002,0.36768086420813023
1.55,0.791517807380735
1.6500000000000001,1.5237855231116568
1.75,2.0050272174852983
1.85,1.9497275401975847
1.9500000000000002,1.6173301178132917
2.05,1.1699427416673853
2.1500000000000004,0.8635509659282816
2.25,0.709200633251292
2.3500000000000005,0.7045570370445496
2.45,0.801121164743126
2.55,1.0012351475926853
2.6500000000000004,1.3885035134308856
2.75,1.9706660198871095
2.8500000000000005,2.768100572997486
2.95,3.7375912351103637
3.05,4.5487902607181265
3.1500000000000004,4.703797255852305
3.25,4.243248883895279
3.3500000000000005,3.6365144934744906
3.45,3.165491826312833
3.55,2.9141707497788607
3.6500000000000004,2.8804158414882184
3.75,3.571023960806928
3.8500000000000005,2.977892347738465
3.95,2.3072264619686624
4.050000000000001,2.2123109944817165
4.15,2.1745215610609914
4.25,2.163602887116693
4.35,2.127935568796619
4.45,2.1330228957405537
4.550000000000001,2.1632624922227697
4.65,2.1887342681850894
4.75,2.2304195964123195
4.8500000000000005,2.257706724970263
4.95,2.278253172520414
5.050000000000001,2.3166411282360078
5.15,2.358572827768886
5.25,2.3730177866220648
5.3500000000000005,2.367116700363919
5.45,2.386616314929131
5.550000000000001,2.389185457241777
5.65,2.3623070236156316
5.75,2.349147507673774
5.8500000000000005,2.324408655665476
5.95,2.2974770249243113
6.050000000000001,2.311111936810407
6.15,2.3135080197408207
6.25,2.3083065586368803
6.3500000000000005,2.2917022659551027
6.45,2.2498046898754964
6.550000000000001,2.2257429896996954
6.65,2.220569697593939
6.75,2.22730660909264
6.8500000000000005,2.210016031466275
6.95,2.1843084056415587
7.050000000000001,2.18547854080318
7.15,2.179081700446593
7.25,2.172404304059749
7.3500000000000005,2.158779888571199
7.45,2.139712998199573
7.550000000000001,2.1153730708055813
7.65,2.1083770213603086
7.75,2.099866116554624
7.8500000000000005,2.0866275736749946
7.95,2.083778914664071
