Delta_A,Free_Energy_kcal_mol
-0.98,0.12246587740718073
-0.94,0.06641579969170897
-0.9,0.019834756205333703
-0.86,0.0
-0.8200000000000001,0.017995604456167213
-0.78,0.06418698529689959
-0.74,0.1369423023571471
-0.7,0.25709174358717324
-0.6599999999999999,0.41423673924333804
-0.62,0.632395605112848
-0.5800000000000001,0.8886485530537069
-0.54,1.2153899562724098
-0.5,1.5649665866371527
-0.45999999999999996,2.01073042432188
-0.42,2.4655963019550753
-0.38,2.962500911496038
-0.33999999999999997,3.4775676676404763
-0.3,4.040723294341035
-0.26,4.280834388062403
-0.21999999999999997,5.137680741969555
-0.18,6.369098619655826
-0.14,14.288062437120024
-0.09999999999999998,14.288062437120024
-0.06,5.260642037478153
-0.020000000000000018,5.826483323302478
0.020000000000000018,5.826483323302478
0.06000000000000005,5.260642037478154
0.10000000000000009,14.288062437120024
0.14,14.288062437120024
0.17999999999999994,14.288062437120024
0.21999999999999997,14.288062437120024
0.26,14.288062437120024
0.30000000000000004,14.288062437120024
0.3400000000000001,14.288062437120024
0.3800000000000001,14.288062437120024
0.42000000000000004,14.288062437120024
0.45999999999999996,14.288062437120024
0.5,14.288062437120024
0.54,14.288062437120024
0.5800000000000001,14.288062437120024
0.6200000000000001,14.288062437120024
0.66,14.288062437120024
0.7,14.288062437120024
0.74,14.288062437120024
0.78,14.288062437120024
0.8200000000000001,14.288062437120024
0.8600000000000001,14.288062437120024
0.9,14.288062437120024
0.94,14.288062437120024
0.98,14.288062437120024
