Angle_deg,Phi_probability_density,Theta_probability_density
1.0,0.0003434366561390986,9.090970309564374e-05
3.0,0.0012053953225274244,0.00027946316136809004
5.0,0.0023232479679997846,0.0004175112290318453
7.0,0.003121233139617102,0.0007878840934955791
9.0,0.004292958201738732,0.0010471450986201927
11.0,0.0044276392433619085,0.001548831978666523
13.0,0.0053300022222371865,0.0019208883561505465
15.0,0.006181859810503775,0.0019023697129273598
17.0,0.006101051185529869,0.002375436871628765
19.0,0.006225631149031307,0.0028097832308635073
21.0,0.0064411208156283884,0.003153219887002606
23.0,0.006737419107199375,0.0037272978269213934
25.0,0.006272769513599418,0.004340096566306844
27.0,0.006232365201112465,0.0049629963838140325
29.0,0.0067071158728341605,0.00486703614165752
31.0,0.006946174721715298,0.005681856443477734
33.0,0.006767722341564589,0.005853574771547283
35.0,0.006835062862376178,0.0065859029353733025
37.0,0.00743776052363989,0.007109475484683399
39.0,0.006973110930039933,0.007089273328439922
41.0,0.00654213159684577,0.007601061286607991
43.0,0.007013515242526885,0.008040458184903601
45.0,0.007191967622677594,0.008410831049367335
47.0,0.00710105791958195,0.008789621478932518
49.0,0.007370420002828302,0.008806456609135415
51.0,0.007932713351605062,0.00900342763250931
53.0,0.007582542643384804,0.009274473228775951
55.0,0.008596017481599202,0.009735755796335328
57.0,0.00833002242439343,0.010267745910746874
59.0,0.008653256924289053,0.010138115408184567
61.0,0.00798658576825433,0.010572461767419309
63.0,0.008484905622260083,0.009569088007326648
65.0,0.008619586663883258,0.010240809702422238
67.0,0.008488272648300661,0.010496703681506273
69.0,0.00871723041906006,0.010747547121529437
71.0,0.008633054768045576,0.010501754220567141
73.0,0.009299725924080297,0.01034855453572078
75.0,0.009131374622051327,0.009851918194735318
77.0,0.009993333288439652,0.009925992767628065
79.0,0.010151583512346884,0.009427672913622315
81.0,0.010969770840207678,0.009457976147987528
83.0,0.009824981986410682,0.009353598340729567
85.0,0.009909157637425168,0.009419255348520866
87.0,0.010333402918538173,0.009200398655883204
89.0,0.009801412804126627,0.008299719190028216
91.0,0.010020269496764288,0.008400729971245597
93.0,0.010003434366561391,0.008417565101448494
95.0,0.00978794469996431,0.008362009171778935
97.0,0.009558986929204911,0.00844281779675284
99.0,0.009010161684590469,0.00805055926302534
101.0,0.009319928080323774,0.008212176512973152
103.0,0.008814874174236863,0.007789614744880437
105.0,0.009319928080323774,0.007787931231860147
107.0,0.008599384507639782,0.007873790395894921
109.0,0.007973117664092014,0.007646516138155812
111.0,0.008030357106781863,0.00777277961467754
113.0,0.007225637883083388,0.007816550953205072
115.0,0.0063367430083704265,0.007641465599094943
117.0,0.006946174721715298,0.006868733122781971
119.0,0.005431013003454568,0.007134728179987744
121.0,0.0044276392433619085,0.00631990787816753
123.0,0.004168378238237295,0.00620542899278783
125.0,0.004949528279651715,0.0059815217610893
127.0,0.004175112290318453,0.005548858914874848
129.0,0.003444467639512724,0.005843473693425545
131.0,0.0031683715041852132,0.005252560623303861
133.0,0.0028215678220055353,0.004658280527141597
135.0,0.0027609613532751064,0.0044495249126256745
137.0,0.002622913285611351,0.004215516602805406
139.0,0.0025623068168809217,0.0038400931992808034
141.0,0.0022458063690664583,0.0034242654832692477
143.0,0.0018080929837911367,0.003331672267153314
145.0,0.0015016936140984114,0.0032070923036518766
147.0,0.0015892362911534758,0.0026414319288345376
149.0,0.0012559007131361154,0.002164997744092553
151.0,0.0010303099684172957,0.002146479100869366
153.0,0.0011144856194317807,0.0017643216452636044
155.0,0.0007205435726839912,0.0013434433901911797
157.0,0.0004983198540057509,0.0012660017912578536
159.0,0.0004579155415187981,0.0010033737600926606
161.0,0.00043434635923474233,0.0008114532757796349
163.0,0.0005824955050202358,0.0005993306352231328
165.0,0.00035353773426083677,0.0004713836456811157
167.0,0.000313133421773884,0.0004663331066202466
169.0,0.00027946316136809004,0.00035017070822025736
171.0,0.0003232344998956222,0.0001515161718260729
173.0,0.00020538858847534328,0.00010269429423767164
175.0,0.00010437780725796133,0.00010606132027825104
177.0,9.090970309564374e-05,6.902403383187766e-05
179.0,5.0505390608690966e-05,1.3468104162317591e-05
