frame_idx,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
14,-0.4936652,-0.6989557,-0.030817227,0.36393574,-0.021492139,-0.3381117,-0.67965657,0.10057899,-0.36493632,-0.04054377,0.23804045,-0.024069037,-0.3136359,0.13939185,0.37789956,0.3102364,0.3593832,0.05074434,0.04362723,0.26248282,0.17609784,-0.04076569,-0.50177014,0.24292094,1.0057323,-0.025399584,0.33068517,0.2322239,-0.40502426,0.08970442,0.04341199,-0.57272756
15,-0.16492079,-0.44098535,0.10018346,0.5503044,-0.71907187,-0.022528393,-0.6253807,0.48050672,0.071894474,0.17372167,-0.2525475,0.19457814,-0.25901818,-0.16553704,0.3451257,-0.31258243,-0.38590086,0.52552253,0.02025593,0.14801414,0.13432229,0.085876495,-0.13848755,-0.04377707,0.70229703,0.27702418,-0.26026756,-0.38496184,-0.6664359,0.5329524,0.26355898,-0.5221483
16,0.10398714,-0.020739885,0.77230537,0.5999218,-0.20017946,-0.4505708,-0.0058644917,-0.4312264,-0.62286323,-0.58837736,0.5414074,0.082228765,0.320983,0.1170634,0.37420386,0.29229024,-0.47367635,0.4807775,-0.3282657,-0.10852287,0.164386,0.38534227,-0.47415504,0.06186303,0.025852906,-0.028431995,-0.32950458,0.48708293,0.21323282,-0.16915512,0.25249535,-0.31845927
17,-0.057688363,-0.22424531,0.5826301,0.40812457,-0.3889899,0.0055147996,0.1385006,0.13945179,-0.43084323,-0.71671206,0.27884158,0.020614538,0.46396196,-0.15984067,0.9022004,0.19236712,-0.33484733,-0.23511603,0.15538126,-0.03776103,0.4187882,-0.1183979,-0.6729854,0.24907112,0.28108183,0.11967614,0.12820095,0.46599382,0.23369986,-0.5233744,0.50284743,-0.49283636
18,-0.057688363,-0.22424531,0.5826301,0.40812457,-0.3889899,0.0055147996,0.1385006,0.13945179,-0.43084323,-0.71671206,0.27884158,0.020614538,0.46396196,-0.15984067,0.9022004,0.19236712,-0.33484733,-0.23511603,0.15538126,-0.03776103,0.4187882,-0.1183979,-0.6729854,0.24907112,0.28108183,0.11967614,0.12820095,0.46599382,0.23369986,-0.5233744,0.50284743,-0.49283636
19,0.2664099,-0.08935215,0.6031614,-0.3660148,-0.17012686,0.28802347,-0.7702649,-0.60936373,0.34445262,0.22141892,-0.29284897,-0.04453546,0.38391662,0.110100076,0.7274617,0.017003927,0.1587315,0.38186747,-0.4393382,0.3837692,0.5031656,-0.59860903,-0.22035393,-0.311492,0.36387777,-0.032598432,0.039707378,-0.105473086,0.7729485,0.19823499,0.044446457,-0.15763715
20,0.2664099,-0.08935215,0.6031614,-0.3660148,-0.17012686,0.28802347,-0.7702649,-0.60936373,0.34445262,0.22141892,-0.29284897,-0.04453546,0.38391662,0.110100076,0.7274617,0.017003927,0.1587315,0.38186747,-0.4393382,0.3837692,0.5031656,-0.59860903,-0.22035393,-0.311492,0.36387777,-0.032598432,0.039707378,-0.105473086,0.7729485,0.19823499,0.044446457,-0.15763715
21,0.2664099,-0.08935215,0.6031614,-0.3660148,-0.17012686,0.28802347,-0.7702649,-0.60936373,0.34445262,0.22141892,-0.29284897,-0.04453546,0.38391662,0.110100076,0.7274617,0.017003927,0.1587315,0.38186747,-0.4393382,0.3837692,0.5031656,-0.59860903,-0.22035393,-0.311492,0.36387777,-0.032598432,0.039707378,-0.105473086,0.7729485,0.19823499,0.044446457,-0.15763715
22,0.2664099,-0.08935215,0.6031614,-0.3660148,-0.17012686,0.28802347,-0.7702649,-0.60936373,0.34445262,0.22141892,-0.29284897,-0.04453546,0.38391662,0.110100076,0.7274617,0.017003927,0.1587315,0.38186747,-0.4393382,0.3837692,0.5031656,-0.59860903,-0.22035393,-0.311492,0.36387777,-0.032598432,0.039707378,-0.105473086,0.7729485,0.19823499,0.044446457,-0.15763715
23,0.2664099,-0.08935215,0.6031614,-0.3660148,-0.17012686,0.28802347,-0.7702649,-0.60936373,0.34445262,0.22141892,-0.29284897,-0.04453546,0.38391662,0.110100076,0.7274617,0.017003927,0.1587315,0.38186747,-0.4393382,0.3837692,0.5031656,-0.59860903,-0.22035393,-0.311492,0.36387777,-0.032598432,0.039707378,-0.105473086,0.7729485,0.19823499,0.044446457,-0.15763715
24,-0.069990754,-0.1162476,0.10196292,0.06391033,0.121922456,0.32690948,-0.126656,0.030605175,0.44417614,-0.5881345,0.7831709,0.48263583,0.06396514,-0.035919327,0.48968437,0.054948978,0.4115125,-0.38213772,-0.00056284043,-0.25604865,0.5943767,-0.6148225,-0.49619308,0.19554858,0.7268412,0.6018049,0.5501231,0.1286248,-0.29020086,-0.21726638,0.12104145,0.16504021
25,-0.069990754,-0.1162476,0.10196292,0.06391033,0.121922456,0.32690948,-0.126656,0.030605175,0.44417614,-0.5881345,0.7831709,0.48263583,0.06396514,-0.035919327,0.48968437,0.054948978,0.4115125,-0.38213772,-0.00056284043,-0.25604865,0.5943767,-0.6148225,-0.49619308,0.19554858,0.7268412,0.6018049,0.5501231,0.1286248,-0.29020086,-0.21726638,0.12104145,0.16504021
26,-0.069990754,-0.1162476,0.10196292,0.06391033,0.121922456,0.32690948,-0.126656,0.030605175,0.44417614,-0.5881345,0.7831709,0.48263583,0.06396514,-0.035919327,0.48968437,0.054948978,0.4115125,-0.38213772,-0.00056284043,-0.25604865,0.5943767,-0.6148225,-0.49619308,0.19554858,0.7268412,0.6018049,0.5501231,0.1286248,-0.29020086,-0.21726638,0.12104145,0.16504021
27,-0.02090166,-0.5649756,0.37513676,0.04911608,0.27634487,0.29910314,-0.18421859,-0.04631731,0.2710961,-0.22921729,-0.08190301,0.45594046,0.29857373,0.60106677,0.5026237,0.18355289,-0.06940001,-0.62306005,-0.1175088,0.14104415,0.87420017,-1.1607819,-0.2029412,-0.3200936,0.23484142,-0.27916822,-0.2839499,0.10956337,0.19778104,-0.1790628,-0.03069324,-0.24592987
28,-0.02090166,-0.5649756,0.37513676,0.04911608,0.27634487,0.29910314,-0.18421859,-0.04631731,0.2710961,-0.22921729,-0.08190301,0.45594046,0.29857373,0.60106677,0.5026237,0.18355289,-0.06940001,-0.62306005,-0.1175088,0.14104415,0.87420017,-1.1607819,-0.2029412,-0.3200936,0.23484142,-0.27916822,-0.2839499,0.10956337,0.19778104,-0.1790628,-0.03069324,-0.24592987
29,0.29414678,-0.42058036,0.29545754,-0.10709091,0.52412707,0.344736,-0.16179906,-0.10259934,-0.00016012788,-0.44130245,-0.117698394,0.6606021,-0.10523302,0.23980851,0.10917562,-0.019403724,0.2406503,-0.46910813,-0.32353693,-0.07853129,0.75563955,-0.58664846,-0.38641775,-0.38686115,0.4332651,-0.47428066,-0.824853,0.31885386,0.47315875,0.42479044,0.10301823,0.26585028
30,-0.30642256,-0.0007579322,0.12542993,0.002287724,-0.11677461,0.72338426,0.08416182,-0.17509447,0.33018318,-0.09692776,0.77443314,0.62386715,0.19114937,0.22619575,-0.10942002,0.5993319,0.48129606,-0.048278872,0.28525046,-0.1504173,0.089153305,-0.8561937,-1.0098407,-0.39465088,0.17713143,-0.21509433,0.21175517,-0.108337246,0.21612014,0.2567164,-0.35456818,-0.12285015
31,-0.18641298,-0.67005914,-0.04954657,-0.17538463,0.5777916,0.34437802,0.13243471,0.022432,-0.24351625,-0.40957522,0.33308402,0.733246,0.0059478125,0.5980864,-0.06278801,0.19254164,0.35058227,-0.17946722,0.36398903,-0.16097517,0.58246326,0.27801046,-0.5927294,0.2845496,0.22007605,-0.19364633,-0.4612903,0.5155494,0.3216378,0.8015133,-0.34479803,0.3128802
32,-0.29198372,-0.43663266,0.31115875,-0.20383087,0.89235544,0.26736566,0.052006133,-0.19379582,-0.10283446,-1.0168748,0.17511618,0.4393169,-0.34994572,0.33170122,-0.5459672,0.19480081,0.37052292,-0.41572407,-0.13563202,-0.0755288,0.40024844,0.23527464,-0.4524322,0.10080224,0.9528577,-0.082364894,-0.14408115,0.19158968,-0.3346779,0.24943244,-0.2953838,0.17839372
33,-0.5483758,-0.19781436,0.48750088,0.56093836,0.38684642,-0.02076881,-0.33641577,-0.22500917,-0.56377643,0.2881748,-0.17489177,0.5700532,0.16627504,0.2619232,0.31378806,0.63578576,-0.15523778,-0.3811491,-0.056224782,0.5654415,-0.1543472,-0.38352737,-0.2535912,0.17647465,0.50818014,-0.55239606,0.1581882,0.71337396,0.0131138135,-0.66558695,0.12114115,-0.49156374
