r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.007564109483519809
0.6500000000000001,0.05957295693825363
0.75,1.822378875033964
0.8500000000000001,0.10134336304563563
0.95,0.022818047721753665
1.05,0.014527892817553921
1.1500000000000001,0.01730164929122678
1.25,0.024894997132160396
1.35,0.07532981460953883
1.4500000000000002,1.3984608359632311
1.55,16.879400829913642
1.6500000000000001,3.2214701833701587
1.75,0.38254017201879126
1.85,0.45462010833017524
1.9500000000000002,0.8611000139256663
2.05,1.6214372891567885
2.1500000000000004,2.1780053483104087
2.25,2.6458844083454425
2.3500000000000005,2.789276500773968
2.45,2.7812231894223336
2.55,2.546251996521596
2.6500000000000004,2.1964218958480775
2.75,1.7799862436618816
2.8500000000000005,1.8122037159758184
2.95,2.134460883439492
3.05,2.180776876212654
3.1500000000000004,2.011767253021276
3.25,2.1331451162581225
3.3500000000000005,2.187320060423983
3.45,2.364750977015341
3.55,2.3590433280785796
3.6500000000000004,2.203556105366984
3.75,2.3840620783033604
3.8500000000000005,2.309677675355579
3.95,2.0521061791940416
4.050000000000001,2.059293931974096
4.15,2.127717349224407
4.25,2.068291360557617
4.35,2.066916651026331
4.45,2.046589618460352
4.550000000000001,2.0722325967260065
4.65,2.117187160463693
4.75,2.0245186074194153
4.8500000000000005,2.028273872648045
4.95,1.8518060624468866
5.050000000000001,1.8547395177376627
5.15,1.8682152601319817
5.25,1.8068547838517777
5.3500000000000005,1.8469825702136642
5.45,1.9952161190474482
5.550000000000001,1.9166843194665324
5.65,2.0190278132779467
5.75,2.1429822812113497
5.8500000000000005,2.102236713863716
5.95,2.053431114364088
6.050000000000001,2.0911324490348853
6.15,2.2394733814642933
6.25,2.1571368573857383
6.3500000000000005,2.102555120254727
6.45,1.9850098743906814
6.550000000000001,1.9080614933145486
6.65,1.9493649612631956
6.75,1.9088575022057146
6.8500000000000005,1.8774745210839434
6.95,1.8254457860690305
7.050000000000001,1.7081026937383077
7.15,1.6360407926100569
7.25,1.5482104165301893
7.3500000000000005,1.4770165549088639
7.45,1.3952509474613564
7.550000000000001,1.3450881587068593
7.65,1.295099366328563
7.75,1.2445974724669158
7.8500000000000005,1.2111591098684467
7.95,1.1569871095207251
