coordination_state,count,percentage
0D1A,7242,1.3097025047472646
0D2A,7349,1.3290532597884077
0D3A,583,0.10543448774753594
0D4A,116,0.020978388642734425
1D0A,5613,1.0151008228592098
1D1A,60397,10.922687403924405
1D2A,85236,15.414775296138892
1D3A,7931,1.434306899357989
1D4A,271,0.04900985622569853
2D0A,7302,1.3205533954245412
2D1A,119829,21.670856316122617
2D2A,200978,36.346505108961026
2D3A,33044,5.975947192332037
2D4A,580,0.10489194321367212
2D5A,2,0.0003616963559092142
3D0A,325,0.05877565783524731
3D1A,5231,0.9460168188805498
3D2A,8343,1.508816348675287
3D3A,1147,0.20743286011393436
3D4A,18,0.003255267203182928
4D1A,34,0.006148838050456642
4D2A,182,0.032914368387738493
free H2O,1197,0.2164752690116647
