r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.005113732463191637
0.75,0.08194093381019373
0.8500000000000001,0.35585561787974745
0.95,39.09634822657143
1.05,8.872144156649007
1.1500000000000001,0.3732068759904262
1.25,0.14319178183331355
1.35,0.11433373609061237
1.4500000000000002,0.206778153514595
1.55,0.5637569286840445
1.6500000000000001,1.3939869819702913
1.75,2.275428660690979
1.85,2.3379764019368983
1.9500000000000002,1.7287572350565017
2.05,1.1148785171402469
2.1500000000000004,0.7391655820632481
2.25,0.5578906749287784
2.3500000000000005,0.4953370484207842
2.45,0.5292347477826427
2.55,0.6508329378153409
2.6500000000000004,0.9620571017072418
2.75,1.4054499655654678
2.8500000000000005,2.2245239875821827
2.95,3.3348456476391726
3.05,4.244304950837126
3.1500000000000004,4.498757783015017
3.25,4.009211706541918
3.3500000000000005,3.423085247978332
3.45,2.8203701857908148
3.55,2.51591511847757
3.6500000000000004,2.6187902573412174
3.75,3.3175494155844647
3.8500000000000005,2.7316703798391906
3.95,2.0610886447758388
4.050000000000001,2.0081143020717676
4.15,1.9211318219019495
4.25,1.9112802554783515
4.35,1.9029831908208639
4.45,1.9312556638555258
4.550000000000001,1.9349041723481772
4.65,1.9840851000683017
4.75,2.0807691455579196
4.8500000000000005,2.1105598125402665
4.95,2.0860768633063898
5.050000000000001,2.147462845859219
5.15,2.173698881755806
5.25,2.186964155513456
5.3500000000000005,2.155867739913226
5.45,2.119433810191576
5.550000000000001,2.094926239694394
5.65,2.1295351921496
5.75,2.069265128181159
5.8500000000000005,2.004099109741273
5.95,2.033718348353782
6.050000000000001,2.0665310876337615
6.15,2.0639403316890834
6.25,2.033397048873481
6.3500000000000005,2.016675913372975
6.45,2.006815195749756
6.550000000000001,1.9564977372888075
6.65,1.9379052270545145
6.75,1.9415132908769475
6.8500000000000005,1.9477288804808621
6.95,1.9475570199159133
7.050000000000001,1.9037451479323038
7.15,1.9186827509621558
7.25,1.9255145118001826
7.3500000000000005,1.9464464550618483
7.45,1.912852271995776
7.550000000000001,1.8992398231635077
7.65,1.9177217627101866
7.75,1.8700183037026676
7.8500000000000005,1.8491335284177974
7.95,1.859000143496023
