r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0033340889422514386
0.55,0.07625695163372607
0.6500000000000001,0.2912612751942209
0.75,1.446007710610218
0.8500000000000001,0.1964562878501921
0.95,0.0725399855377437
1.05,0.028598318008740405
1.1500000000000001,0.00770874137101651
1.25,0.007792165948714682
1.35,0.038712477162808366
1.4500000000000002,0.9293616331385314
1.55,3.383193376437755
1.6500000000000001,1.802019964378766
1.75,8.963651035742012
1.85,2.5937580239824074
1.9500000000000002,0.8087690912087597
2.05,1.2255787658142472
2.1500000000000004,1.7691467525771984
2.25,2.214595229933789
2.3500000000000005,2.3862293411163265
2.45,2.419779134888829
2.55,2.3511868317717823
2.6500000000000004,2.219789652672928
2.75,2.0925115839967194
2.8500000000000005,2.0489906812154284
2.95,2.0854295325444907
3.05,2.18893279125024
3.1500000000000004,2.1871646142046592
3.25,2.193314588533886
3.3500000000000005,2.214688373490498
3.45,2.290341369284826
3.55,2.387788916010977
3.6500000000000004,2.4873402150626127
3.75,2.544403841555532
3.8500000000000005,2.570479498324212
3.95,2.5754849833841043
4.050000000000001,2.599925301273796
4.15,2.6116513971257196
4.25,2.5945848307474466
4.35,2.4947532607612106
4.45,2.3737189967746795
4.550000000000001,2.2578368987864263
4.65,2.2098983347384387
4.75,2.2126027192733972
4.8500000000000005,2.2227203391311123
4.95,2.1279340470973613
5.050000000000001,2.0969229295795753
5.15,2.0996662544707485
5.25,2.1249044269998625
5.3500000000000005,2.1462109159994514
5.45,2.1750280695831057
5.550000000000001,2.2158045811959326
5.65,2.2602953220405384
5.75,2.27449528279151
5.8500000000000005,2.2922183707481936
5.95,2.29693338095594
6.050000000000001,2.292204342846459
6.15,2.2672259005030053
6.25,2.2453974533484535
6.3500000000000005,2.2254590365884583
6.45,2.202275740638026
6.550000000000001,2.1919451055444754
6.65,2.1869354493862816
6.75,2.181682091774088
6.8500000000000005,2.174316679989644
6.95,2.165927852712657
7.050000000000001,2.15969905251105
7.15,2.1578514015805723
7.25,2.1508860312290308
7.3500000000000005,2.1483531897866026
7.45,2.142394726986046
7.550000000000001,2.1264811816176232
7.65,2.1192680664143695
7.75,2.116067329841308
7.8500000000000005,2.1088402968639657
7.95,2.11184279622587
