lag_time_fs,property_acf
0.0,1.0
0.5,0.997563946406821
1.0,0.9951421168940029
1.5,0.9927725547779325
2.0,0.9904934618688556
2.5,0.9882483327919286
3.0,0.9861514919663351
3.5,0.9841272880447269
4.0,0.9821757129714811
4.5,0.9802969841148031
5.0,0.9784529113535105
5.5,0.976643598615917
6.0,0.9748691502463054
6.5,0.9731681947761769
7.0,0.9715602344593552
7.5,0.9699671878015828
8.0,0.9683315621679065
8.5,0.9666924564796905
9.0,0.9650104562001394
9.5,0.9632666511591843
10.0,0.9615392078862088
10.5,0.9598469248999573
11.0,0.958131575365109
11.5,0.956451487307273
12.0,0.9548661184082317
12.5,0.953277409285993
13.0,0.9517634652189196
13.5,0.9502453519970284
14.0,0.9487631125724127
14.5,0.9472601532041612
15.0,0.945832516179643
15.5,0.9444608045232346
16.0,0.9431070059939078
16.5,0.9417701099679342
17.0,0.9404686884600236
17.5,0.9391448341120113
18.0,0.9377590085645499
18.5,0.9363690241011458
19.0,0.9349958470118261
19.5,0.933619733924612
20.0,0.932240675413215
20.5,0.9308798730284694
21.0,0.9295743877976604
21.5,0.9282859812712487
22.0,0.9270147085166093
22.5,0.925821876867902
23.0,0.9246679165503211
23.5,0.9235330524886697
24.0,0.922472718551385
24.5,0.9214301434545127
25.0,0.9204254125941356
25.5,0.9194185463659148
26.0,0.9184296094094978
26.5,0.9174184733468626
27.0,0.9163649529326575
27.5,0.9152873424348597
28.0,0.9142275439445251
28.5,0.9131671879729594
29.0,0.9121045614318614
29.5,0.9110194341644927
30.0,0.9099706448021054
30.5,0.90898036116009
31.0,0.9080284862134032
31.5,0.9070948347652997
32.0,0.9061184651985603
32.5,0.9051215242437813
33.0,0.904165138362473
33.5,0.9032271225164212
34.0,0.902266693894221
34.5,0.901267375306623
35.0,0.9002660118682219
35.5,0.8992625972961901
36.0,0.8982571252819356
36.5,0.8972311734159808
37.0,0.8962031558185405
37.5,0.8951546561368872
38.0,0.8941040843214756
38.5,0.8930536380308681
39.0,0.8919805288560703
39.5,0.8908846908227521
40.0,0.8898280565429445
40.5,0.8887900539914358
41.0,0.8877684136417286
41.5,0.8867861954606695
42.0,0.8858227690520157
42.5,0.8848781906166275
43.0,0.8839109374025488
43.5,0.8829625621709363
44.0,0.882030664111324
44.5,0.8810551558752998
45.0,0.8800751487318651
45.5,0.8791348866367151
46.0,0.8782110283658271
46.5,0.8773270789269784
47.0,0.8765015408482002
47.5,0.8756532141283133
48.0,0.8747820240771477
48.5,0.8739089283836365
49.0,0.8730128650537974
49.5,0.8721780738180055
