Delta_A,Free_Energy_kcal_mol
-0.98,0.134839875465942
-0.94,0.07816855406034895
-0.9,0.01975162704295863
-0.86,0.0
-0.8200000000000001,0.011432923554530516
-0.78,0.045490593403807345
-0.74,0.12524694736125486
-0.7,0.2206495905488739
-0.6599999999999999,0.3689128768461812
-0.62,0.5614548387887125
-0.5800000000000001,0.8110711464819251
-0.54,1.1329701398478171
-0.5,1.4828962104603418
-0.45999999999999996,1.8245285233603847
-0.42,2.2395339939401158
-0.38,2.631080490192655
-0.33999999999999997,2.9904923307698787
-0.3,3.276491760320635
-0.26,3.631793976264748
-0.21999999999999997,3.786368208764342
-0.18,4.075213282047416
-0.14,4.4656547525340855
-0.09999999999999998,4.496233826006921
-0.06,4.244142965708121
-0.020000000000000018,4.356961708980287
0.020000000000000018,4.562542237441763
0.06000000000000005,5.83836671375308
0.10000000000000009,14.365393164078792
0.14,14.365393164078792
0.17999999999999994,14.365393164078792
0.21999999999999997,14.365393164078792
0.26,14.365393164078792
0.30000000000000004,14.365393164078792
0.3400000000000001,14.365393164078792
0.3800000000000001,14.365393164078792
0.42000000000000004,14.365393164078792
0.45999999999999996,14.365393164078792
0.5,14.365393164078792
0.54,14.365393164078792
0.5800000000000001,14.365393164078792
0.6200000000000001,14.365393164078792
0.66,14.365393164078792
0.7,14.365393164078792
0.74,14.365393164078792
0.78,14.365393164078792
0.8200000000000001,14.365393164078792
0.8600000000000001,14.365393164078792
0.9,14.365393164078792
0.94,14.365393164078792
0.98,14.365393164078792
