Angle_deg,Phi_probability_density,Theta_probability_density
1.0,0.00022902017272859372,0.00023059962219568747
3.0,0.0007423412495340625,0.0007075933612579999
5.0,0.0010819228849592187,0.0011032454527649842
7.0,0.0014973180948048748,0.0014349298408546716
9.0,0.002095929442833406,0.001930876973522109
11.0,0.0027292886791379996,0.002197803933460953
13.0,0.0030467580220238434,0.0021125136622378903
15.0,0.003250507003278937,0.002656634003651687
17.0,0.003452676535066937,0.0031652167320558745
19.0,0.0040323344894903435,0.003416349197323781
21.0,0.004649899231123999,0.003660374139989765
23.0,0.005523334786426843,0.00396994623554014
25.0,0.006286208879033124,0.004446939974602452
27.0,0.006883240777594561,0.004800736655231452
29.0,0.007147008838599218,0.004743086749682531
31.0,0.007437627540544468,0.005032126002160687
33.0,0.007840387154653374,0.004899452246924812
35.0,0.007962004763619593,0.00523350580921514
37.0,0.008311063095847311,0.005685228356803952
39.0,0.00873119665409425,0.006140109803326952
41.0,0.009370873688267218,0.006439415477341218
43.0,0.009334546350524062,0.0064244107074038275
45.0,0.009637800648206062,0.006781366286967015
47.0,0.009517762488706937,0.006922727014271906
49.0,0.009388247632405249,0.007322327729446624
51.0,0.008974431872026687,0.00782143376104825
53.0,0.009364555890398843,0.007995173202428561
55.0,0.009061301592716843,0.008542452442776545
57.0,0.008450054648951561,0.00890256692127392
59.0,0.008577990055786156,0.00904392764857881
61.0,0.008333175388386623,0.009023394805506593
63.0,0.00859694344939128,0.009541454230713342
65.0,0.008805430779047656,0.009287952591244797
67.0,0.008469008042556686,0.008766734267103858
69.0,0.008492699784563093,0.008370292450863327
71.0,0.008529027122306248,0.008719350783091046
73.0,0.008315801444248592,0.008713822709956218
75.0,0.008107314114592219,0.008840178667323718
77.0,0.00759873138618803,0.009071568014252952
79.0,0.007625582027128624,0.009444318088487077
81.0,0.007631899824996999,0.009028133153907873
83.0,0.00763663817339828,0.009379560660336234
85.0,0.007448683686814124,0.009359027817264014
87.0,0.007151747187000499,0.009738095689366514
89.0,0.007019073431764624,0.00995132136742417
91.0,0.007115419849257343,0.009780740824978046
93.0,0.006392031993328405,0.00949880909510181
95.0,0.006802688854772781,0.009583309641591327
97.0,0.0066447439080634055,0.00919081644901853
99.0,0.006609996019787343,0.009310064883784108
101.0,0.0064662661182818115,0.009427733869082593
103.0,0.006482060612952749,0.00920582121895592
105.0,0.006395190892262593,0.008915202517010671
107.0,0.006294106126368593,0.008615107118262858
109.0,0.006136161179659218,0.00821787557728878
111.0,0.005679700283669124,0.007777209175969624
113.0,0.005303791310500812,0.0075158102891656085
115.0,0.005583353866176406,0.007113840399790249
117.0,0.005532811483229406,0.007135952692329562
119.0,0.005681279733136218,0.006934572885275108
121.0,0.005387502132256781,0.006693706841543311
123.0,0.005207444893008093,0.006290157502700859
125.0,0.00567338248580075,0.006069034577307734
127.0,0.005956103940410531,0.0059600525640782645
129.0,0.00628462942956603,0.005365389839717468
131.0,0.005802897342102437,0.004761250418554109
133.0,0.005531232033762312,0.004730451153945781
135.0,0.0052990529620995305,0.004489585110213984
137.0,0.005139528565923062,0.004294523101027905
139.0,0.005409614424796093,0.0037606691811502184
141.0,0.005062135542035468,0.0037425055122786402
143.0,0.004471421441342406,0.0032986802120252966
145.0,0.004517225475888125,0.0030459682972902966
147.0,0.003986530454944625,0.0025594978614254214
149.0,0.0035885091892369995,0.0025618670356260622
151.0,0.0033294794766336247,0.0024671000676004372
153.0,0.003181011226726812,0.002358907779104515
155.0,0.0028430090407687496,0.0024505158481959526
157.0,0.002612409418573062,0.002387337869512203
159.0,0.0022207059507338123,0.0022657202605459842
161.0,0.0019237694509201873,0.0021377848537113904
163.0,0.0015747111186924685,0.0018803345905751092
165.0,0.0015020564432061561,0.001660001389915531
167.0,0.0013978127783779686,0.0014981078195384218
169.0,0.001263559573675,0.0012264425111982967
171.0,0.001059810592419906,0.0009879456416671405
173.0,0.0010250627041438437,0.0007431309742676092
175.0,0.0007928836324810624,0.0006223030900349375
177.0,0.0003458994332935312,0.0003498480569612656
179.0,0.00012161760896621873,0.00012003815949912499
