frame,step,time_fs,(H2O)2,*OH,H*,H2,H2O,H2O2,H3O+,H3O2-,H5O2,HO2*,O*,O2
4089,4089,2044.5,0,2,3,8,95,1,1,0,0,0,0,1
4090,4090,2045.0,0,2,3,8,95,1,1,0,0,0,0,1
4091,4091,2045.5,0,2,3,8,95,1,1,0,0,0,0,1
4092,4092,2046.0,0,2,2,8,95,1,1,0,0,0,0,1
4093,4093,2046.5,0,2,2,8,95,1,1,0,0,0,0,1
4094,4094,2047.0,0,2,2,8,95,1,1,0,0,0,0,1
4095,4095,2047.5,0,2,2,8,95,1,1,0,0,0,0,1
4096,4096,2048.0,0,2,3,8,95,1,1,0,0,0,0,1
4097,4097,2048.5,0,2,2,8,95,1,1,0,0,0,0,1
4098,4098,2049.0,0,2,2,8,95,1,1,0,0,0,0,1
4099,4099,2049.5,0,2,2,8,95,1,1,0,0,0,0,1
4100,4100,2050.0,0,2,1,8,95,1,1,0,0,0,0,1
4101,4101,2050.5,0,2,2,8,95,1,1,0,0,0,0,1
4102,4102,2051.0,0,2,2,8,95,1,1,0,0,0,0,1
4103,4103,2051.5,0,2,2,8,95,1,1,0,0,0,0,1
4104,4104,2052.0,0,2,2,8,95,1,1,0,0,0,0,1
4105,4105,2052.5,0,2,2,8,95,1,1,0,0,0,0,1
4106,4106,2053.0,0,2,2,8,95,1,1,0,0,0,0,1
4107,4107,2053.5,0,2,3,8,95,1,1,0,0,0,0,1
4108,4108,2054.0,0,2,2,8,95,1,1,0,0,0,0,1
4109,4109,2054.5,0,2,2,8,95,1,1,0,0,0,0,1
4110,4110,2055.0,0,2,3,8,95,1,1,0,0,0,0,1
4111,4111,2055.5,0,2,4,8,95,1,1,0,0,0,0,1
4112,4112,2056.0,0,2,3,8,95,1,1,0,0,0,0,1
4113,4113,2056.5,0,2,3,8,95,1,1,0,0,0,0,1
4114,4114,2057.0,0,2,3,8,95,1,1,0,0,0,0,1
4115,4115,2057.5,0,2,2,8,95,1,1,0,0,0,0,1
4116,4116,2058.0,0,2,2,8,95,1,1,0,0,0,0,1
4117,4117,2058.5,0,4,2,8,95,0,1,0,0,0,0,1
4118,4118,2059.0,0,4,4,8,95,0,1,0,0,0,0,1
4119,4119,2059.5,0,4,3,8,95,0,1,0,0,0,0,1
4120,4120,2060.0,0,4,3,8,95,0,1,0,0,0,0,1
4121,4121,2060.5,0,4,3,8,95,0,1,0,0,0,0,1
4122,4122,2061.0,0,4,2,8,95,0,1,0,0,0,0,1
4123,4123,2061.5,0,4,2,8,95,0,1,0,0,0,0,1
4124,4124,2062.0,0,4,2,8,95,0,1,0,0,0,0,1
4125,4125,2062.5,0,4,2,8,95,0,1,0,0,0,0,1
4126,4126,2063.0,0,4,2,8,95,0,1,0,0,0,0,1
4127,4127,2063.5,0,4,2,8,95,0,1,0,0,0,0,1
4128,4128,2064.0,0,4,2,8,95,0,1,0,0,0,0,1
4129,4129,2064.5,0,4,2,8,95,0,1,0,0,0,0,1
4130,4130,2065.0,0,4,2,8,95,0,1,0,0,0,0,1
4131,4131,2065.5,0,4,2,8,95,0,1,0,0,0,0,1
4132,4132,2066.0,0,4,2,8,95,0,1,0,0,0,0,1
4133,4133,2066.5,0,4,2,8,95,0,1,0,0,0,0,1
4134,4134,2067.0,0,4,2,8,95,0,1,0,0,0,0,1
4135,4135,2067.5,0,4,2,8,95,0,1,0,0,0,0,1
4136,4136,2068.0,0,4,2,8,95,0,1,0,0,0,0,1
4137,4137,2068.5,0,4,2,8,95,0,1,0,0,0,0,1
4138,4138,2069.0,0,4,2,8,95,0,1,0,0,0,0,1
4139,4139,2069.5,0,4,3,8,95,0,1,0,0,0,0,1
4140,4140,2070.0,0,4,3,8,95,0,1,0,0,0,0,1
4141,4141,2070.5,0,4,4,8,95,0,1,0,0,0,0,1
4142,4142,2071.0,0,4,4,8,95,0,1,0,0,0,0,1
4143,4143,2071.5,0,4,3,8,95,0,1,0,0,0,0,1
4144,4144,2072.0,0,4,3,8,95,0,1,0,0,0,0,1
4145,4145,2072.5,0,4,3,8,95,0,1,0,0,0,0,1
4146,4146,2073.0,0,4,2,8,95,0,1,0,0,0,0,1
4147,4147,2073.5,0,4,2,8,95,0,1,0,0,0,0,1
4148,4148,2074.0,0,4,2,8,95,0,1,0,0,0,0,1
4149,4149,2074.5,0,4,2,8,95,0,1,0,0,0,0,1
4150,4150,2075.0,0,4,2,8,95,0,1,0,0,0,0,1
4151,4151,2075.5,0,4,1,8,95,0,1,0,0,0,0,1
4152,4152,2076.0,0,2,1,8,95,1,1,0,0,0,0,1
4153,4153,2076.5,0,2,3,8,95,1,1,0,0,0,0,1
4154,4154,2077.0,0,2,3,8,95,1,1,0,0,0,0,1
4155,4155,2077.5,0,2,3,8,95,1,1,0,0,0,0,1
4156,4156,2078.0,0,2,3,8,95,1,1,0,0,0,0,1
4157,4157,2078.5,0,2,3,8,95,1,1,0,0,0,0,1
4158,4158,2079.0,0,2,2,8,95,1,1,0,0,0,0,1
4159,4159,2079.5,0,2,3,8,95,1,1,0,0,0,0,1
4160,4160,2080.0,0,2,3,8,95,1,1,0,0,0,0,1
