Delta_Z_A,Density_Substrate_atoms_per_A3,Density_O_atoms_per_A3,Density_H_atoms_per_A3
-14.8875,0.07667234591435211,0.0,0.0
-14.662500000000001,0.07576924846953048,0.0,0.0
-14.4375,0.06863540580644305,0.0,0.0
-14.212499999999999,0.07473915294653083,0.0,0.0
-13.9875,0.077614640296883,0.0,0.0
-13.7625,0.0858538366033719,0.0,0.0
-13.537500000000001,0.07973597856570878,0.0,0.0
-13.3125,0.08394886543070129,0.0,0.0
-13.087499999999999,0.086623664459982,0.0,0.0
-12.8625,0.08570018460755155,0.0,0.0
-12.6375,0.07978928640099339,0.0,0.0
-12.412500000000001,0.08596358802895786,0.0,0.0
-12.1875,0.08490213495579078,0.0,0.0
-11.962499999999999,0.08535995518823508,0.0,0.0
-11.7375,0.08561238346708279,0.0,0.0
-11.5125,0.09026741178943588,0.0,0.0
-11.287500000000001,0.09209242120917957,0.0,0.0
-11.0625,0.09895972469584398,0.0,0.0
-10.837499999999999,0.09635704803194833,0.0,0.0
-10.6125,0.09006201983583931,0.0,0.0
-10.3875,0.0857299742802106,0.0,0.0
-10.1625,0.09169418032205337,0.0,0.0
-9.9375,0.08933922830448034,0.0,0.00020382407608821263
-9.712499999999999,0.08533957278062626,0.000387265744567604,0.0004719311300196308
-9.4875,0.0814136074996656,0.0006318546358734592,0.0007541490815263867
-9.2625,0.08408213501891282,0.0016933077090405357,0.0014361757976677136
-9.0375,0.07984416211378637,0.0019441681103798743,0.002847265555201493
-8.8125,0.0810482920402152,0.0022828296521879812,0.004772619135480917
-8.587499999999999,0.08390810061548365,0.004073345766747511,0.007917781417272875
-8.3625,0.08879047117655053,0.005539311237074271,0.008894569104987924
-8.1375,0.08571272762761852,0.006897093159323441,0.010763479094965998
-7.9125,0.07612986029645578,0.009557781291028801,0.014615754133033216
-7.6875,0.06988186842559789,0.009855678017619265,0.019371126615922055
-7.4625,0.0590635136178389,0.009919960995462471,0.023831738127237167
-7.2375,0.057780989815991536,0.012637092717469182,0.025092311643967344
-7.0125,0.05401494804088472,0.015476518885128823,0.02557051428402046
-6.7875,0.05535234755552507,0.016588144038563766,0.02723560019791032
-6.562499999999999,0.05788760548656076,0.013780075421071545,0.029584280705449877
-6.3374999999999995,0.06288756686075544,0.016008029360466546,0.03020672807627311
-6.1125,0.061832385297621854,0.016188335273929193,0.031134911561228665
-5.8875,0.060131238201039466,0.01475059159875311,0.032713764212158124
-5.6625,0.055389976615725964,0.013838086888881267,0.030832311202113088
-5.437499999999999,0.051826191039198985,0.014087379412712235,0.0320317374960168
-5.2124999999999995,0.05379074155718768,0.0150578955903938,0.03604707179495459
-4.9875,0.05794718483187885,0.01970665240271342,0.03838320928242718
-4.7625,0.05307892516838731,0.02026638467320182,0.04011884968419373
-4.5375,0.055659651547165755,0.022818889256829587,0.04103605802659069
-4.312499999999999,0.053594756868641326,0.022936480069957403,0.03877674653702827
-4.0874999999999995,0.05498076058604117,0.019877551051125843,0.03729980592414291
-3.8625,0.058392462044256174,0.016663402158965567,0.035727224783246934
-3.6375,0.05088860028919321,0.014382140384285957,0.0320803416987763
-3.4124999999999996,0.0479723481236234,0.014454262749671017,0.03315433779201034
-3.187499999999999,0.048870741935919906,0.014002714027260207,0.034338085310830345
-2.9624999999999995,0.05130095207389475,0.014643975928183891,0.034951125416603356
-2.7375,0.04734362924276668,0.015017130775176158,0.03480217705330812
-2.5125,0.05105479530508052,0.016856251092495184,0.033474184803718
-2.2874999999999996,0.0460564018083942,0.020810438168606508,0.034814720073375084
-2.062499999999999,0.04215238681255074,0.02261820093575812,0.03764317109847613
-1.8374999999999995,0.035985924572128125,0.02312619324847028,0.04211005411982473
-1.6124999999999998,0.036239920728484205,0.024118659711269037,0.047864164575545806
-1.3875000000000002,0.03691881168960879,0.022296786046542092,0.044836593106881664
-1.1624999999999996,0.03560022670506889,0.02287533284713094,0.04239854358136497
-0.9374999999999991,0.03170248321925892,0.02213686254068826,0.0403571670654661
-0.7124999999999995,0.027660495002678823,0.021268258401050802,0.0357773968635148
-0.4874999999999998,0.022282675148966754,0.01756806748129556,0.03675888818375496
-0.2625000000000002,0.01991047647880163,0.017437933648100777,0.03648137386477332
-0.037499999999999645,0.01853701578146875,0.014611050500508104,0.03708343882798773
0.1875000000000009,0.01615697772376178,0.018306537787738237,0.03639514060181292
0.41250000000000053,0.0120334598767464,0.020351050058653845,0.03482883097095042
0.6375000000000002,0.008562179073213301,0.01938523751349739,0.03597965306209464
0.8624999999999998,0.006450248069437744,0.021399960111753956,0.03468301836267194
1.0874999999999995,0.00475850823790558,0.01827518023757082,0.03830951903953375
1.3125,0.0021025237387253316,0.016840572317411477,0.04069896436229095
1.5375000000000014,0.0019786614155640333,0.016569329508463317,0.042895560751518534
1.762500000000001,0.001089674868317752,0.016967570395589517,0.04130886871304722
1.9875000000000007,0.0011069215209098316,0.01873613622503185,0.04184194706589331
2.2125000000000004,0.000575411045572108,0.024148449383928083,0.04654557959100591
2.4375,0.0003715869694838953,0.024659577451656985,0.04495575179751785
2.6625000000000014,0.00014110897575337798,0.02477403250976806,0.04176668894549151
2.887500000000001,8.152963043528506e-05,0.02312619324847028,0.042124165017400066
3.1125000000000007,0.00014267685326174883,0.022403401717111308,0.040838505460535954
3.3375000000000004,0.00036531545945041186,0.02140936737680418,0.04111445190200923
3.5625,0.00027124280894815986,0.01550944431280461,0.04112229128955108
3.7875000000000014,0.0003856978670592331,0.013841222643898008,0.037041106135261716
4.012500000000001,0.0005236710877958694,0.01583085920202064,0.038146459778663176
4.237500000000001,0.0008701720171458309,0.016823325664819398,0.03915774077156239
4.4625,0.0009783555652234206,0.018146614281884407,0.0395716604337723
4.6875,0.000856061119570493,0.021950285117192127,0.04068328558720724
4.912500000000001,0.001335831637131978,0.026388946343390052,0.04223705219800277
5.137500000000001,0.0016462713837894097,0.025926422478420644,0.041620876337213016
5.362500000000001,0.0010504779306084804,0.022834568031913298,0.04317150719299181
5.5875,0.001349942534707316,0.01618049588638734,0.04207085718211546
5.8125,0.0024349137704999554,0.016058201440734412,0.03521452883800966
6.037500000000001,0.002430210137974843,0.013883555336624021,0.027274797135619592
6.262500000000001,0.0025164434009352405,0.011574071766793736,0.018102713711650023
6.487500000000001,0.00276887167978295,0.006752848428553321,0.012102446487114718
6.7125,0.003236099177277468,0.005481299769264549,0.010993957088696514
6.9375,0.0021542636965015704,0.002097820106200219,0.007822140889262252
7.162500000000001,0.0015866920384713169,0.0012401911091213553,0.007063288175210753
7.387500000000001,0.001643135628772668,0.0013311280046068655,0.004738125830296758
7.612500000000001,0.0015443593457453034,0.00046722749749451815,0.0022420648369703387
7.8375,0.0007353345514259363,0.00026967493143978903,0.0012056978039371963
8.0625,0.0005205353327791276,1.4110897575337798e-05,0.0004703632525112599
8.287500000000001,0.0006663479410576182,8.780114046876852e-05,0.0005142638227456441
8.512500000000001,0.0010285276454912882,0.00011915869063618584,0.0001630592608705701
8.7375,0.0009814913202401624,1.2543020066966931e-05,5.173995777623859e-05
8.9625,0.0009313192399722946,0.0,3.1357550167417325e-05
9.1875,0.0009893307077820167,0.0,2.5086040133933862e-05
9.412500000000001,0.000798049651760771,0.0,3.1357550167417328e-06
9.637500000000001,0.0006428297784320552,0.0,0.0
9.8625,0.0003214148892160276,0.0,0.0
10.0875,0.000293193094065352,0.0,0.0
10.3125,0.0001536519958203449,0.0,0.0
10.537500000000001,0.000246156768814226,0.0,0.0
10.762500000000001,0.00012386232316129845,0.0,0.0
10.9875,0.00010818354807758977,0.0,0.0
11.2125,0.00013797322073663625,0.0,0.0
11.4375,0.00017089864841242442,0.0,0.0
11.662500000000001,0.00019284893352961656,0.0,0.0
11.887500000000001,0.00017089864841242442,0.0,0.0
12.1125,0.000246156768814226,0.0,0.0
12.3375,0.00013483746571989452,0.0,0.0
12.5625,0.00020382407608821263,0.0,0.0
12.787500000000001,0.00023204587123888822,0.0,0.0
13.012500000000001,0.00016933077090405357,0.0,0.0
13.2375,0.00013797322073663625,0.0,0.0
13.4625,0.00020852770861332523,0.0,0.0
13.6875,0.00013797322073663625,0.0,0.0
13.912500000000001,0.00017403440342916615,0.0,0.0
14.137500000000001,9.564052801062285e-05,0.0,0.0
14.3625,0.0002006883210714709,0.0,0.0
14.5875,0.00023518162625562995,0.0,0.0
14.8125,0.00017560228093753703,0.0,0.0
15.037500000000001,0.00011602293561944411,0.0,0.0
15.262500000000001,0.00024458889130585514,0.0,0.0
15.4875,0.0002618355438979347,0.0,0.0
15.7125,0.0001818737909710205,0.0,0.0
15.9375,0.00018030591346264964,0.0,0.0
16.1625,0.00018030591346264964,0.0,0.0
16.387500000000003,0.00017403440342916615,0.0,0.0
16.6125,0.00023518162625562995,0.0,0.0
16.8375,0.00018971317851287483,0.0,0.0
17.0625,8.623326296039765e-05,0.0,0.0
17.2875,0.00021166346363006696,0.0,0.0
17.5125,0.0001959846885463583,0.0,0.0
17.7375,0.00015051624080360317,0.0,0.0
17.962500000000002,0.00028692158403186853,0.0,0.0
18.187500000000004,0.00018030591346264964,0.0,0.0
18.4125,0.00019284893352961656,0.0,1.724665259207953e-05
18.6375,7.055448787668899e-05,0.0,0.0
18.8625,9.877628302736458e-05,4.703632525112599e-06,6.2715100334834655e-06
19.087500000000002,0.00010975142558596065,1.2543020066966931e-05,1.2543020066966931e-05
19.312500000000004,0.00012856595568641103,6.2715100334834655e-06,1.5678775083708663e-05
19.5375,0.00011915869063618584,4.233269272601339e-05,2.5086040133933862e-05
19.7625,8.936901797713938e-05,4.546844774275512e-05,7.682599791017245e-05
19.9875,0.00010661567056921891,5.4875712792980326e-05,9.093689548551025e-05
20.212500000000002,3.9196937709271656e-05,3.29254276757882e-05,0.00010661567056921891
20.437500000000004,7.055448787668899e-05,3.6061182692529927e-05,0.00013640534322826537
20.6625,5.173995777623859e-05,4.703632525112599e-05,0.00010347991555247718
20.8875,4.390057023438426e-05,0.00011445505811107325,6.114722282646379e-05
21.1125,2.3518162625562994e-05,6.428297784320552e-05,0.00015992350585382836
21.337500000000002,1.5678775083708663e-05,0.00010661567056921891,0.0001301338331947819
21.562500000000004,3.1357550167417325e-05,6.114722282646379e-05,9.877628302736458e-05
21.7875,0.0,1.0975142558596064e-05,0.0001818737909710205
22.0125,0.0,2.978967265904646e-05,0.00010347991555247718
22.2375,1.724665259207953e-05,8.309750794365592e-05,0.0001207265681445567
22.462500000000002,6.2715100334834655e-06,2.978967265904646e-05,0.00014894836329523231
22.687500000000004,0.0,0.0001254302006696693,0.00017560228093753703
22.9125,0.0,7.525812040180158e-05,0.00010975142558596065
23.1375,0.0,9.093689548551025e-05,0.0001771701584459079
23.3625,0.0,6.271510033483465e-05,0.00011288718060270238
23.587500000000002,0.0,9.250477299388111e-05,0.00020695983110495436
23.812500000000004,0.0,8.780114046876852e-05,0.00016462713837894096
24.0375,0.0,5.4875712792980326e-05,0.00013326958821152364
24.2625,0.0,5.8011467809722056e-05,0.00015208411831197404
24.4875,0.0,3.6061182692529927e-05,0.00016462713837894096
24.712500000000002,0.0,8.152963043528506e-05,9.407265050225198e-05
24.937500000000004,0.0,5.173995777623859e-05,0.0001771701584459079
25.1625,0.0,4.390057023438426e-05,5.173995777623859e-05
25.3875,6.2715100334834655e-06,8.623326296039765e-05,0.00011915869063618584
25.6125,1.724665259207953e-05,0.00012386232316129845,0.0001818737909710205
25.837500000000002,0.0,0.0001207265681445567,0.00015208411831197404
26.062500000000004,0.0,4.390057023438426e-05,0.0002053919535965835
26.2875,6.2715100334834655e-06,4.233269272601339e-05,0.00018500954598776222
26.5125,1.724665259207953e-05,2.978967265904646e-05,7.525812040180158e-05
26.7375,0.0,8.466538545202679e-05,8.936901797713938e-05
26.962500000000002,0.0,5.957934531809292e-05,7.212236538505985e-05
27.187500000000004,6.2715100334834655e-06,1.724665259207953e-05,5.644359030135119e-05
27.4125,1.724665259207953e-05,0.0,1.5678775083708663e-05
27.6375,0.0,6.2715100334834655e-06,1.8814530100450396e-05
27.8625,0.0,0.0,2.6653917642304727e-05
28.087500000000002,0.0,0.0,1.5678775083708664e-06
28.312500000000004,0.0,0.0,0.0
28.5375,0.0,0.0,0.0
28.7625,0.0,0.0,0.0
28.9875,0.0,0.0,0.0
29.212500000000002,0.0,0.0,0.0
29.437500000000004,0.0,0.0,0.0
29.6625,2.3518162625562994e-05,0.0,0.0
29.8875,2.3518162625562994e-05,0.0,0.0
