Angle_deg,Phi_probability_density,Theta_probability_density
1.0,0.00010770542566081767,0.00022326437194273663
3.0,0.0003994076201588655,0.0005968675672036979
5.0,0.0006776466364493112,0.0010804200511600772
7.0,0.0010142260916393663,0.0014787057398016426
9.0,0.0016066059327738635,0.0017591886191266886
11.0,0.0019499169770677198,0.0021204505676973478
13.0,0.002504151146614011,0.00256024772247902
15.0,0.003493694744872773,0.002903558766772876
17.0,0.0038257864739936276,0.0033119418390701433
19.0,0.004160122066149082,0.0037652021720594175
21.0,0.004597675357896154,0.004316070547053808
23.0,0.004985863662882018,0.00451689628865054
25.0,0.005329174707175874,0.004715478167212673
27.0,0.005396490598213885,0.004761477359421981
29.0,0.005782435040165148,0.005117129650406139
31.0,0.006812368173046718,0.005497464434770901
33.0,0.007104070367544765,0.006132477673562806
35.0,0.007023291298299152,0.006062917919490194
37.0,0.007718888839025266,0.0062996454696405335
39.0,0.007965713772831307,0.006861733159807926
41.0,0.008567069066104206,0.007034510613472154
43.0,0.008995646905712876,0.007003096530987749
45.0,0.009181887537584706,0.006968316653951443
47.0,0.00890589238432886,0.007330700534039402
49.0,0.008257415967329354,0.007444015617286721
51.0,0.008674774491765022,0.007825472333168784
53.0,0.009038280303370283,0.007872593456895392
55.0,0.009747341022303999,0.007670645783781358
57.0,0.010707714401112955,0.008024054211730917
59.0,0.010135529327289863,0.008238343131535252
61.0,0.010151236368532065,0.008369609119059372
63.0,0.010584301934209936,0.007958982183727505
65.0,0.0103644033568191,0.008304537091055962
67.0,0.010048018668940447,0.00860072701162321
69.0,0.00987299735224162,0.008942916124399767
71.0,0.009244715702553516,0.008968720549297671
73.0,0.009561100390432169,0.00884643001391195
75.0,0.009121303235650496,0.00889579500067316
77.0,0.009971727325764035,0.008729749136112732
79.0,0.009767535789615402,0.00908427949557959
81.0,0.00933222636090293,0.009273885922003322
83.0,0.009049499618543283,0.008743212314320334
85.0,0.008849795808463852,0.008611946326796212
87.0,0.008914867836467262,0.009169546290894403
89.0,0.008899160795225059,0.009796706009065207
91.0,0.008602970874657811,0.009674415473679487
93.0,0.008398779338509178,0.009966117668177534
95.0,0.00780864336040928,0.010169187272808867
97.0,0.007691962482610061,0.009897679845622223
99.0,0.008268635282502356,0.009964995736660234
101.0,0.00786025221020509,0.009730512049544495
103.0,0.007238702149620787,0.009750706816855899
105.0,0.006955975407261141,0.00945788269084055
107.0,0.006596957321725082,0.009360274648835435
109.0,0.007263384643001391,0.009099986536821793
111.0,0.006749540008077907,0.0085334111205852
113.0,0.006581250280482879,0.00828995198133106
115.0,0.006132477673562806,0.007858008347170488
117.0,0.005602925997397119,0.007593232509087645
119.0,0.00543014854373289,0.0071668985325135754
121.0,0.005230444733653458,0.006809002378494817
123.0,0.005176592020823049,0.006152672440874209
125.0,0.004743526455145178,0.0060909662074226986
127.0,0.004624601714311358,0.0057689718619575465
129.0,0.0045886999057577526,0.0052966386931741685
131.0,0.004077099133868869,0.00493986447067271
133.0,0.004312704752501908,0.004657137728313064
135.0,0.003987344612484854,0.004405825068437823
137.0,0.0036485212942601983,0.0039536866669658485
139.0,0.0033680384149351525,0.0033130637705874435
141.0,0.0031257012071983126,0.0031986267558228245
143.0,0.0029663869317416865,0.0029618992056724856
145.0,0.002921509671049679,0.0026746847372436386
147.0,0.002421128214333797,0.0026488803123457345
149.0,0.0020464030875555358,0.002471615132612305
151.0,0.0018063097428532963,0.002322398240811381
153.0,0.0016851411389848764,0.0020621101287977383
155.0,0.0016245568370506665,0.001970111744379123
157.0,0.0017120674954000808,0.0017872369070591932
159.0,0.0015751918502894583,0.0014652425615940402
161.0,0.0013732441771754252,0.0013609029304851232
163.0,0.0013799757662792264,0.0011903693398554952
165.0,0.0013059282861374141,0.0009547637212224566
167.0,0.001274514203653009,0.0008201319391464345
169.0,0.0010860297087465782,0.0006944756092088139
171.0,0.0008997890768747476,0.000664183458241709
173.0,0.0007113045819683167,0.0005172104294753848
175.0,0.0004622357851276758,0.00036687160615716017
177.0,0.00019970381007943276,0.00013238791904142172
179.0,8.302293228021362e-05,4.487726069200736e-05
