Frame,Time_fs,LBHB_Fraction,Avg_Wire_Length,Hodge_Gradient_Pct,Hodge_Curl_Pct,Hodge_Harmonic_Pct
4000,2000.0,0.0,0.0,99.99999813768335,0.0,0.0036936049893067677
4001,2000.5,0.0,0.0,99.99999813624113,0.0,0.0036951677479081834
4002,2001.0,0.0,0.0,99.99999813457644,0.0,0.003696966848124172
4003,2001.5,0.0,0.0,99.9999981328216,0.0,0.0036988697983027204
4004,2002.0,0.0,0.0,99.99999813109687,0.0,0.0037007542810416163
4005,2002.5,0.0,0.0,99.99999812949937,0.0,0.0037025188750317985
4006,2003.0,0.0,0.0,99.99999808612078,0.0,0.003718192664847814
4007,2003.5,0.0,0.0,99.99999811937958,0.0,0.0036815291779426474
4008,2004.0,0.0,0.0,99.99999834972203,0.0,0.003434914571505663
4009,2004.5,0.0,0.0,99.99999809208823,0.0,0.003711907554696057
4010,2005.0,0.0,0.0,99.9999980760098,0.0,0.003729912952471713
4011,2005.5,0.0,0.0,99.99999807149037,0.0,0.0037351040184095134
4012,2006.0,0.0,0.0,99.99999849408758,0.0,0.003242713027768696
4013,2006.5,0.0,0.0,99.99999848988959,0.0,0.0032478587080148795
4014,2007.0,0.0,0.0,99.99999697925202,0.0,0.00461160971053825
4015,2007.5,0.0,0.0,99.99999698027946,0.0,0.0046107435945333276
4016,2008.0,0.0,0.0,99.99999801330033,0.0,0.00330574938782756
4017,2008.5,0.0,0.0,99.99999677012138,0.0,0.004070094306062784
4018,2009.0,0.0,0.0,99.99999677110429,0.0,0.004069726966260744
4019,2009.5,0.0,0.0,99.9999967720935,0.0,0.004069335873511953
4020,2010.0,0.0,0.0,99.99999722386418,0.0,0.004801981485730204
4021,2010.5,0.0,0.0,99.99999722299037,0.0,0.004803253708780328
4022,2011.0,0.0,0.0,99.99999722200387,0.0,0.004804629787504846
4023,2011.5,0.0,0.0,99.99999800459587,0.0,0.003332814942358489
4024,2012.0,0.0,0.0,99.99999800683267,0.0,0.003330314042464733
4025,2012.5,0.0,0.0,99.99999785755388,0.0,0.005140862675701739
4026,2013.0,0.0,0.0,99.99999659633266,0.0,0.006584025000781309
4027,2013.5,0.0,0.0,99.99999658503505,0.0,0.006595031917963919
4028,2014.0,0.0,0.0,99.99999741300796,0.0,0.003910347319267298
4029,2014.5,0.0,0.0,99.99999741101266,0.0,0.0039120120109980665
4030,2015.0,0.0,0.0,99.99999740920089,0.0,0.003913509398955819
4031,2015.5,0.0,0.0,99.99999718131882,0.0,0.0037381740082248196
4032,2016.0,0.0,0.0,99.99999717156167,0.0,0.0037453209693246864
4033,2016.5,0.0,0.0,99.99999716303687,0.0,0.0037515125684000395
4034,2017.0,0.0,0.0,99.99999680834631,0.0,0.00396702478708158
4035,2017.5,0.0,0.0,99.99999680467843,0.0,0.003969342399890727
4036,2018.0,0.0,0.0,99.99999716870389,0.0,0.0035826738456543675
4037,2018.5,0.0,0.0,99.9999961207589,0.0,0.0042498947645413995
4038,2019.0,0.0,0.0,99.99999624510171,0.0,0.004288989388482359
4039,2019.5,0.0,0.0,99.99999611945145,0.0,0.004251045592654465
4040,2020.0,0.0,0.0,99.99999611869453,0.0,0.0042516741297560275
4041,2020.5,0.0,0.0,99.99999666868993,0.0,0.004087816622619731
4042,2021.0,0.0,0.0,99.99999666079076,0.0,0.004094100156767823
4043,2021.5,0.0,0.0,99.99999665215284,0.0,0.0041009781810988225
4044,2022.0,0.0,0.0,99.99999664280385,0.0,0.004108429543698892
4045,2022.5,0.0,0.0,99.99999625348576,0.0,0.00439463683043742
4046,2023.0,0.0,0.0,99.99999625550127,0.0,0.004392973879146824
4047,2023.5,0.0,0.0,99.99999625729761,0.0,0.004391508749918397
4048,2024.0,0.0,0.0,99.99999625887882,0.0,0.004390235903680007
4049,2024.5,0.0,0.0,99.99999626029033,0.0,0.00438911573498813
4050,2025.0,0.0,0.0,99.9999967752684,0.0,0.004100309728045238
4051,2025.5,0.0,0.0,99.99999677543772,0.0,0.00409976290452373
4052,2026.0,0.0,0.0,99.9999961214433,0.0,0.004587226530406774
4053,2026.5,0.0,0.0,99.99999612033731,0.0,0.004588039269370758
4054,2027.0,0.0,0.0,99.99999611943531,0.0,0.004588658742949303
4055,2027.5,0.0,0.0,99.99999640351463,0.0,0.004359895666852446
4056,2028.0,0.0,0.0,99.99999631359096,0.0,0.0043082990858133345
4057,2028.5,0.0,0.0,99.99999759467367,0.0,0.0038035019754303675
4058,2029.0,0.0,0.0,99.99999759231095,0.0,0.003805797877062842
4059,2029.5,0.0,0.0,99.99999758983708,0.0,0.0038082062649886952
4060,2030.0,0.0,0.0,99.99999758729648,0.0,0.0038106908017339685
4061,2030.5,0.0,0.0,99.99999758474377,0.0,0.003813204321662098
4062,2031.0,0.0,0.0,99.99999768349552,0.0,0.003973862150223623
4063,2031.5,0.0,0.0,99.99999822838961,0.0,0.003675032559164875
4064,2032.0,0.0,0.0,99.99999820581024,0.0,0.0036988319381543694
4065,2032.5,0.0,0.0,99.99999818862088,0.0,0.003716792894267111
4066,2033.0,0.0,0.0,99.9999978722494,0.0,0.004063414280127567
4067,2033.5,0.0,0.0,99.99999791970679,0.0,0.0040166565373439015
4068,2034.0,0.0,0.0,99.99999796870894,0.0,0.003968993994693986
4069,2034.5,0.0,0.0,99.99999801033937,0.0,0.003929002343511102
4070,2035.0,0.0,0.0,99.9999980363576,0.0,0.0039042782378041012
4071,2035.5,0.0,0.0,99.99999888391267,0.0,0.0025497305010410295
4072,2036.0,0.0,0.0,99.99999879906017,0.0,0.0026406201993214497
4073,2036.5,0.0,0.0,99.99999871145278,0.0,0.0027375807202773116
4074,2037.0,9.111617312072893e-05,0.0,99.99999863753365,0.0,0.002821677572285957
4075,2037.5,0.00017979144192736425,0.0,99.99999857948033,0.0,0.0028891157144912832
4076,2038.0,0.00026612259380821434,0.0,99.99999853387854,0.0,0.0029429292693877386
4077,2038.5,0.00035023202871902636,0.0,99.99999824346459,0.0,0.0033341181212257513
4078,2039.0,0.000432152117545376,0.0,99.999998903453,0.0,0.0025827589628902737
4079,2039.5,0.0005119890775663453,0.0,99.99999890046377,0.0,0.0025856626294812925
4080,2040.0,0.0005898213683855747,0.0,99.99999846718248,0.0,0.003168885975161519
4081,2040.5,0.000665723558292419,0.0,99.9999984733085,0.0,0.003163023862428913
4082,2041.0,0.0007397665625513727,0.0,99.99999847890291,0.0,0.0031577272997678403
4083,2041.5,0.0008120178643930166,0.0,99.99999848366002,0.0,0.003153290407236481
4084,2042.0,0.00088261253309797,0.0,99.99999834230321,0.0,0.0031228899075369555
4085,2042.5,0.0009515502339227658,0.0,99.99999837200056,0.0,0.0030983331170976844
4086,2043.0,0.0010190483656031982,0.0,99.9999978335177,0.0,0.0036378379387226457
4087,2043.5,0.001085018987832287,0.0,99.99999781326008,0.0,0.003654470734375885
4088,2044.0,0.0011496895838123706,0.0,99.99999789684175,0.0,0.003555639141533895
4089,2044.5,0.0012129482222727618,0.0,99.99999789897134,0.0,0.003553670430680908
4090,2045.0,0.001274840644919385,0.0,99.999997901133,0.0,0.0035516846531841576
4091,2045.5,0.0013354106387714222,0.0,99.99999790331957,0.0,0.003549691171784792
4092,2046.0,0.0013214888774686147,0.0,99.99999786076427,0.0,0.0036691009544813228
4093,2046.5,0.0013077593722755014,0.0,99.9999979740241,0.0,0.0033691377720778395
4094,2047.0,0.0012944052926794189,0.0,99.9999975204119,0.0,0.00368633539839048
4095,2047.5,0.0012813211845102506,0.0,99.99999752442956,0.0,0.003682988593321174
4096,2048.0,0.0012684989429175475,0.0,99.99999752855938,0.0,0.003679545015376734
4097,2048.5,0.0012559307842590008,0.0,99.99999753281881,0.0,0.003675996419103064
4098,2049.0,0.0012433515231056159,0.0,99.99999741124239,0.0,0.003609346262997865
4099,2049.5,0.001231105943505916,0.0,99.99999739462756,0.0,0.00355911950221956
4100,2050.0,0.001219099221131053,0.0,99.99999755505823,0.0,0.0034449342045340973
4101,2050.5,0.001207324434905091,0.0,99.99999791186784,0.0,0.003201742162127218
4102,2051.0,0.001195774928585664,0.0,99.99999743641939,0.0,0.003529450778059695
4103,2051.5,0.0011845222426954461,0.0,99.99999728196639,0.0,0.0038727999159437697
4104,2052.0,0.001173326380288117,0.0,99.99999604484682,0.0,0.004729111291151945
4105,2052.5,0.001162340178225494,0.0,99.99999604716254,0.0,0.004727333572001624
4106,2053.0,0.0011515578018041072,0.0,99.99999604956581,0.0,0.004725520175422299
4107,2053.5,0.0011410459587955625,0.0,99.99999778946628,0.0,0.0035409529120974765
4108,2054.0,0.0011306532663316582,0.0,99.99999828857055,0.0,0.0033018138549445056
4109,2054.5,0.0011204481792717086,0.0,99.99999828872038,0.0,0.0033013347255468565
4110,2055.0,0.001110425663170882,0.0,99.99999828881164,0.0,0.0033009159880820396
4111,2055.5,0.0011005808621216754,0.0,99.99999828882851,0.0,0.003300562782506801
4112,2056.0,0.001090842979213381,0.0,99.99999623279864,0.0,0.005109429933292628
4113,2056.5,0.001081275905568571,0.0,99.99999623567072,0.0,0.005107318035912319
4114,2057.0,0.0010718113612004287,0.0,99.99999656080045,0.0,0.004678123746565218
4115,2057.5,0.0010625737898465172,0.0,99.9999971096854,0.0,0.004205185466083577
4116,2058.0,0.001053432434014163,0.0,99.99999760817579,0.0,0.0039054103374548737
4117,2058.5,0.0010444470233259835,0.0,99.99999760749544,0.0,0.003906441957517353
4118,2059.0,0.0010356136010586272,0.0,99.9999976064037,0.0,0.003907780897371627
4119,2059.5,0.001026928343222273,0.0,99.99999760497073,0.0,0.00390937391711501
4120,2060.0,0.0010184451737014824,0.0,99.99999796510043,0.0,0.0035712386901638393
4121,2060.5,0.0010101576968404513,0.0,99.99999739446525,0.0,0.004016376853896246
4122,2061.0,0.001001948232674645,0.0,99.99999710626449,0.0,0.004191915797934642
4123,2061.5,0.0009938711280437303,0.0,99.9999971059015,0.0,0.004192557872052006
4124,2062.0,0.0009859232075368353,0.0,99.9999982932598,0.0,0.003337488730790978
4125,2062.5,0.0009779951100244498,0.0,99.99999838622202,0.0,0.003344967782328469
4126,2063.0,0.000970193499703552,0.0,99.99999838810811,0.0,0.0033427052978890755
4127,2063.5,0.000962515373509438,0.0,99.99999839033347,0.0,0.0033401556091549518
4128,2064.0,0.0009549578226961642,0.0,99.99999839289381,0.0,0.0033373128971793194
4129,2064.5,0.0009475180291624993,0.0,99.99999839576782,0.0,0.0033341836598661826
4130,2065.0,0.0009401932619482894,0.0,99.99999839892826,0.0,0.0033307754580635136
4131,2065.5,0.0009329808738920852,0.0,99.99999840233933,0.0,0.003327101517766832
4132,2066.0,0.0009258306758563934,0.0,99.99999790463481,0.0,0.004686536931370801
4133,2066.5,0.0009187423438138016,0.0,99.9999973512344,0.0,0.005718071738428307
4134,2067.0,0.0009117617262688684,0.0,99.99999735226834,0.0,0.005717317170632351
4135,2067.5,0.0009048863864870299,0.0,99.9999973536275,0.0,0.0057162115418548255
4136,2068.0,0.0008981587745122499,0.0,99.99999790556411,0.0,0.004685696657172357
