Time_fs,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic,PC1,PC2,LBHB_Fraction,Avg_Wire_Length,Hodge_Gradient_Pct,Hodge_Curl_Pct,Hodge_Harmonic_Pct
22.0,127,1,38,0,-37,0.46270448,-1.1003423,0.0092005359535506,0.0,99.9999972490512,0.0,0.0058330385667389
22.5,127,1,37,0,-36,-0.019042999,-0.62487257,0.0093572365544381,0.0,99.99999759592684,0.0,0.0052655003510361
23.0,124,1,37,0,-36,0.025395334,-1.234589,0.0095083090628747,0.0,99.99999762690686,0.0,0.0050971975494295
23.5,126,1,37,0,-36,0.2837788,0.8795237,0.0094862323707186,0.0,99.99999892247271,0.0,0.0029265065911685
24.0,125,1,36,0,-35,0.21909833,-1.140994,0.0094619055454994,0.0,99.99999711634342,0.0,0.0047510824878821
24.5,124,1,36,0,-35,0.8779845,-0.6599835,0.0094354838709677,0.0,99.99999781555732,0.0,0.0042552162554483
25.0,124,1,36,0,-35,0.8779845,-0.6599835,0.0095652173913043,0.0,99.99999765153244,0.0,0.0048736280529048
25.5,124,1,36,0,-35,0.8779845,-0.6599835,0.0096921764751492,0.0,99.999997084222,0.0,0.005650133105472
26.0,122,1,36,0,-35,-0.58799314,-0.040439412,0.0098143639683505,0.0,99.99999519199788,0.0,0.004911527184997
26.5,122,1,36,0,-35,-0.58799314,-0.040439412,0.0099350115783969,0.0,99.9999967765562,0.0,0.0041050110978739
27.0,121,1,35,0,-34,0.39537922,-0.36753577,0.0101262107425887,0.0,99.99999636115967,0.0,0.0069158857436551
27.5,123,1,35,0,-34,0.29907942,0.22998874,0.0102394000576867,0.0,99.99999636410968,0.0,0.0069140939686321
28.0,125,1,35,0,-34,0.5547581,0.08788769,0.010280042538107,0.0,99.99999743622514,0.0,0.0044838566876652
28.5,123,1,34,0,-33,-0.5570673,0.16646352,0.0103912406722923,0.0,99.99999842692986,0.0,0.0039122704746721
29.0,123,1,34,0,-33,-0.5570673,0.16646352,0.0104974271012006,0.0,99.99999829300307,0.0,0.0044513519207405
29.5,123,1,34,0,-33,-0.61352324,0.2184739,0.0104651947876578,0.0,99.99999738712228,0.0,0.0058989927763123
30.0,123,1,34,0,-33,-0.61352324,0.2184739,0.0104332801701222,0.0,99.99999759818976,0.0,0.0053976238551744
30.5,121,1,34,0,-33,0.103006735,-0.60608035,0.0103996337235921,0.0,99.99999722561796,0.0,0.0041965702905519
31.0,121,1,33,0,-32,0.97729015,-0.8262072,0.0103656966263198,0.0,99.99999771529772,0.0,0.0053095603775895
31.5,122,1,33,0,-32,0.8616471,-1.0739044,0.0103334601242551,0.0,99.99999710765418,0.0,0.0045722874379733
32.0,122,1,35,0,-34,-0.06270954,-0.08698298,0.0102996254681647,0.0,99.99999671151058,0.0,0.004880977737896
32.5,123,1,36,0,-35,0.47229347,-1.1882628,0.0102668142136972,0.0,99.9999985572246,0.0,0.0032681231895528
33.0,122,1,35,0,-34,0.5448801,-1.0402411,0.0102356005087517,0.0,99.99999675945642,0.0,0.0051234110393965
33.5,122,1,35,0,-34,0.16872238,-0.5772763,0.0102059086839749,0.0,99.9999974962186,0.0,0.0053821633903137
34.0,121,1,35,0,-34,-0.4906715,0.21792252,0.0101782667529564,0.0,99.99999699934662,0.0,0.0059814686000956
34.5,121,1,35,0,-34,-0.4906715,0.21792252,0.0101514008933232,0.0,99.99999763947334,0.0,0.0050938809062847
35.0,123,1,36,0,-35,-0.14904162,-0.58572537,0.0101287553648068,0.0,99.99999741910209,0.0,0.0043235603686949
35.5,121,1,34,0,-33,-0.51093876,0.15349674,0.0101061427280939,0.0,99.99999688537336,0.0,0.005013196876759
36.0,121,1,34,0,-33,0.17194483,-0.1951449,0.0100824420677361,0.0,99.99999611033148,0.0,0.0054662470679643
36.5,119,1,33,0,-32,-0.05555314,-0.89652234,0.0100554975548107,0.0,99.99999767267124,0.0,0.0069675371354964
37.0,120,1,33,0,-32,-0.57312393,0.17286971,0.0099745216024285,0.0,99.9999977467801,0.0,0.0068560980106126
37.5,121,1,33,0,-32,-0.4893848,-0.060956195,0.009841677364142,0.0,99.99999730777014,0.0,0.0056700515881519
38.0,120,1,34,0,-33,-0.25494704,0.093060315,0.009710274948546,0.0,99.99999816967176,0.0,0.0035305796559874
38.5,120,1,34,0,-33,-0.25494704,0.093060315,0.0095828342273839,0.0,99.9999976628294,0.0,0.0054589138479926
39.0,122,1,34,0,-33,-0.3843753,0.1355713,0.0094630734416786,0.0,99.99999702317872,0.0,0.0056473555528213
39.5,120,1,34,0,-33,0.446528,-0.76914805,0.0093476935582198,0.0,99.9999961658184,0.0,0.0062988997533498
40.0,120,1,33,0,-32,-0.26719,0.51929027,0.0092369477911646,0.0,99.9999978940332,0.0,0.0040394018004891
40.5,122,1,34,0,-33,0.34724677,-0.6530232,0.0091784084143679,0.0,99.99999789458369,0.0,0.0040383635321366
41.0,121,1,34,0,-33,0.51777595,-0.74212545,0.0091702628481757,0.0,99.9999978954073,0.0,0.0040368299237359
41.5,120,1,33,0,-32,0.08574137,-0.0152324885,0.0091627478547534,0.0,99.99999610023252,0.0,0.0063250215004275
42.0,121,1,33,0,-32,0.5445895,-0.5745334,0.0091549633322149,0.0,99.9999970275787,0.0,0.0050550193415679
42.5,120,1,33,0,-32,-0.12916651,-0.04396607,0.0091456191062882,0.0,99.99999702289502,0.0,0.0050638618031463
43.0,119,1,33,0,-32,0.88439643,-0.60832316,0.0091364850302206,0.0,99.99999567633284,0.0,0.0055890092447857
43.5,120,1,34,0,-33,0.84340096,-0.15994643,0.0091275540934995,0.0,99.9999975365192,0.0,0.0066057834691674
44.0,121,1,35,0,-34,-0.12158835,0.061328188,0.0091171484858203,0.0,99.9999981438666,0.0,0.005821054568199
44.5,120,1,35,0,-34,0.17210177,0.17515086,0.009106972950931,0.0,99.99999860987882,0.0,0.0031619348913566
45.0,120,1,35,0,-34,0.17210177,0.17515086,0.0090986508896956,0.0,99.99999778815123,0.0,0.0047959804621995
45.5,120,1,35,0,-34,0.17210177,0.17515086,0.0090905059642587,0.0,99.99999752727832,0.0,0.0040385806111967
46.0,119,1,35,0,-34,0.62320614,-0.4631843,0.0090825325786494,0.0,99.99999739893696,0.0,0.004276597255028
46.5,119,1,35,0,-34,0.028337598,-0.19124441,0.0089890568004168,0.0,99.99999746621108,0.0,0.0045101236525689
47.0,119,1,35,0,-34,0.028337598,-0.19124441,0.008983451536643,0.0,99.99999708054324,0.0,0.0057250153680484
47.5,120,1,35,0,-34,-0.20441484,-0.66013676,0.0089756678577505,0.0,99.99999734664748,0.0,0.004900460320074
48.0,122,1,36,0,-35,-0.56667876,0.64567864,0.008965401128041,0.0,99.99999581707088,0.0,0.0065486275558184
48.5,123,1,37,0,-36,-0.43888906,0.7470308,0.0089538564051307,0.0,99.99999666960213,0.0,0.0058853129381267
49.0,123,1,37,0,-36,-0.43888906,0.7470308,0.0089418163837151,0.0,99.999997749116,0.0,0.0051293544458708
49.5,125,1,37,0,-36,-0.6467179,-0.1431305,0.0089314845024469,0.0,99.9999976755858,0.0,0.0042114324609405
50.0,125,1,37,0,-36,-0.65636337,-0.5757424,0.0088824289405684,0.0,99.99999717511888,0.0,0.0047084956849271
50.5,124,1,36,0,-35,-0.61681783,-0.55651706,0.0087950747581354,0.0,99.99999752238972,0.0,0.0048533302534673
51.0,123,1,36,0,-35,-0.54436946,-0.08590244,0.0087083877607568,0.0,99.99999817057176,0.0,0.0041235167543203
51.5,124,1,36,0,-35,-0.008610338,0.5966094,0.0086250833104637,0.0,99.99999606841546,0.0,0.0068919440884158
52.0,123,1,34,0,-33,0.15799257,0.189427,0.008543357539513,0.0,99.99999604843325,0.0,0.0069009804897015
52.5,122,1,33,0,-32,0.23623465,0.2219387,0.0084634915749788,0.0,99.99999674798867,0.0,0.0053162793931512
53.0,121,1,33,0,-32,0.83681715,-0.57738984,0.0083847854257184,0.0,99.99999674394276,0.0,0.0053158843381988
53.5,121,1,33,0,-32,1.3029618,0.50671667,0.0083075296427762,0.0,99.9999967411783,0.0,0.0053132649989887
54.0,120,1,33,0,-32,-0.8069681,-0.14580278,0.0082319925163704,0.0,99.9999956037694,0.0,0.0058101682642628
54.5,120,1,33,0,-32,-0.8069681,-0.14580278,0.0081581191827047,0.0,99.999996594194,0.0,0.0045231440042783
55.0,120,1,33,0,-32,-0.8069681,-0.14580278,0.0080858571008526,0.0,99.99999460033516,0.0,0.0062247396211864
55.5,119,1,33,0,-32,-0.37185946,-0.32888514,0.0080142799898,0.0,99.99999638061342,0.0,0.0051209325595249
56.0,118,1,33,0,-32,0.46487057,-0.43506253,0.0079436721429861,0.0,99.99999618303144,0.0,0.0059712709255675
56.5,117,1,33,0,-32,-0.038648874,-0.65330595,0.0078740157480314,0.0,99.9999979813278,0.0,0.0034508416984651
57.0,117,1,33,0,-32,-0.038648874,-0.65330595,0.0078047396055058,0.0,99.9999972816786,0.0,0.0053425215480633
