time_fs,time_ps,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic
2077.0,2.077,161,1,62,0,-61
2077.5,2.0775,163,1,62,0,-61
2078.0,2.078,163,1,61,0,-60
2078.5,2.0785,162,1,60,0,-59
2079.0,2.079,162,1,60,0,-59
2079.5,2.0795,162,1,60,0,-59
2080.0,2.08,163,1,60,0,-59
2080.5,2.0805,164,1,60,0,-59
2081.0,2.081,165,1,61,0,-60
2081.5,2.0815,165,1,61,0,-60
2082.0,2.082,166,1,61,0,-60
2082.5,2.0825,167,1,62,0,-61
2083.0,2.083,167,1,62,0,-61
2083.5,2.0835,166,1,62,0,-61
2084.0,2.084,167,1,63,0,-62
2084.5,2.0845,168,1,63,0,-62
2085.0,2.085,168,1,63,0,-62
2085.5,2.0855,168,1,63,0,-62
2086.0,2.086,173,1,64,0,-63
2086.5,2.0865,173,1,64,0,-63
2087.0,2.087,173,1,64,0,-63
2087.5,2.0875,172,1,63,0,-62
2088.0,2.088,174,1,63,0,-62
2088.5,2.0885,175,1,63,0,-62
2089.0,2.089,168,1,60,0,-59
2089.5,2.0895,167,1,60,0,-59
2090.0,2.09,168,1,61,0,-60
2090.5,2.0905,167,1,62,0,-61
2091.0,2.091,167,1,62,0,-61
2091.5,2.0915,166,1,61,0,-60
2092.0,2.092,166,1,61,0,-60
2092.5,2.0925,165,1,62,0,-61
2093.0,2.093,166,1,63,0,-62
2093.5,2.0935,167,1,63,0,-62
2094.0,2.094,167,1,63,0,-62
2094.5,2.0945,167,1,63,0,-62
2095.0,2.095,168,1,64,0,-63
2095.5,2.0955,168,1,65,0,-64
2096.0,2.096,167,1,64,0,-63
2096.5,2.0965,167,1,64,0,-63
2097.0,2.097,166,1,64,0,-63
2097.5,2.0975,166,1,64,0,-63
2098.0,2.098,165,1,63,0,-62
2098.5,2.0985,165,1,63,0,-62
2099.0,2.099,164,1,62,0,-61
2099.5,2.0995,164,1,62,0,-61
2100.0,2.1,164,1,62,0,-61
2100.5,2.1005,165,1,63,0,-62
2101.0,2.101,164,1,62,0,-61
2101.5,2.1015,164,1,62,0,-61
2102.0,2.102,164,1,62,0,-61
2102.5,2.1025,162,1,62,0,-61
2103.0,2.103,162,1,62,0,-61
2103.5,2.1035,161,1,61,0,-60
2104.0,2.104,161,1,61,0,-60
2104.5,2.1045,161,1,61,0,-60
2105.0,2.105,160,1,61,0,-60
2105.5,2.1055,160,1,61,0,-60
2106.0,2.106,161,1,61,0,-60
2106.5,2.1065,161,1,61,0,-60
2107.0,2.107,160,1,61,0,-60
2107.5,2.1075,159,1,60,0,-59
