lag_time_fs,property_acf
0.0,1.0
0.5,0.9971794963910549
1.0,0.9943949582144593
1.5,0.9917022124120467
2.0,0.9891043615434201
2.5,0.9866159683023058
3.0,0.984238604596022
3.5,0.9819853174600139
4.0,0.9798699410909647
4.5,0.9778917511456211
5.0,0.9760347483522311
5.5,0.9743012398591765
6.0,0.9726423434767133
6.5,0.9710350624565078
7.0,0.9694748189651344
7.5,0.9679363827449299
8.0,0.9664029138407435
8.5,0.964859861473758
9.0,0.9633271387140215
9.5,0.9617855670798137
10.0,0.9602550919547804
10.5,0.9587472124941567
11.0,0.957286462971791
11.5,0.9558781934289085
12.0,0.9545216892666801
12.5,0.9532008694618767
13.0,0.9519486843265584
13.5,0.9507706017872317
14.0,0.9496366623560111
14.5,0.9485454253948942
15.0,0.9474868958913862
15.5,0.9464433971385119
16.0,0.9454119048276836
16.5,0.944374003183672
17.0,0.9433013312822544
17.5,0.9422007875254979
18.0,0.9410815322256799
18.5,0.9399481656395784
19.0,0.9388076414414719
19.5,0.9376468057977249
20.0,0.9364772201745073
20.5,0.9353219305537842
21.0,0.9341801740605785
21.5,0.9330727057264809
22.0,0.9319995388340186
22.5,0.930973860851544
23.0,0.929990259233547
23.5,0.9290417230208996
24.0,0.9281358982147595
24.5,0.9272682385080633
25.0,0.9264218909008675
25.5,0.9255753232226409
26.0,0.924747770462465
26.5,0.9239446265601674
27.0,0.9231312688985671
27.5,0.9223246269633205
28.0,0.9215262429822799
28.5,0.9207275902077432
29.0,0.9199403400647111
29.5,0.9191920981052333
30.0,0.9184590643229813
30.5,0.9177589617496441
31.0,0.9170971961781614
31.5,0.9164730121647903
32.0,0.9158679298498699
32.5,0.9152796446099588
33.0,0.9146996841214368
33.5,0.9141349898702091
34.0,0.9135794663819059
34.5,0.9130315092387105
35.0,0.9124780107615198
35.5,0.9119305385009349
36.0,0.9113720553135882
36.5,0.9108103395599885
37.0,0.9102423034958926
37.5,0.9096564385646342
38.0,0.9090774373456845
38.5,0.9085129524119762
39.0,0.9079520390209859
39.5,0.9074087371721669
40.0,0.9068798930007212
40.5,0.9063632663495499
41.0,0.9058696033350353
41.5,0.9053935042481494
42.0,0.9049328040275861
42.5,0.904476617762742
43.0,0.9040334484863941
43.5,0.9035994366798118
44.0,0.9031753590406822
44.5,0.902754261203296
45.0,0.9023338246051397
45.5,0.9019140495100807
46.0,0.9014949361821273
46.5,0.9010858441109376
47.0,0.9006780374359601
47.5,0.9002725200443832
48.0,0.899876954984097
48.5,0.8994874763745339
49.0,0.899111053313579
49.5,0.8987430459536082
