r_angstrom,g_r
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.227763767546234
0.75,1.5262394619404493
0.8500000000000001,0.1739584345502578
0.95,0.0
1.05,0.0
1.1500000000000001,0.0
1.25,0.00011883188040510764
1.35,0.034277714598087615
1.4500000000000002,1.0687049659419732
1.55,3.2314056883432483
1.6500000000000001,2.0710018926600147
1.75,8.65636234260116
1.85,2.836559754961917
1.9500000000000002,0.8583989316783694
2.05,1.2123738893542708
2.1500000000000004,1.721989425319491
2.25,2.132488774132905
2.3500000000000005,2.396514036100074
2.45,2.5038253120617386
2.55,2.464829088321368
2.6500000000000004,2.335703699980146
2.75,2.2576494874335524
2.8500000000000005,2.215843084851201
2.95,2.22181145460693
3.05,2.314481386911659
3.1500000000000004,2.2963762795474243
3.25,2.3049533469492225
3.3500000000000005,2.351182572257258
3.45,2.4306889710912145
3.55,2.510669301310336
3.6500000000000004,2.598832891738905
3.75,2.6432267290538056
3.8500000000000005,2.66834114086456
3.95,2.687581187166511
4.050000000000001,2.6860004398436357
4.15,2.670642779818952
4.25,2.627559216406134
4.35,2.5417532492264265
4.45,2.4310467575304444
4.550000000000001,2.332973828946317
4.65,2.2747234297764454
4.75,2.2706577352107655
4.8500000000000005,2.260634039887432
4.95,2.1783116736335733
5.050000000000001,2.150516459696028
5.15,2.154854382608074
5.25,2.179982604288264
5.3500000000000005,2.213433547451604
5.45,2.243200538456951
5.550000000000001,2.2873083103372616
5.65,2.3167416542433372
5.75,2.334395008650016
5.8500000000000005,2.3456110396692895
5.95,2.3577519892175145
6.050000000000001,2.3626995746788735
6.15,2.346781293622204
6.25,2.3342720982160525
6.3500000000000005,2.324545807175634
6.45,2.311568907452442
6.550000000000001,2.302553779625715
6.65,2.2960910823377874
6.75,2.2901373646427823
6.8500000000000005,2.2771295996657934
6.95,2.26464825748523
7.050000000000001,2.2446697680698158
7.15,2.2342694461105777
7.25,2.222028352829644
7.3500000000000005,2.209508638865721
7.45,2.202181093357767
7.550000000000001,2.184287234248369
7.65,2.1730763643046305
7.75,2.1757995333969515
7.8500000000000005,2.175511476351619
7.95,2.1725751189252884
