coordination_state,count,percentage
0D1A,5982,0.7789123352526192
0D2A,5961,0.7761779388901476
0D3A,1158,0.15078242798771865
0D4A,31,0.00403648986841043
1D0A,7440,0.9687575684185032
1D1A,84429,10.993445261291104
1D2A,122883,16.000515629028353
1D3A,14057,1.8303528412982393
1D4A,415,0.054036880496462214
1D5A,4,0.0005208374023755394
2D0A,15458,2.012776141480272
2D1A,147772,19.241296155959553
2D2A,285864,37.222165798170295
2D3A,46756,6.08806839636768
2D4A,1115,0.1451834259121816
2D5A,1,0.00013020935059388484
3D0A,658,0.08567775269077622
3D1A,9360,1.218759521558762
3D2A,14846,1.9330880189168145
3D3A,2977,0.3876332367179952
3D4A,84,0.010937585449886328
4D0A,13,0.001692721557720503
4D1A,193,0.025130404664619774
4D2A,258,0.03359401245322229
4D3A,18,0.0023437683106899273
free H2O,261,0.033984640505003945
