Angle_deg,Phi_probability_density,Theta_probability_density
1.0,0.00021775515780844378,0.0002689916655280776
3.0,0.0006176845652866968,0.0007450642164230086
5.0,0.0011898255681559412,0.0012517363483171653
7.0,0.0017050371180033703,0.001585485266657558
9.0,0.00205657649041308,0.001781891879582821
11.0,0.0022088627772464363,0.002153356560550166
13.0,0.0028436261784396777,0.002306354465546295
15.0,0.0030855763537823927,0.002534783895796329
17.0,0.0035694767044678233,0.0026272942569567793
19.0,0.0034371157261921027,0.00300018217424967
21.0,0.003997870838456984,0.0035210866693992805
23.0,0.004211356287288792,0.0036598522111399552
25.0,0.004827617616249943,0.0036819123741859087
27.0,0.00492724415903812,0.003866933096506809
29.0,0.0053584847656783716,0.004123115635104978
31.0,0.005378410074236006,0.00430600150293756
33.0,0.005660210866693993,0.004784920526483581
35.0,0.006316322812770415,0.005301555312656556
37.0,0.00622238921528442,0.0054652274900942755
39.0,0.006869961743407569,0.005695791774832627
41.0,0.007093409846518194,0.006213849797331147
43.0,0.007255658787630369,0.00590785398733889
45.0,0.007637086122876531,0.00657677506034522
47.0,0.007777986519105525,0.006944681650498702
49.0,0.008274695996720864,0.007351015621441909
51.0,0.008905189688937469,0.00773457781117639
53.0,0.00939193651227399,0.007917463679008972
55.0,0.009198376371999818,0.008106042492143736
57.0,0.008939347360750558,0.008224882725326775
59.0,0.008845413763264563,0.00831312337751059
61.0,0.009248189643393906,0.008779944892289475
63.0,0.009231110807487362,0.009016913740492781
65.0,0.009145716627954638,0.008825488454706928
67.0,0.009084517465956187,0.008750768547615794
69.0,0.009418978002459352,0.008809832855125928
71.0,0.009366318258414174,0.008981332832354147
73.0,0.009141446918978002,0.008898785125472514
75.0,0.008875301726101015,0.008900919979960833
77.0,0.009101596301862731,0.0093969178394134
79.0,0.008695973949082298,0.009042531994352598
81.0,0.008678895113175752,0.00909590335656055
83.0,0.008668932458896935,0.009199799608325364
85.0,0.008170799744956051,0.009013355649678917
87.0,0.008113870291934236,0.00927024980643986
89.0,0.008562189734481031,0.00917275811814
91.0,0.00835297399462586,0.009084517465956187
93.0,0.007913193970032336,0.009411150202668852
95.0,0.007874766589242611,0.009374857676367445
97.0,0.008231998906954502,0.009594747688664208
99.0,0.00813379560049187,0.009542799562781801
101.0,0.008065480256865692,0.009679430250034158
103.0,0.007814990663569705,0.009438903311016988
105.0,0.007943081932868789,0.009564859725827754
107.0,0.007518957507856265,0.009069573484537961
109.0,0.007194459625631917,0.009186990481395456
111.0,0.0071361069362845565,0.008645449059525436
113.0,0.007479106890740994,0.008165818417816642
115.0,0.00702082479391538,0.008000011385890604
117.0,0.0067561028373639385,0.007597947123924033
119.0,0.006494227353463588,0.007422889055881951
121.0,0.005812497153527349,0.0072485426060026415
123.0,0.005690098829530446,0.006960337250079701
125.0,0.005589049050416723,0.006651494967436353
127.0,0.0054652274900942755,0.006294262649724462
129.0,0.005268820877169012,0.006096432800473653
131.0,0.004969941248804482,0.005713582228901944
133.0,0.005214737896798287,0.005265262786355149
135.0,0.004944322994944665,0.00503825659243066
137.0,0.004671061620439951,0.004515928860955504
139.0,0.00416581272487134,0.0043700471375871025
141.0,0.004244090722776335,0.004086823108803571
143.0,0.004118845926128342,0.0037616136084164505
145.0,0.003723186227626725,0.003563783759165642
147.0,0.003479812815958464,0.003219360568383659
149.0,0.003264904130801111,0.002782427016441226
151.0,0.0030884228264334837,0.0026657216377465047
153.0,0.0029589083208088536,0.002538341986610193
155.0,0.0026771075283508676,0.002200323359293164
157.0,0.0025845971671904174,0.0020202839641116728
159.0,0.0021476636152479847,0.001828147060163046
161.0,0.002197476886642073,0.0015762342305415129
163.0,0.002012456164321173,0.001363460399872478
165.0,0.0016979209363756434,0.0011222218426925354
167.0,0.0012866056382930273,0.0010923338798560823
169.0,0.0010104977911372227,0.0009628193742314524
171.0,0.0007500455435624175,0.0008510953226761398
173.0,0.0006390331101698775,0.0005650248212415175
175.0,0.00043408707929134215,0.000374311153618436
177.0,0.00031168875529443915,0.00029816801020175797
179.0,0.00012666803297353918,8.610579769549575e-05
